assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,22,0,0.0,482,0.00,0.00,0.00,2.01,7,1,0,5.0,49.8,2023-08-12T14:00:00Z,90,8,0,0,0,0,1,7,21068,1,1,0,0.0,4,0,0,0,45,True,0
0,0,15,0,0.0,482,0.00,0.00,0.00,1.36,17,2,0,1.8,17.6,2023-08-18T18:45:00Z,90,16,0,0,0,0,2,2,31523,1,1,2,0.0,1,3764,5726,1962,45,False,0
0,1,25,0,0.0,482,0.00,0.00,0.00,3.52,30,2,0,4.9,49.0,2023-08-27T13:00:00Z,90,13,0,0,0,0,3,7,28085,1,2,1,0.0,4,-3988,755,4743,45,True,0
0,0,18,0,0.0,482,0.00,0.00,0.00,2.59,40,2,0,2.8,27.6,2023-09-02T11:30:00Z,90,9,0,0,0,0,4,4,36714,1,2,2,0.0,2,5587,7714,2127,45,True,0
0,1,26,0,0.0,482,0.00,0.00,0.00,1.87,48,2,0,4.9,48.8,2023-09-16T14:00:00Z,90,18,0,0,0,0,5,8,32239,1,1,2,0.0,3,-4916,1070,5986,45,False,1
0,0,21,0,0.0,482,0.00,0.00,0.00,3.94,60,8,0,5.6,56.0,2023-09-24T15:30:00Z,90,15,0,0,0,0,6,7,32419,1,8,0,0.0,0,-685,1447,2132,45,True,0
0,0,22,0,0.0,482,0.00,0.00,0.00,2.14,69,2,0,4.3,43.2,2023-09-30T14:00:00Z,90,19,0,0,0,0,7,6,31114,1,0,2,0.0,3,-1586,512,2098,45,False,0
0,0,15,0,0.0,482,0.00,0.00,0.00,2.14,76,3,0,2.3,22.8,2023-10-07T14:00:00Z,90,10,1,0,0,0,8,4,32274,1,1,3,0.0,0,477,2097,1620,45,False,0
0,0,14,0,0.0,482,0.00,0.00,0.00,1.05,89,2,0,1.6,16.4,2023-10-21T19:00:00Z,90,14,0,0,0,0,9,3,30460,1,2,1,0.0,2,-2081,526,2607,45,True,0
0,0,10,0,0.0,482,0.00,0.00,0.00,2.78,91,5,0,1.6,15.6,2023-10-28T14:00:00Z,90,1,0,0,0,0,10,2,30438,1,0,5,0.0,0,-355,1130,1485,45,False,0
0,0,11,0,0.0,482,0.00,0.00,0.00,1.33,109,1,0,1.7,17.4,2023-11-04T15:00:00Z,90,20,0,0,0,0,11,2,29378,1,1,2,0.0,2,-1324,534,1858,45,True,0
