assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,232223,None,,0,0,-1,1,0.0,541,56,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Folarin,0.0,534,54,0,0,0,0.0,558,55,1,False,0.0,553,53,0,Transferred to Monaco,2023-08-31T08:55:15.272751Z,44,538,88,0,0,None,0,,232223.jpg,0.0,558,57,0,0,0,Balogun,0.3,261,44,False,None,0,0,u,1,3,0.0,525,55,0,10024,0,50596,1137,0.0,0.0,Balogun,0
0,0,0,None,None,0,0,58822,None,,0,0,-1,1,0.0,393,142,None,,0,2,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Cédric,0.0,384,128,0,0,0,0.0,417,146,2,False,0.0,412,146,0,,None,39,704,221,0,0,None,0,,58822.jpg,0.0,413,140,0,0,0,Alves Soares,0.4,250,96,False,None,0,0,a,1,3,0.0,363,126,0,10989,1017,16601,668,0.0,0.0,Cédric,0
0,0,0,100,100,0,0,153256,None,,0,0,-1,1,0.0,521,200,None,,0,3,0.5,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Mohamed,0.0,511,189,0,0,0,0.0,538,203,3,False,0.0,533,200,0,,2023-08-11T13:00:06.079379Z,44,503,273,0,0,None,0,,153256.jpg,0.0,538,203,0,0,0,Elneny,0.1,450,147,False,None,0,0,a,1,3,0.0,500,191,0,4105,411,9239,183,0.0,0.0,M.Elneny,0
3,0,43,None,None,1,0.53,438098,4,,0,0,-1,1,40.5,162,101,None,,0,3,4.3,4.3,1,0.29,0.15,0.70,0.37,0.41,1.41,0.74,0.22,Fábio,3.8,57,27,2,1.05,0,13.9,189,93,4,False,41.2,241,98,171,,None,54,134,87,0,0,None,0,,438098.jpg,3.8,81,35,0,0,0.0,Ferreira Vieira,0.1,364,116,False,None,2,1.05,a,1,3,58.0,103,61,15,7091,778,7571,501,0.7,2.8,Fábio Vieira,0
0,0,57,None,None,1,0.31,226597,None,,-1,1,-3,3,8.1,310,107,None,,0,2,2.5,2.5,1,0.04,0.01,0.11,0.03,0.07,3.51,1.07,0.02,Gabriel,2.0,169,60,3,0.92,0,7.8,275,97,5,False,61.8,189,77,294,,None,47,333,39,0,0,None,0,,226597.jpg,2.0,212,71,0,0,0.0,dos Santos Magalhães,12.9,32,11,False,None,3,0.92,a,1,3,8.0,293,98,10,174988,9192,1818935,21263,0.4,2.1,Gabriel,1
0,0,20,None,None,1,0.25,219847,None,,0,0,-3,3,82.0,70,51,None,,0,3,1.5,1.5,0,0.48,0.12,1.24,0.31,0.76,4.13,1.02,0.19,Kai,1.0,279,127,4,0.98,0,17.2,139,76,6,False,30.2,269,109,366,,None,72,28,16,0,0,None,0,,219847.jpg,1.3,293,132,0,0,0.0,Havertz,1.8,129,40,False,None,4,0.98,a,1,3,60.0,96,57,8,20774,595,305462,6088,0.1,1.1,Havertz,2
0,2,26,100,100,0,0.0,205651,None,,0,0,-1,1,14.5,271,37,None,,0,4,3.0,3.0,2,0.06,0.05,1.37,1.08,1.31,1.68,1.31,1.03,Gabriel,2.5,132,20,2,1.57,1,15.5,167,26,8,False,48.6,223,25,115,,2023-08-02T21:00:03.961365Z,79,14,5,0,0,3,0,,205651.jpg,2.5,173,26,0,0,0.0,Fernando de Jesus,3.4,97,19,False,None,1,0.78,a,1,3,93.0,57,22,10,255591,18105,198358,9615,0.3,1.3,G.Jesus,1
0,0,11,100,100,0,0.0,85955,None,,0,0,-1,1,8.9,307,159,None,,0,3,1.3,1.3,1,0.05,0.07,0.05,0.07,0.00,1.44,2.06,0.0,Jorge Luiz,0.8,300,139,2,2.86,0,2.2,360,164,9,False,13.4,322,139,63,,2023-08-07T15:30:05.168632Z,54,118,73,0,0,None,0,,85955.jpg,1.0,382,182,0,0,0.0,Frello Filho,0.2,336,103,False,None,0,0.0,a,1,3,0.0,693,297,4,3141,192,10631,351,0.1,0.7,Jorginho,0
0,0,14,None,None,0,0.0,440854,None,,0,0,-1,1,4.9,323,116,None,,0,2,0.7,0.7,0,0.03,0.03,0.35,0.35,0.32,0.79,0.78,0.32,Jakub,0.2,355,121,2,1.98,0,3.6,325,117,10,False,16.4,312,122,91,,None,44,555,144,0,0,None,0,,440854.jpg,1.0,330,119,0,0,0.0,Kiwior,0.1,429,169,False,None,1,0.99,a,1,3,14.0,246,72,2,1847,63,5075,182,0.0,0.5,Kiwior,0
0,0,0,0,0,0,0,479683,None,,0,0,0,0,0.0,611,241,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Marcus,0.0,600,233,0,0,0,0.0,620,243,11,False,0.0,615,240,0,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,435,242,0,0,None,0,,479683.jpg,0.0,620,243,0,0,0,Oliveira Alencar,0.1,484,165,False,None,0,0,u,1,3,0.0,602,236,0,819,0,10556,117,0.0,0.0,Marquinhos,0
