goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,1,Sub,Fulham,Brighton,3,0,2024-03-02,22158,2023,644879,0.30814751982688904,1,1,0,0,0.30814751982688904,0
0,1,0.10011012852191925,71,AMR,Fulham,Aston Villa,1,2,2024-02-17,22138,2023,641769,0,0,0,0,0.10011012852191925,0,0
1,1,0.391745388507843,71,AMR,Fulham,Bournemouth,3,1,2024-02-10,22127,2023,640123,0.14733350276947021,1,1,1,0.391745388507843,0.5390788912773132,0
0,0,0,77,AMR,Burnley,Fulham,2,2,2024-02-03,22119,2023,638595,0.09158052504062653,0,1,0,0,0.33586573600769043,0.2442852109670639
0,4,0.14987638592720032,90,AMR,Fulham,Everton,0,0,2024-01-30,22106,2023,637784,0.4684133231639862,0,4,0,0.14987638592720032,0.30595672130584717,0.013372665271162987
0,1,0.09255606681108475,22,Sub,Chelsea,Fulham,1,0,2024-01-13,22097,2023,634584,0,0,0,0,0.09255606681108475,0,0
1,1,0.5993364453315735,84,AMR,Fulham,Arsenal,2,1,2023-12-31,22087,2023,633704,0.042999230325222015,0,1,1,0.5993364453315735,0.13568083941936493,0.09268161654472351
0,1,0.016767269000411034,76,AMR,Bournemouth,Fulham,3,0,2023-12-26,22075,2023,632994,0,0,0,0,0.016767269000411034,0.009823856875300407,0.009823856875300407
0,1,0.02198421210050583,21,Sub,Fulham,Burnley,0,2,2023-12-23,22067,2023,632708,0.1358814537525177,0,2,0,0.02198421210050583,0.48485055565834045,0.32698488235473633
0,0,0,4,Sub,Newcastle United,Fulham,3,0,2023-12-16,22062,2023,630352,0,0,0,0,0,0,0
0,0,0,7,Sub,Fulham,West Ham,5,0,2023-12-10,22049,2023,629305,0,0,0,0,0,0,0
0,0,0,10,Sub,Fulham,Nottingham Forest,5,0,2023-12-06,22038,2023,627942,0,0,0,0,0,0.045620352029800415,0.045620352029800415
