goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03724904730916023,66,AMR,Nottingham Forest,Liverpool,0,1,2024-03-02,22162,2023,644935,0.32951870560646057,0,1,0,0.03724904730916023,0.3667677640914917,0
0,0,0,38,Sub,Aston Villa,Nottingham Forest,4,2,2024-02-24,22147,2023,643200,0.712446391582489,1,3,0,0,0.712446391582489,0.11090908199548721
0,0,0,17,Sub,Nottingham Forest,West Ham,2,0,2024-02-17,22142,2023,641803,0,0,0,0,0,0.4599435329437256,0.4599435329437256
0,1,0.058897845447063446,16,Sub,Nottingham Forest,Newcastle United,2,3,2024-02-10,22131,2023,640407,0,0,0,0,0.058897845447063446,0.058897845447063446,0
0,0,0,25,AMR,Nottingham Forest,Bournemouth,2,3,2023-12-23,22070,2023,632672,0.08922883123159409,0,1,0,0,0.08922883123159409,0
0,1,0.023314183577895164,62,FW,Fulham,Nottingham Forest,5,0,2023-12-06,22038,2023,627956,0,0,0,0,0.023314183577895164,0.023314183577895164,0
0,0,0,3,Sub,Nottingham Forest,Everton,0,1,2023-12-02,22033,2023,626822,0,0,0,0,0,0,0
0,0,0,20,Sub,Nottingham Forest,Brighton,2,3,2023-11-25,22022,2023,624938,0,0,0,0,0,0,0
0,1,0.05224524065852165,1,Sub,West Ham,Nottingham Forest,3,2,2023-11-12,22013,2023,623740,0,0,0,0,0.05224524065852165,0.05224524065852165,0
0,0,0,11,Sub,Crystal Palace,Nottingham Forest,0,0,2023-10-07,21968,2023,616637,0,0,0,0,0,0,0
0,0,0,8,Sub,Nottingham Forest,Brentford,1,1,2023-10-01,21963,2023,615253,0.37109601497650146,0,1,0,0,0.37109601497650146,0
0,1,0.06038232892751694,10,Sub,Manchester City,Nottingham Forest,2,0,2023-09-23,21946,2023,612173,0,0,0,0,0.06038232892751694,0.06038232892751694,0
0,0,0,17,Sub,Nottingham Forest,Burnley,1,1,2023-09-18,21944,2023,611593,0,0,0,0,0,0,0
0,0,0,2,Sub,Juventus,AC Milan,0,1,2023-05-28,18946,2022,601543,0,0,0,0,0,0,0
0,1,0.07521510869264603,90,AML,Spezia,AC Milan,2,0,2023-05-13,18931,2022,596570,0,0,0,0,0.07521510869264603,0.07521510869264603,0
0,3,0.573985755443573,64,FW,AC Milan,Cremonese,1,1,2023-05-03,18907,2022,594067,0,0,0,0,0.573985755443573,0.5932750105857849,0.019289253279566765
0,0,0,1,Sub,Roma,AC Milan,1,1,2023-04-29,18898,2022,592535,0,0,0,0,0,0,0
0,0,0,7,Sub,AC Milan,Lecce,2,0,2023-04-23,18891,2022,591082,0,0,0,0,0,0,0
0,2,0.4275189936161041,70,FW,Bologna,AC Milan,1,1,2023-04-15,18872,2022,588200,0.06135519966483116,0,1,0,0.4275189936161041,0.40471601486206055,0.06135519966483116
0,2,0.10819800198078156,70,FW,AC Milan,Empoli,0,0,2023-04-07,18867,2022,586290,0,0,0,0,0.10819800198078156,0.040533799678087234,0.020635200664401054
0,0,0,12,Sub,Napoli,AC Milan,0,4,2023-04-02,18859,2022,585787,0.10427799820899963,0,1,0,0,0.10427799820899963,0
0,1,0.030676700174808502,8,Sub,Udinese,AC Milan,3,1,2023-03-18,18851,2022,583378,0,0,0,0,0.030676700174808502,0.030676700174808502,0
0,2,0.6311020255088806,27,Sub,AC Milan,Salernitana,1,1,2023-03-13,18838,2022,582433,0.036240700632333755,0,1,0,0.6311020255088806,0.667343020439148,0
0,0,0,22,Sub,Fiorentina,AC Milan,2,1,2023-03-04,18823,2022,579873,0,0,0,0,0,0.10619699954986572,0.10619699954986572
0,1,0.11610999703407288,67,FW,Monza,AC Milan,0,1,2023-02-18,18805,2022,576593,0.13332499563694,0,1,0,0.11610999703407288,0.24943600594997406,0
0,0,0,1,Sub,AC Milan,Torino,1,0,2023-02-10,18799,2022,574486,0,0,0,0,0,0,0
0,0,0,56,FW,Inter,AC Milan,1,0,2023-02-05,18785,2022,574191,0,0,0,0,0,0,0
1,2,0.04631400108337402,14,Sub,AC Milan,Sassuolo,2,5,2023-01-29,18779,2022,571928,0.008502280339598656,0,1,1,0.04631400108337402,0.05481629818677902,0.02543189935386181
0,0,0,29,Sub,Lazio,AC Milan,4,0,2023-01-24,18767,2022,571141,0,0,0,0,0,0,0
0,0,0,19,Sub,Lecce,AC Milan,2,2,2023-01-14,18756,2022,568981,0,0,0,0,0,0,0
0,0,0,32,Sub,AC Milan,Fiorentina,2,1,2022-11-13,18727,2022,565366,0.4418269991874695,0,1,0,0,0.4418269991874695,0
0,2,0.5237680077552795,60,FW,Cremonese,AC Milan,0,0,2022-11-08,18712,2022,563383,0,0,0,0,0.5237680077552795,0.5237680077552795,0
0,3,0.14141400158405304,76,FW,AC Milan,Spezia,2,1,2022-11-05,18706,2022,562196,0.029469899833202362,0,1,0,0.14141400158405304,0.16050800681114197,0.022397799417376518
0,1,0.08262719959020615,90,FW,Torino,AC Milan,2,1,2022-10-30,18701,2022,561231,0.007047450169920921,0,1,0,0.08262719959020615,0.15915200114250183,0.07652460038661957
1,3,0.14983700215816498,78,FW,AC Milan,Monza,4,1,2022-10-22,18687,2022,558393,0.2019450068473816,1,3,1,0.14983700215816498,0.3517819941043854,0
0,2,0.043434400111436844,42,Sub,Verona,AC Milan,1,2,2022-10-16,18674,2022,557054,0,0,0,0,0.043434400111436844,0.18966299295425415,0.14622800052165985
0,1,0.46651801466941833,3,Sub,AC Milan,Juventus,2,0,2022-10-08,18665,2022,554288,0,0,0,0,0.46651801466941833,0.46651801466941833,0
0,3,0.14467500150203705,16,Sub,AC Milan,Inter,3,2,2022-09-03,18623,2022,547404,0,0,0,0,0.14467500150203705,0.2407049983739853,0.10551600158214569
0,0,0,23,Sub,Atalanta,AC Milan,1,1,2022-08-21,18599,2022,543534,0,0,0,0,0,0.015016299672424793,0.015016299672424793
0,0,0,2,Sub,AC Milan,Udinese,4,2,2022-08-13,18582,2022,540838,0,0,0,0,0,0,0
0,0,0,22,Sub,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536771,0,0,0,0,0,0,0
1,2,0.6710600256919861,26,Sub,Liverpool,Everton,2,0,2022-04-24,16708,2021,529605,0,0,0,1,0.6710600256919861,0.4550110101699829,0.32579299807548523
0,1,0.133992999792099,3,Sub,Liverpool,Leeds,6,0,2022-02-23,16559,2021,515352,0,0,0,0,0.133992999792099,0.133992999792099,0
0,2,0.0725909024477005,26,Sub,Liverpool,Norwich,3,1,2022-02-19,16631,2021,514243,0,0,0,0,0.0725909024477005,0.0725909024477005,0
1,3,0.7017769813537598,19,Sub,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,16525,2021,499939,0,0,0,1,0.7017769813537598,0.7017769813537598,0
1,2,0.09603939950466156,7,Sub,West Ham,Liverpool,3,2,2021-11-07,16485,2021,494964,0,0,0,1,0.09603939950466156,0.157928004860878,0.061888400465250015
0,0,0,1,Sub,Liverpool,Crystal Palace,3,0,2021-09-18,16420,2021,482097,0,0,0,0,0,0,0
0,0,0,1,Sub,Liverpool,Everton,0,2,2021-02-20,14680,2020,450889,0,0,0,0,0,0.025091199204325676,0.025091199204325676
0,0,0,25,Sub,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447196,0.018330300226807594,0,1,0,0,0.018330300226807594,0
0,3,0.5967879891395569,81,FW,West Ham,Liverpool,1,3,2021-01-31,14639,2020,446436,0.12170500308275223,0,1,0,0.5967879891395569,0.8177300095558167,0.6058250069618225
0,0,0,1,Sub,Tottenham,Liverpool,1,3,2021-01-28,14633,2020,445254,0,0,0,0,0,0,0
0,4,0.48433399200439453,58,FW,Liverpool,Burnley,0,1,2021-01-21,14613,2020,443724,0,0,0,0,0.48433399200439453,0.5868989825248718,0.10256499797105789
