goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,3,0.13043394684791565,73,MC,Brentford,Chelsea,2,2,2024-03-02,22155,2023,644829,0.7880812883377075,0,4,0,0.13043394684791565,0.8855957984924316,0.10778329521417618
0,1,0.07897934317588806,90,DMC,Manchester City,Chelsea,1,1,2024-02-17,22140,2023,641993,0.05424922704696655,0,1,0,0.07897934317588806,0.677274763584137,0.5440462231636047
1,2,0.5355375409126282,90,DMC,Crystal Palace,Chelsea,1,3,2024-02-12,22126,2023,641283,0,0,0,1,0.5355375409126282,0.7202063202857971,0.18466877937316895
0,1,0.015209385193884373,90,DMC,Chelsea,Wolverhampton Wanderers,2,4,2024-02-04,22120,2023,639043,0.128196120262146,0,2,0,0.015209385193884373,0.602573812007904,0.5485779643058777
0,1,0.007845751941204071,90,DMC,Liverpool,Chelsea,4,1,2024-01-31,22113,2023,638040,0,0,0,0,0.007845751941204071,0.4357968270778656,0.4279510974884033
0,2,0.09034395217895508,90,DMC,Chelsea,Fulham,1,0,2024-01-13,22097,2023,634561,0.5240495800971985,0,3,0,0.09034395217895508,0.9529327750205994,0.3837774693965912
0,0,0,5,Sub,Luton,Chelsea,2,3,2023-12-30,22089,2023,633390,0,0,0,0,0,0,0
0,0,0,19,Sub,Chelsea,Sheffield United,2,0,2023-12-16,22059,2023,630280,0,0,0,0,0,0.7036623954772949,0.7036623954772949
0,2,0.10496201366186142,70,DMC,Everton,Chelsea,2,0,2023-12-10,22048,2023,629282,0,0,0,0,0.10496201366186142,0.2836776375770569,0.17871561646461487
0,3,0.6918095350265503,90,DMC,Manchester United,Chelsea,2,1,2023-12-06,22044,2023,628101,0,0,0,0,0.6918095350265503,0.6760112047195435,0
2,3,1.333890438079834,90,DMC,Chelsea,Brighton,3,2,2023-12-03,22029,2023,627241,0,0,0,1,0.5727216005325317,0.09180738031864166,0.022673675790429115
0,1,0.07595144212245941,90,DMC,Newcastle United,Chelsea,4,1,2023-11-25,22021,2023,624916,0,0,0,0,0.07595144212245941,0.14534062147140503,0.14534062147140503
0,1,0.03905467689037323,70,DMC,Chelsea,Manchester City,4,4,2023-11-12,22009,2023,624146,0,0,0,0,0.03905467689037323,0.19127419590950012,0.1522195190191269
0,2,0.030730068683624268,70,DMC,Tottenham,Chelsea,1,4,2023-11-06,22004,2023,622768,0.03674859181046486,0,1,0,0.030730068683624268,0.13305224478244781,0.10232216864824295
0,2,0.07583082467317581,90,DMC,Chelsea,Arsenal,2,2,2023-10-21,21978,2023,618312,0.053007613867521286,0,1,0,0.07583082467317581,0.1288384348154068,0
0,1,0.0671166405081749,90,MC,Burnley,Chelsea,1,4,2023-10-07,21967,2023,616391,0,0,0,0,0.0671166405081749,0.30339089035987854,0.23627424240112305
0,2,0.5090146064758301,90,MC,Fulham,Chelsea,0,2,2023-10-02,21964,2023,615827,0.08116786926984787,0,1,0,0.5090146064758301,0.8983135223388672,0.30813097953796387
0,1,0.10493362694978714,70,AMC,Chelsea,Aston Villa,0,1,2023-09-24,21947,2023,612742,0,0,0,0,0.10493362694978714,0.43784642219543457,0.33291277289390564
0,1,0.02423541061580181,82,AMC,Bournemouth,Chelsea,0,0,2023-09-17,21942,2023,610981,0,0,0,0,0.02423541061580181,0.367678165435791,0.34344276785850525
0,4,0.1965392380952835,90,AMC,Chelsea,Nottingham Forest,0,1,2023-09-02,21930,2023,608746,0.6523445248603821,0,3,0,0.1965392380952835,1.0525976419448853,0.8655224442481995
0,4,0.615098237991333,90,AMC,Chelsea,Luton,3,0,2023-08-25,22295,2023,606590,0.24093309044837952,0,2,0,0.615098237991333,1.7592508792877197,1.0758800506591797
0,2,0.7907420992851257,90,MC,West Ham,Chelsea,3,1,2023-08-20,22293,2023,605916,0.18036776781082153,0,4,0,0.02957327291369438,0.2193574160337448,0.11851910501718521
0,1,0.07426274567842484,90,MC,Chelsea,Liverpool,1,1,2023-08-13,22283,2023,604411,0.3748505413532257,0,2,0,0.07426274567842484,0.841805636882782,0.7675428986549377
0,3,0.04087740182876587,90,DMC,Chelsea,Newcastle United,1,1,2023-05-28,18575,2022,600912,0.1746341437101364,0,2,0,0.04087740182876587,0.69967120885849,0.6587938070297241
0,0,0,90,MC,Manchester United,Chelsea,4,1,2023-05-25,18520,2022,599730,0.46920472383499146,0,2,0,0,1.5400136709213257,1.5400136709213257
0,0,0,90,MC,Manchester City,Chelsea,1,0,2023-05-21,18566,2022,598988,0.04726439714431763,0,1,0,0,0.6892669796943665,0.6892669796943665
0,1,0.053834136575460434,90,MC,Chelsea,Nottingham Forest,2,2,2023-05-13,18555,2022,596369,0.21991568803787231,0,2,0,0.053834136575460434,0.6026588082313538,0.4880504906177521
0,2,0.05600370094180107,90,MC,Bournemouth,Chelsea,1,3,2023-05-06,18542,2022,594756,0,0,0,0,0.05600370094180107,0.1753447949886322,0.11934109032154083
