goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03197631239891052,90,DML,Fulham,Brighton,3,0,2024-03-02,22158,2023,644887,0.20732106268405914,0,5,0,0.03197631239891052,0.5725547075271606,0.5266778469085693
0,0,0,28,Sub,Brighton,Everton,1,1,2024-02-24,22148,2023,643216,0.18632997572422028,0,2,0,0,0.2661616802215576,0.07983168959617615
0,0,0,1,Sub,Sheffield United,Brighton,0,5,2024-02-18,22143,2023,642343,0,0,0,0,0,0.15968477725982666,0.15968477725982666
0,0,0,90,DL,Tottenham,Brighton,2,1,2024-02-10,22132,2023,640230,0,0,0,0,0,0.10771503299474716,0.10771503299474716
0,0,0,4,Sub,Brighton,Crystal Palace,4,1,2024-02-03,22118,2023,638552,0.04170040786266327,0,1,0,0,0.04170040786266327,0.04170040786266327
0,0,0,51,DML,Luton,Brighton,4,0,2024-01-30,22107,2023,637825,0,0,0,0,0,0.09079243242740631,0.09079243242740631
0,0,0,74,DL,Brighton,Wolverhampton Wanderers,0,0,2024-01-22,22095,2023,636493,0.16832372546195984,0,2,0,0,0.30878281593322754,0.30878281593322754
0,0,0,90,DL,West Ham,Brighton,0,0,2024-01-02,22093,2023,633868,0.061707597225904465,0,2,0,0,1.0198763608932495,0.9768955111503601
1,1,0.01909840665757656,39,Sub,Brighton,Tottenham,4,2,2023-12-28,22078,2023,633163,0,0,0,1,0.01909840665757656,0,0
0,1,0.30870509147644043,51,DL,Aston Villa,Brighton,6,1,2023-09-30,21955,2023,614306,0,0,0,0,0.30870509147644043,0.30870509147644043,0
0,1,0.02204783260822296,90,DL,Brighton,Bournemouth,3,1,2023-09-24,21951,2023,612706,0.5421752333641052,1,1,0,0.02204783260822296,0.5798503160476685,0.0156273003667593
0,1,0.011386903934180737,90,DL,Brighton,Newcastle United,3,1,2023-09-02,21931,2023,608869,0.13272546231746674,0,2,0,0.011386903934180737,0.46461668610572815,0.3318912088871002
0,0,0,90,DL,Brighton,West Ham,1,3,2023-08-26,22301,2023,607011,0.06812993437051773,0,2,0,0,0.339555561542511,0.3036403954029083
1,2,0.4824194610118866,90,DL,Wolverhampton Wanderers,Brighton,1,4,2023-08-19,22286,2023,605073,0.5171205401420593,1,2,1,0.4824194610118866,2.0413382053375244,1.4992753267288208
0,3,0.13358382880687714,90,DL,Brighton,Luton,4,1,2023-08-12,22278,2023,603760,1.3268462419509888,1,6,0,0.13358382880687714,1.6935917139053345,1.4050401449203491
0,0,0,41,Sub,Aston Villa,Brighton,2,1,2023-05-28,18573,2022,600875,0,0,0,0,0,0,0
0,2,0.07852425426244736,90,DL,Brighton,Manchester City,1,1,2023-05-24,18515,2022,599589,0.5070394277572632,0,2,0,0.07852425426244736,0.5749996900558472,0.05604631081223488
0,2,0.1366727203130722,90,DL,Brighton,Southampton,3,1,2023-05-21,18563,2022,598789,0.1533813178539276,0,2,0,0.1366727203130722,0.7809133529663086,0.4908592998981476
0,0,0,90,DL,Newcastle United,Brighton,4,1,2023-05-18,18449,2022,597642,0.08683717250823975,0,2,0,0,0.41401517391204834,0.38079142570495605
1,2,0.4531305134296417,90,DL,Arsenal,Brighton,0,3,2023-05-14,18552,2022,597304,0.6185113191604614,1,1,1,0.4531305134296417,1.191310167312622,0.11966835707426071
0,1,0.05105740949511528,90,DL,Brighton,Everton,1,5,2023-05-08,18543,2022,595786,0.0316787026822567,0,1,0,0.05105740949511528,1.2005058526992798,1.117769718170166
0,1,0.01767672225832939,90,DL,Brighton,Manchester United,1,0,2023-05-04,18475,2022,594337,0.14113548398017883,0,3,0,0.01767672225832939,0.2026149183511734,0.04380271956324577
0,2,0.5472201704978943,90,DL,Brighton,Wolverhampton Wanderers,6,0,2023-04-29,18535,2022,592358,0.5391271710395813,1,3,0,0.5472201704978943,1.2002021074295044,0.5564301013946533
0,1,0.0783754512667656,77,DL,Nottingham Forest,Brighton,3,1,2023-04-26,18524,2022,591608,0,0,0,0,0.0783754512667656,0.554824709892273,0.47644922137260437
0,3,0.4512479901313782,90,DL,Chelsea,Brighton,1,2,2023-04-15,18503,2022,588472,0.02740819938480854,0,1,0,0.4512479901313782,0.4911870062351227,0.03312620148062706
0,0,0,90,DL,Tottenham,Brighton,2,1,2023-04-08,18500,2022,586737,0.04319629818201065,0,1,0,0,0.09987790137529373,0.05668159946799278
0,1,0.019174499437212944,90,DL,Bournemouth,Brighton,0,2,2023-04-04,18266,2022,586022,0.2281460016965866,0,2,0,0.019174499437212944,1.0583399534225464,0.8110219836235046
