goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.2132231891155243,90,DL,Sheffield United,Arsenal,0,6,2024-03-04,22163,2023,646058,0.09519746154546738,1,1,0,0.2132231891155243,0.24668718874454498,0.12689125537872314
1,1,0.05184950307011604,90,DL,Arsenal,Newcastle United,4,1,2024-02-24,22146,2023,643520,0,0,0,1,0.05184950307011604,0.5145850777626038,0.5145850777626038
0,0,0,90,DL,Burnley,Arsenal,0,5,2024-02-17,22136,2023,641750,0.4703710079193115,1,1,0,0,0.593328595161438,0.12295760214328766
0,0,0,90,DL,West Ham,Arsenal,0,6,2024-02-11,22133,2023,640658,0.09002102166414261,0,1,0,0,0.6216877698898315,0.5316667556762695
0,1,0.31147176027297974,40,Sub,Arsenal,Liverpool,3,1,2024-02-04,22116,2023,639355,0.06783561408519745,1,1,0,0.31147176027297974,0.3793073892593384,0
0,0,0,1,Sub,Nottingham Forest,Arsenal,1,2,2024-01-30,22108,2023,637775,0,0,0,0,0,0,0
0,0,0,5,Sub,Arsenal,Crystal Palace,5,0,2024-01-20,22103,2023,635681,0,0,0,0,0,0,0
0,0,0,50,DL,Fulham,Arsenal,2,1,2023-12-31,22087,2023,633716,0,0,0,0,0,0.29616057872772217,0.29616057872772217
0,0,0,1,Sub,Arsenal,Brighton,2,0,2023-12-17,22056,2023,630771,0,0,0,0,0,0,0
0,1,0.0484284833073616,69,DL,Luton,Arsenal,3,4,2023-12-05,22039,2023,627921,0,0,0,0,0.0484284833073616,1.254340410232544,1.2059118747711182
0,0,0,1,Sub,Arsenal,Wolverhampton Wanderers,2,1,2023-12-02,22026,2023,626636,0,0,0,0,0,0,0
0,0,0,1,Sub,Arsenal,Burnley,3,1,2023-11-11,22006,2023,623270,0,0,0,0,0,0,0
0,0,0,90,DC,Arsenal,Sheffield United,5,0,2023-10-28,21986,2023,619899,0,0,0,0,0,0.1575791984796524,0.1575791984796524
0,1,0.5712023377418518,90,DL,Arsenal,Fulham,2,2,2023-08-26,22297,2023,606921,0,0,0,0,0.5712023377418518,0.2674001455307007,0.2674001455307007
