goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.01336661446839571,90,DC,Southampton,Liverpool,4,4,2023-05-28,18581,2022,601108,0.02122204378247261,0,1,0,0.01336661446839571,1.0923259258270264,1.071103811264038
1,3,0.5821020007133484,90,DC,West Ham,Liverpool,1,2,2023-04-26,18526,2022,591633,0,0,0,1,0.5821020007133484,0.7269912958145142,0.7269912958145142
0,0,0,90,DC,Chelsea,Liverpool,0,0,2023-04-04,18281,2022,586079,0,0,0,0,0,0.0201019998639822,0.0201019998639822
0,1,0.05046840012073517,90,DC,Crystal Palace,Liverpool,0,0,2023-02-25,18443,2022,578120,0.2329380065202713,0,1,0,0.05046840012073517,0.08897359669208527,0.08897359669208527
0,0,0,90,DC,Liverpool,Everton,2,0,2023-02-13,18428,2022,575857,0,0,0,0,0,0.18875199556350708,0.18875199556350708
0,0,0,90,DC,Wolverhampton Wanderers,Liverpool,3,0,2023-02-04,18421,2022,573263,0.069548599421978,0,2,0,0,0.5044739842414856,0.4492279887199402
0,0,0,71,DC,Brighton,Liverpool,3,0,2023-01-14,18394,2022,568762,0,0,0,0,0,0,0
0,0,0,41,Sub,Brentford,Liverpool,3,1,2023-01-02,18384,2022,566925,0,0,0,0,0,0.05717010051012039,0.05717010051012039
0,0,0,90,DC,Liverpool,Leicester,2,1,2022-12-30,18375,2022,566259,0,0,0,0,0,1.0586600303649902,1.0586600303649902
0,0,0,90,DC,Aston Villa,Liverpool,1,3,2022-12-26,18363,2022,565613,0,0,0,0,0,0.41971901059150696,0.41971901059150696
0,0,0,75,DC,Arsenal,Liverpool,3,2,2022-10-09,18292,2022,555093,0,0,0,0,0,0.1797800064086914,0.1797800064086914
0,0,0,90,DC,Liverpool,Brighton,3,3,2022-10-01,18288,2022,552332,0,0,0,0,0,0.9694539904594421,0.9694539904594421
0,0,0,8,Sub,Everton,Liverpool,0,0,2022-09-03,18252,2022,546871,0,0,0,0,0,0.10238400101661682,0.10238400101661682
0,0,0,90,DC,Fulham,Liverpool,2,2,2022-08-06,18203,2022,539198,0,0,0,0,0,0.13354900479316711,0.13354900479316711
0,3,0.08162940293550491,90,DC,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537886,0.9664720296859741,1,2,0,0.08162940293550491,0.8362190127372742,0.5428839921951294
1,1,0.04030660167336464,90,DC,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536762,0,0,0,1,0.04030660167336464,0.42554301023483276,0.42554301023483276
1,2,0.7879760265350342,90,DC,Aston Villa,Liverpool,1,2,2022-05-10,16705,2021,534604,0.08211109787225723,0,1,1,0.7879760265350342,0.09811870008707047,0.09811870008707047
0,0,0,90,DC,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530123,0,0,0,0,0,0.29413899779319763,0.29413899779319763
0,2,0.1410840004682541,90,DC,Liverpool,Everton,2,0,2022-04-24,16708,2021,529596,0,0,0,0,0.1410840004682541,0.5992680191993713,0.5992680191993713
0,0,0,90,DC,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527527,0,0,0,0,0,1.0184199810028076,1.0184199810028076
0,0,0,90,DC,Manchester City,Liverpool,2,2,2022-04-10,16690,2021,525525,0,0,0,0,0,0.43174800276756287,0.43174800276756287
0,1,0.04803650081157684,90,DC,Liverpool,Watford,2,0,2022-04-02,16680,2021,522451,0,0,0,0,0.04803650081157684,0.7424669861793518,0.7424669861793518
0,1,0.05316770076751709,90,DC,Arsenal,Liverpool,0,2,2022-03-16,16636,2021,520767,0,0,0,0,0.05316770076751709,0.04671259969472885,0.04671259969472885
0,1,0.04503589868545532,90,DC,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519101,0.2269439995288849,1,1,0,0.04503589868545532,0.3568429946899414,0.3568429946899414
1,1,0.5370190143585205,90,DC,Liverpool,Leeds,6,0,2022-02-23,16559,2021,515343,0,0,0,1,0.5370190143585205,0.8221880197525024,0.28516900539398193
0,0,0,90,DC,Liverpool,Norwich,3,1,2022-02-19,16631,2021,514234,0.031094200909137726,0,1,0,0,0.9522989988327026,0.9212049841880798
0,0,0,90,DC,Burnley,Liverpool,0,1,2022-02-13,16617,2021,513140,0,0,0,0,0,0.016573600471019745,0.016573600471019745
0,1,0.022821199148893356,90,DC,Liverpool,Leicester,2,0,2022-02-10,16614,2021,512282,0.47393301129341125,1,2,0,0.022821199148893356,0.6028159856796265,0.1288830041885376
0,0,0,90,DC,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510190,0.03110720030963421,0,1,0,0,0.19356800615787506,0.16246099770069122
0,3,0.1841920018196106,90,DC,Liverpool,Brentford,3,0,2022-01-16,16589,2021,508469,0,0,0,0,0.1841920018196106,0.10387299954891205,0.01719759963452816
0,3,0.10921499878168106,90,DC,Leicester,Liverpool,1,0,2021-12-28,16573,2021,505329,0,0,0,0,0.10921499878168106,0.4808639883995056,0.4808639883995056
