goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,GK,Newcastle United,Bournemouth,2,2,2024-02-17,22141,2023,641821,0,0,0,0,0,0.07114654779434204,0.07114654779434204
0,0,0,90,GK,Nottingham Forest,Newcastle United,2,3,2024-02-10,22131,2023,640410,0,0,0,0,0,0,0
0,0,0,90,GK,Newcastle United,Luton,4,4,2024-02-03,22123,2023,638602,0,0,0,0,0,0.05989976227283478,0.05989976227283478
0,0,0,90,GK,Aston Villa,Newcastle United,1,3,2024-01-30,22105,2023,637881,0,0,0,0,0,0,0
0,0,0,90,GK,Newcastle United,Manchester City,2,3,2024-01-13,22100,2023,634947,0,0,0,0,0,0.40459516644477844,0.40459516644477844
0,0,0,90,GK,Liverpool,Newcastle United,4,2,2024-01-01,22088,2023,633774,0,0,0,0,0,0.31906771659851074,0.31906771659851074
0,0,0,90,GK,Newcastle United,Nottingham Forest,1,3,2023-12-26,22083,2023,632911,0.12002640217542648,0,1,0,0,0.46344971656799316,0.3434233069419861
0,0,0,90,GK,Luton,Newcastle United,1,0,2023-12-23,22069,2023,632650,0,0,0,0,0,0.058344852179288864,0.058344852179288864
0,0,0,90,GK,Newcastle United,Fulham,3,0,2023-12-16,22062,2023,630324,0,0,0,0,0,0.1432836651802063,0.1432836651802063
0,0,0,90,GK,Tottenham,Newcastle United,4,1,2023-12-10,22053,2023,629555,0,0,0,0,0,0.04286598414182663,0.04286598414182663
0,0,0,90,GK,Everton,Newcastle United,3,0,2023-12-07,22037,2023,628184,0,0,0,0,0,0.1774371862411499,0.1774371862411499
0,0,0,3,Sub,Newcastle United,Manchester United,1,0,2023-12-02,22032,2023,626942,0,0,0,0,0,0,0
0,0,0,90,GK,Chelsea,Newcastle United,1,1,2023-05-28,18575,2022,600923,0,0,0,0,0,0.6429070234298706,0.6429070234298706
0,0,0,67,Sub,Newcastle United,Liverpool,0,2,2023-02-18,18438,2022,576610,0,0,0,0,0,0,0
0,0,0,90,GK,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537756,0.01996069960296154,0,1,0,0,0.01996069960296154,0
0,0,0,90,GK,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536716,0.013457000255584717,0,1,0,0,0.1429550051689148,0.12949800491333008
0,0,0,90,GK,Manchester City,Newcastle United,5,0,2022-05-08,16727,2021,533737,0,0,0,0,0,0.289887011051178,0.289887011051178
0,0,0,90,GK,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530107,0,0,0,0,0,0,0
0,0,0,90,GK,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528710,0,0,0,0,0,0.05872340127825737,0.05872340127825737
0,0,0,90,GK,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527885,0,0,0,0,0,0.10933999717235565,0.10933999717235565
0,0,0,90,GK,Newcastle United,Leicester,2,1,2022-04-17,16701,2021,526999,0,0,0,0,0,0,0
0,0,0,90,GK,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524185,0,0,0,0,0,0.0684501975774765,0.0684501975774765
0,0,0,90,GK,Tottenham,Newcastle United,5,1,2022-04-03,16678,2021,523653,0,0,0,0,0,0,0
0,0,0,90,GK,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520793,0,0,0,0,0,0.09861540049314499,0.09861540049314499
0,0,0,90,GK,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519907,0,0,0,0,0,0,0
0,0,0,90,GK,Southampton,Newcastle United,1,2,2022-03-10,16584,2021,518925,0,0,0,0,0,0.29495999217033386,0.29495999217033386
0,0,0,90,GK,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517548,0,0,0,0,0,0,0
0,0,0,90,GK,Brentford,Newcastle United,0,2,2022-02-26,16637,2021,516006,0,0,0,0,0,0.1258859932422638,0.1258859932422638
0,0,0,90,GK,West Ham,Newcastle United,1,1,2022-02-19,16634,2021,513949,0,0,0,0,0,0,0
0,0,0,90,GK,Newcastle United,Aston Villa,1,0,2022-02-13,16622,2021,513329,0,0,0,0,0,0,0
0,0,0,90,GK,Newcastle United,Everton,3,1,2022-02-08,16612,2021,512062,0,0,0,0,0,0,0
0,0,0,90,GK,Leeds,Newcastle United,0,1,2022-01-22,16601,2021,509713,0,0,0,0,0,0.0648690015077591,0.0648690015077591
0,0,0,90,GK,Newcastle United,Watford,1,1,2022-01-15,16591,2021,508082,0,0,0,0,0,0.0812230035662651,0.0812230035662651
0,0,0,90,GK,Newcastle United,Manchester United,1,1,2021-12-27,16561,2021,505202,0,0,0,0,0,0,0
0,0,0,90,GK,Newcastle United,Manchester City,0,4,2021-12-19,16550,2021,504050,0,0,0,0,0,0,0
