goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,24,Sub,Southampton,Liverpool,4,4,2023-05-28,18581,2022,601103,0.045560337603092194,0,1,0,0,0.02505393885076046,0.02505393885076046
0,0,0,14,Sub,Brighton,Southampton,3,1,2023-05-21,18563,2022,598814,0,0,0,0,0,0,0
0,0,0,74,AML,Southampton,Fulham,0,2,2023-05-13,18561,2022,596462,0.014494005590677261,0,1,0,0,0.014494005590677261,0
0,1,0.09016335755586624,79,AML,Nottingham Forest,Southampton,4,3,2023-05-08,18548,2022,595866,0.604618489742279,1,1,0,0.09016335755586624,0.8695070147514343,0.17472520470619202
1,2,0.8057036399841309,74,ML,Newcastle United,Southampton,3,1,2023-04-30,18541,2022,592906,0,0,0,1,0.8057036399841309,0.8057036399841309,0
0,0,0,26,Sub,Southampton,Bournemouth,0,1,2023-04-27,18530,2022,591875,0.0232385266572237,0,1,0,0,0.0232385266572237,0.0232385266572237
0,0,0,9,Sub,Southampton,Crystal Palace,0,2,2023-04-15,18508,2022,588435,0,0,0,0,0,0,0
0,0,0,27,Sub,Southampton,Manchester City,1,4,2023-04-08,18499,2022,586971,0,0,0,0,0,0.32418298721313477,0.32418298721313477
0,1,0.016781799495220184,76,MR,West Ham,Southampton,1,0,2023-04-02,18491,2022,585279,0.0666218027472496,0,1,0,0.016781799495220184,0.14028200507164001,0.056878700852394104
0,1,0.10296999663114548,77,MR,Southampton,Tottenham,3,3,2023-03-18,18480,2022,583078,0.01901780068874359,0,1,0,0.10296999663114548,0.22251799702644348,0.119548000395298
0,2,0.053009599447250366,34,Sub,Manchester United,Southampton,0,0,2023-03-12,18468,2022,581806,0,0,0,0,0.053009599447250366,0.024790799245238304,0
0,0,0,6,Sub,Southampton,Leicester,1,0,2023-03-04,18460,2022,579768,0,0,0,0,0,0.02514900080859661,0.02514900080859661
0,2,0.07281649857759476,63,MR,Leeds,Southampton,1,0,2023-02-25,18446,2022,577845,0,0,0,0,0.07281649857759476,0.07281649857759476,0
0,1,0.012999000027775764,63,MR,Chelsea,Southampton,0,1,2023-02-18,18435,2022,576404,0,0,0,0,0.012999000027775764,0.012999000027775764,0
0,0,0,1,Sub,Southampton,Wolverhampton Wanderers,1,2,2023-02-11,18430,2022,574824,0,0,0,0,0,0,0
0,0,0,2,Sub,Southampton,Nottingham Forest,0,1,2023-01-04,18391,2022,567366,0.040824100375175476,0,1,0,0,0.040824100375175476,0
0,1,0.0691905990242958,21,Sub,Fulham,Southampton,2,1,2022-12-31,18374,2022,566441,0,0,0,0,0.0691905990242958,0.0691905990242958,0
0,0,0,44,Sub,Southampton,Brighton,1,3,2022-12-26,18371,2022,565488,0.2565680146217346,0,1,0,0,0.38023999333381653,0.1236720010638237
0,0,0,61,AML,Liverpool,Southampton,3,1,2022-11-12,18355,2022,564558,0,0,0,0,0,0.14278699457645416,0.14278699457645416
0,0,0,69,AMR,Southampton,Newcastle United,1,4,2022-11-06,18348,2022,562629,0.5778669714927673,0,1,0,0,0.5778669714927673,0
0,2,0.09983629733324051,88,ML,Crystal Palace,Southampton,1,0,2022-10-29,18336,2022,560033,0,0,0,0,0.09983629733324051,0.5871210098266602,0.48728498816490173
1,2,0.43116798996925354,82,ML,Southampton,Arsenal,1,1,2022-10-23,18328,2022,558849,0.03522669896483421,0,3,1,0.43116798996925354,0.4514159858226776,0.009313629940152168
0,0,0,23,Sub,Bournemouth,Southampton,0,1,2022-10-19,18313,2022,557518,0,0,0,0,0,0.1504420042037964,0.1504420042037964
0,0,0,13,Sub,Southampton,West Ham,1,1,2022-10-16,18309,2022,556680,0,0,0,0,0,0,0
0,1,0.02334599941968918,68,AMR,Manchester City,Southampton,4,0,2022-10-08,18298,2022,554141,0,0,0,0,0.02334599941968918,0.02334599941968918,0
0,2,0.1313609927892685,89,MR,Southampton,Everton,1,2,2022-10-01,18290,2022,552305,0.16354599595069885,0,2,0,0.1313609927892685,0.7832080125808716,0.528577983379364
0,1,0.015626799315214157,16,Sub,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550362,0,0,0,0,0.015626799315214157,0,0
0,1,0.05268729850649834,32,Sub,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547212,0.562129020690918,0,1,0,0.05268729850649834,0.6148160099983215,0
0,0,0,27,Sub,Southampton,Manchester United,0,1,2022-08-27,18232,2022,544167,0.017890799790620804,0,1,0,0,0.2417449951171875,0.22385400533676147
0,1,0.02095310017466545,19,Sub,Leicester,Southampton,1,2,2022-08-20,18226,2022,542395,0.12450899928808212,0,1,0,0.02095310017466545,0.1454620063304901,0
0,2,0.10786399990320206,65,MC,Southampton,Leeds,2,2,2022-08-13,18215,2022,540593,0.054240498691797256,0,1,0,0.10786399990320206,0.10786399990320206,0
0,0,0,42,Sub,Tottenham,Southampton,4,1,2022-08-06,18207,2022,539513,0,0,0,0,0,0,0
0,0,0,90,FWR,Leicester,Southampton,4,1,2022-05-22,16752,2021,537877,0.02272080071270466,0,1,0,0,0.12158799916505814,0.12158799916505814
0,0,0,16,Sub,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536759,0,0,0,0,0,0.01693359948694706,0.01693359948694706
0,2,0.03359359875321388,85,MR,Brentford,Southampton,3,0,2022-05-07,16734,2021,534219,0.24512499570846558,0,3,0,0.03359359875321388,0.38109299540519714,0.22571399807929993
0,2,0.16186800599098206,22,Sub,Southampton,Crystal Palace,1,2,2022-04-30,16720,2021,530538,0,0,0,0,0.16186800599098206,0.19360500574111938,0.03173710033297539
0,1,0.01970689930021763,19,Sub,Brighton,Southampton,2,2,2022-04-24,16713,2021,529292,0.13263000547885895,0,1,0,0.01970689930021763,0.1523369997739792,0
0,1,0.08437380194664001,68,MC,Burnley,Southampton,2,0,2022-04-21,16667,2021,528268,0,0,0,0,0.08437380194664001,0.20205800235271454,0.1176849976181984
0,1,0.0628523975610733,84,FWR,Southampton,Arsenal,1,0,2022-04-16,16700,2021,526404,0.045783501118421555,0,1,0,0.0628523975610733,0.0628523975610733,0
0,1,0.025556499138474464,90,MR,Southampton,Chelsea,0,6,2022-04-09,16687,2021,524608,0.06592269986867905,0,1,0,0.025556499138474464,0.5098959803581238,0.44397398829460144
0,0,0,25,Sub,Leeds,Southampton,1,1,2022-04-02,16681,2021,522829,0.026575099676847458,0,1,0,0,0.026575099676847458,0.026575099676847458
0,1,0.019202299416065216,90,MR,Southampton,Watford,1,2,2022-03-13,16664,2021,520129,0.058038800954818726,0,1,0,0.019202299416065216,0.15318700671195984,0.0951484963297844
1,3,0.7149530053138733,90,MR,Southampton,Newcastle United,1,2,2022-03-10,16584,2021,518916,0.05950139835476875,0,1,1,0.7149530053138733,0.8311899900436401,0.056735601276159286
0,4,0.17227299511432648,90,MR,Aston Villa,Southampton,4,0,2022-03-05,16646,2021,517512,0,0,0,0,0.17227299511432648,0.21349699795246124,0.059525199234485626
0,7,0.3369379937648773,90,MR,Southampton,Norwich,2,0,2022-02-25,16644,2021,515576,0.42005398869514465,0,4,0,0.3369379937648773,0.5576890110969543,0.08365009725093842
1,2,0.10472699999809265,90,MR,Southampton,Everton,2,0,2022-02-19,16633,2021,514265,0.016809100285172462,0,1,1,0.10472699999809265,1.300920009613037,1.1961899995803833
0,4,0.24056899547576904,90,MR,Manchester United,Southampton,1,1,2022-02-12,16621,2021,512421,0.04374599829316139,0,1,0,0.24056899547576904,0.5663080215454102,0.31022000312805176
0,4,0.10037200152873993,90,MR,Tottenham,Southampton,2,3,2022-02-09,16613,2021,512190,0.1263200044631958,0,2,0,0.10037200152873993,0.29992300271987915,0.08743250370025635
0,0,0,84,ML,Southampton,Manchester City,1,1,2022-01-22,16604,2021,509914,0.10261800140142441,0,1,0,0,0.17341600358486176,0.17341600358486176
0,1,0.07525680214166641,15,Sub,Wolverhampton Wanderers,Southampton,3,1,2022-01-15,16595,2021,508163,0,0,0,0,0.07525680214166641,0.20927900075912476,0.13402299582958221
0,0,0,17,Sub,Southampton,Brentford,4,1,2022-01-11,16551,2021,507743,0,0,0,0,0,0.05547570064663887,0.05547570064663887
0,2,0.07779759913682938,90,MC,Southampton,Tottenham,1,1,2021-12-28,16575,2021,505237,0.016808100044727325,0,1,0,0.07779759913682938,0.22471000254154205,0.13010400533676147
0,1,0.02733509987592697,1,Sub,West Ham,Southampton,2,3,2021-12-26,16564,2021,505144,0,0,0,0,0.02733509987592697,0.02733509987592697,0
0,1,0.5045390129089355,57,MR,Southampton,Aston Villa,1,0,2021-11-05,16484,2021,493609,0.15756399929523468,0,2,0,0.5045390129089355,0.15756399929523468,0.03318890184164047
0,0,0,18,Sub,Watford,Southampton,0,1,2021-10-30,16474,2021,492208,0,0,0,0,0,0,0
0,0,0,14,Sub,Southampton,Burnley,2,2,2021-10-23,16464,2021,489922,0.06214329972863197,0,2,0,0,0.08066800236701965,0.06403429806232452
0,0,0,31,Sub,Southampton,Leeds,1,0,2021-10-16,16454,2021,488195,0.017829300835728645,0,1,0,0,0.017829300835728645,0
0,3,0.07741809636354446,90,MR,West Ham,Southampton,3,0,2021-05-23,14813,2020,473466,0.38329899311065674,0,2,0,0.07741809636354446,0.5489450097084045,0.4875189960002899
0,3,0.049892399460077286,90,MC,Southampton,Leeds,0,2,2021-05-18,14802,2020,472326,0.08224479854106903,0,2,0,0.049892399460077286,0.2879840135574341,0.16641800105571747
0,1,0.06586740165948868,79,MC,Southampton,Fulham,3,1,2021-05-15,14792,2020,470980,0,0,0,0,0.06586740165948868,0.8130149841308594,0.8130149841308594
0,1,0.04505480080842972,90,MC,Southampton,Crystal Palace,3,1,2021-05-11,14753,2020,469991,0.591916024684906,1,1,0,0.04505480080842972,0.6630280017852783,0.6630280017852783
0,1,0.013949699699878693,90,MC,Liverpool,Southampton,2,0,2021-05-08,14780,2020,469012,0,0,0,0,0.013949699699878693,0.1370829939842224,0.12313300371170044
0,2,0.06777430325746536,90,MC,Southampton,Leicester,1,1,2021-04-30,14772,2020,466685,0,0,0,0,0.06777430325746536,0.040223900228738785,0.02116760052740574
0,1,0.02147510088980198,90,MC,Tottenham,Southampton,2,1,2021-04-21,14722,2020,464299,0.0352150984108448,0,1,0,0.02147510088980198,0.05669020116329193,0
0,3,0.15413500368595123,90,ML,West Bromwich Albion,Southampton,3,0,2021-04-12,14743,2020,462374,0,0,0,0,0.15413500368595123,0.32120999693870544,0.1670749932527542
1,5,0.22405900061130524,83,MR,Southampton,Burnley,3,2,2021-04-04,14733,2020,460034,0.13812899589538574,0,2,1,0.22405900061130524,1.102579951286316,0.7403870224952698
0,2,0.10830999910831451,89,MC,Southampton,Brighton,1,2,2021-03-14,14713,2020,456746,0,0,0,0,0.10830999910831451,0.2040639966726303,0.09575329720973969
0,2,0.08626359701156616,75,AMC,Manchester City,Southampton,5,2,2021-03-10,14761,2020,455779,0,0,0,0,0.08626359701156616,0.07680849730968475,0
