name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Welington Damascena Santos,DEF,Southampton,-0.2,0,0,-1,0,0.6,718,0.00,0.00,0.00,0.12,300,1,0,0.3,2.2,2025-04-02T18:45:00Z,9,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,1261,0,1,1,0.0,1,-78,38,116,40,True,0
Alex Scott,MID,Bournemouth,1.2,0,0,17,0,4.1,77,0.02,0.25,0.23,0.81,292,1,0,5.1,9.6,2025-04-02T18:45:00Z,57,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,3259,1,2,1,37.0,1,22,70,48,47,True,0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,0.5,0,0,0,0,0.0,427,0.00,0.00,0.00,0.00,294,0,0,0.0,0.0,2025-04-01T19:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,30,0,15821,0,0,1,0.0,0,-231,203,434,41,True,0
Tomiyasu Takehiro,DEF,Arsenal,0.0,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,291,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,30,0,3766,0,1,2,0.0,0,12,41,29,48,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0.0,197,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,30,0,241,0,1,1,0.0,0,0,0,0,45,False,0
Ben Brereton Díaz,MID,Southampton,0.0,0,0,0,0,0.0,584,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,14485,0,1,1,0.0,0,-87,0,87,48,True,0
Pau Torres,DEF,Aston Villa,4.0,0,2,31,1,0.7,52,0.00,0.00,0.00,0.90,293,0,0,3.2,30.8,2025-04-02T18:45:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,30,0,75992,1,3,0,0.0,8,15,1052,1037,42,False,0
Joel Ward,DEF,Crystal Palace,0.0,0,0,0,0,0.0,215,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,30,0,8125,0,1,1,0.0,0,-81,43,124,43,False,0
Antonín Kinsky,GK,Spurs,-0.5,0,0,0,0,0.0,716,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,17491,0,0,1,0.0,0,-1438,149,1587,42,False,0
Will Lankshear,FWD,Spurs,0.0,0,0,0,0,0.0,609,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,121161,0,0,1,0.0,0,-4574,0,4574,45,False,0
Hwang Hee-chan,MID,Wolves,0.3,0,0,0,0,0.0,550,0.00,0.00,0.00,0.00,295,0,0,0.0,0.0,2025-04-01T18:45:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,30,0,32915,0,0,1,0.0,0,-3118,698,3816,61,True,0
Mikey Moore,MID,Spurs,-0.5,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,22889,0,0,1,0.0,0,-539,73,612,45,False,0
Hákon Valdimarsson,GK,Brentford,-0.5,0,0,0,0,0.0,109,0.00,0.00,0.00,0.00,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,427296,0,1,2,0.0,0,-38391,12724,51115,39,False,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,2101,0,2,1,0.0,0,-61,0,61,40,True,0
João Victor Gomes da Silva,MID,Wolves,2.0,0,0,11,1,4.8,553,0.04,0.09,0.05,1.34,295,0,0,2.4,11.6,2025-04-01T18:45:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,30,0,33357,1,0,1,8.0,2,-6300,440,6740,49,True,1
Cole Palmer,MID,Chelsea,2.1,1,1,31,1,31.0,182,0.36,0.42,0.06,0.79,296,0,0,11.1,39.6,2025-04-03T19:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,30,0,4918946,1,0,1,40.0,6,-1284774,57115,1341889,108,True,1
Mitoma Kaoru,MID,Brighton,1.7,0,0,15,0,16.3,136,0.04,0.29,0.25,1.25,293,3,0,7.4,17.4,2025-04-02T18:45:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,1058423,1,3,0,40.0,2,-85320,45076,130396,65,True,0
Boubakary Soumaré,MID,Leicester,1.5,0,0,13,0,1.3,285,0.00,0.00,0.00,2.12,298,2,0,0.7,5.2,2025-04-02T18:45:00Z,75,0,0,0,0,0,0,0,False,13,0,0,0,0,30,0,37674,1,0,2,0.0,2,-1976,688,2664,44,False,0
Chris Wood,FWD,Nott'm Forest,1.4,0,0,0,0,0.0,447,0.00,0.00,0.00,0.00,294,0,0,0.0,0.0,2025-04-01T19:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,30,0,4373949,0,0,1,0.0,0,-1225453,40792,1266245,72,True,0
Joe Worrall,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.00,0.00,0.00,0.00,294,0,0,0.0,0.0,2025-04-01T19:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,30,0,2210,0,0,1,0.0,0,-8,0,8,45,True,0
Jeffrey Schlupp,MID,Crystal Palace,0.0,0,0,0,0,0.0,214,0.00,0.00,0.00,0.00,300,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,30,0,5402,0,1,1,0.0,0,-107,0,107,46,False,0
Milos Kerkez,DEF,Bournemouth,3.5,0,0,11,0,22.1,70,0.06,0.08,0.02,1.17,292,2,0,5.0,23.0,2025-04-02T18:45:00Z,90,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,2265920,1,2,1,5.0,1,234216,336215,101999,53,True,0
Adrian Mazilu,MID,Brighton,0.0,0,0,0,0,0.0,133,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,1241,0,3,0,0.0,0,-4,0,4,45,True,0
Jason Steele,GK,Brighton,0.0,0,0,0,0,0.0,142,0.00,0.00,0.00,0.00,293,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,30,0,82910,0,3,0,0.0,0,-1948,139,2087,41,True,0
Arijanet Muric,GK,Ipswich,-0.5,0,0,0,0,0.0,568,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,30,0,66355,0,2,1,0.0,0,-3668,1043,4711,44,False,0
