assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,3,37,0,32.5,570,0.60,0.60,0.00,1.23,10,1,0,8.0,45.0,2024-08-19T19:00:00Z,90,18,0,0,0,0,1,0,29601,1,1,1,2.0,8,0,0,0,55,True,0
0,0,11,0,4.8,570,0.00,0.06,0.06,1.78,15,2,0,3.8,13.4,2024-08-24T14:00:00Z,90,9,0,0,0,0,2,0,75093,1,1,2,20.0,2,28207,33719,5512,55,False,0
0,0,11,0,1.4,570,0.01,0.06,0.05,1.46,26,2,0,2.7,7.8,2024-08-31T14:00:00Z,67,2,0,0,0,0,3,0,70066,1,2,1,18.0,2,-5861,12418,18279,55,True,0
0,0,1,0,0.3,570,0.00,0.01,0.01,1.17,34,1,0,0.4,1.2,2024-09-14T14:00:00Z,18,7,0,0,0,0,4,0,65889,0,2,2,2.0,1,-6696,8317,15013,55,False,0
0,0,3,0,0.3,570,0.00,0.00,0.00,0.08,45,0,0,0.0,0.0,2024-09-21T14:00:00Z,1,8,0,0,0,0,5,0,58991,0,1,1,0.0,1,-7608,2586,10194,55,True,0
0,0,3,0,0.0,570,0.00,0.00,0.00,0.90,51,1,0,0.0,0.0,2024-09-28T14:00:00Z,1,1,0,0,0,0,6,0,46630,0,2,4,0.0,1,-12611,672,13283,55,False,0
0,0,2,0,0.0,570,0.00,0.03,0.03,0.50,68,0,0,0.2,0.0,2024-10-05T14:00:00Z,8,3,0,0,0,0,7,0,41153,0,0,1,2.0,1,-6111,1216,7327,54,True,0
1,0,16,0,11.6,570,0.34,0.51,0.17,0.45,78,0,0,8.3,25.2,2024-10-19T14:00:00Z,31,17,0,0,0,0,8,0,37798,0,3,2,46.0,4,-3637,947,4584,54,False,0
0,0,11,0,17.4,570,0.09,0.10,0.01,1.73,88,3,0,4.2,11.2,2024-10-25T19:00:00Z,90,16,0,0,0,0,9,0,41859,1,3,1,13.0,2,3616,5481,1865,54,True,0
0,0,12,0,33.8,570,0.34,0.41,0.07,1.00,93,1,0,9.2,25.8,2024-11-02T15:00:00Z,90,10,0,0,0,0,10,0,39359,1,1,1,32.0,2,-2399,1930,4329,54,False,0
