assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,False,17,0,0,0,0,1,0,8597,0,0,1,0.0,0,0,0,0,70,True,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2024-08-25T13:00:00Z,0,False,3,0,0,0,0,2,0,5926,0,1,1,0.0,0,-3000,114,3114,70,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2024-09-01T12:30:00Z,0,False,18,0,0,0,0,3,0,4858,0,1,2,0.0,0,-1252,179,1431,69,True,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,False,20,0,0,0,0,4,0,4461,0,2,1,0.0,0,-616,249,865,69,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,False,9,0,0,0,0,5,0,4209,0,1,3,0.0,0,-325,115,440,69,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,58,0,0,0.0,0.0,2024-09-28T11:30:00Z,0,False,13,0,0,0,0,6,0,3977,0,1,1,0.0,0,-275,123,398,69,True,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,67,0,0,0.0,0.0,2024-10-05T16:30:00Z,0,False,8,0,0,0,0,7,0,3846,0,0,0,0.0,0,-191,118,309,69,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,76,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,False,5,0,0,0,0,8,0,3903,0,1,0,0.0,0,-43,150,193,69,True,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,False,6,0,0,0,0,9,0,3876,0,1,2,0.0,0,-58,72,130,69,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,False,1,0,0,0,0,10,0,3800,0,0,1,0.0,0,-112,85,197,69,True,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,107,0,0,0.0,0.0,2024-11-10T14:00:00Z,0,False,16,0,0,0,0,11,0,3781,0,3,1,0.0,0,-44,95,139,69,False,0
0,0,4,0,1.1,421,0.00,0.00,0.00,0.28,119,0,0,0.3,2.0,2024-11-25T20:00:00Z,22,False,19,0,0,0,0,12,0,3828,0,2,0,0.0,1,-12,147,159,69,True,0
0,0,-3,0,0.3,421,0.00,0.00,0.00,0.15,124,1,0,0.0,0.0,2024-11-30T15:00:00Z,15,False,7,0,0,0,0,13,0,4600,0,1,1,0.0,0,491,653,162,69,False,1
0,0,4,0,0.0,421,0.00,0.00,0.00,0.08,139,0,0,0.0,0.0,2024-12-04T19:30:00Z,3,False,12,0,0,0,0,14,0,5847,0,3,3,0.0,1,755,1276,521,69,True,0
0,0,1,0,0.3,421,0.00,0.00,0.00,0.66,142,1,0,0.8,0.0,2024-12-07T15:00:00Z,17,False,4,0,0,0,0,15,0,6891,0,2,4,8.0,1,488,1380,892,69,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,False,11,0,0,0,0,16,0,6545,0,0,4,0.0,0,-714,709,1423,69,True,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,166,0,0,0.0,0.0,2024-12-21T15:00:00Z,0,False,10,0,0,0,0,17,0,5733,0,4,0,0.0,0,-849,125,974,69,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,177,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,False,2,0,0,0,0,18,0,5416,0,0,3,0.0,0,-368,93,461,69,True,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,188,0,0,0.0,0.0,2024-12-30T20:00:00Z,0,False,14,0,0,0,0,19,0,5263,0,2,0,0.0,0,-181,67,248,69,False,0
0,0,0,0,0.0,421,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2025-01-04T12:30:00Z,0,False,18,0,0,0,0,20,0,5143,0,2,1,0.0,0,-134,114,248,69,False,0
