assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,0,15.9,450,0.03,0.10,0.07,0.00,5,0,0,4.3,8.4,2024-08-17T14:00:00Z,9,15,0,0,0,0,1,0,9504,0,0,1,19.0,1,0,0,0,50,False,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,16,0,0,0,0,2,0,10045,0,1,0,0.0,0,-822,587,1409,50,True,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,4,0,0,0,0,3,0,7659,0,1,3,0.0,0,-2642,485,3127,49,False,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2024-09-14T11:30:00Z,0,14,0,0,0,0,4,0,4792,0,3,0,0.0,0,-2887,0,2887,49,True,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,48,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,10,0,0,0,0,5,0,4037,0,1,1,0.0,0,-826,0,826,49,True,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,52,0,0,0.0,0.0,2024-09-30T19:00:00Z,0,3,0,0,0,0,6,0,3499,0,1,3,0.0,0,-539,0,539,49,False,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,1,0,0,0,0,7,0,3136,0,1,3,0.0,0,-371,0,371,49,False,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,78,0,0,0.0,0.0,2024-10-19T14:00:00Z,0,11,0,0,0,0,8,0,2938,0,3,2,0.0,0,-210,0,210,49,True,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,13,0,0,0,0,9,0,2823,0,0,1,0.0,0,-113,0,113,49,False,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,8,0,0,0,0,10,0,2700,0,0,1,0.0,0,-126,0,126,49,True,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,110,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,20,0,0,0,0,11,0,2641,0,0,2,0.0,0,-61,0,61,49,False,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,120,0,0,0.0,0.0,2024-11-24T14:00:00Z,0,12,0,0,0,0,12,0,2564,0,3,2,0.0,0,-73,0,73,49,True,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2024-11-29T20:00:00Z,0,5,0,0,0,0,13,0,2518,0,1,1,0.0,0,-49,0,49,49,False,0
0,0,0,0,0.0,450,0.00,0.00,0.00,0.00,140,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,6,0,0,0,0,14,0,2480,0,5,1,0.0,0,-39,0,39,49,True,0
