assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,11,0,0.0,47,0.00,0.00,0.00,2.46,7,1,0,2.6,25.8,2024-08-17T16:30:00Z,90,19,0,0,0,0,1,3,1108383,1,2,1,0.0,3,0,0,0,50,False,0
0,0,10,0,0.0,47,0.00,0.00,0.00,0.87,11,2,0,1.8,18.4,2024-08-24T16:30:00Z,90,1,0,0,0,0,2,2,1197783,1,2,0,0.0,1,-42615,30065,72680,50,True,0
0,0,12,0,0.0,47,0.00,0.00,0.00,0.45,26,1,0,1.6,15.6,2024-08-31T14:00:00Z,90,11,0,0,0,0,3,2,1292696,1,2,1,0.0,2,35399,156570,121171,50,False,0
0,0,-3,0,0.0,47,0.00,0.00,0.00,0.90,31,2,0,0.4,4.0,2024-09-14T16:30:00Z,90,8,0,0,0,0,4,0,1357423,1,2,3,0.0,0,25195,154296,129101,50,True,1
0,0,11,0,0.0,47,0.00,0.00,0.00,0.51,41,1,0,3.0,29.6,2024-09-21T14:00:00Z,90,20,0,0,0,0,5,3,1382650,1,1,3,0.0,3,7238,83160,75922,50,True,0
0,0,10,0,0.0,47,0.00,0.00,0.00,1.18,56,2,0,2.1,21.2,2024-09-29T13:00:00Z,90,10,0,0,0,0,6,3,1402685,1,2,2,0.0,2,6127,98407,92280,50,False,0
0,2,30,1,0.0,47,0.00,0.00,0.00,0.52,62,0,0,2.8,27.8,2024-10-06T13:00:00Z,90,14,0,0,0,0,7,4,1332864,1,0,0,0.0,9,-74223,28884,103107,50,True,0
0,0,24,0,0.0,47,0.00,0.00,0.00,1.78,72,1,0,4.8,48.4,2024-10-19T14:00:00Z,90,9,0,0,1,0,8,3,1380557,1,3,1,0.0,8,23250,59713,36463,50,False,0
0,0,10,0,0.0,47,0.00,0.00,0.00,0.31,82,1,0,1.8,17.6,2024-10-26T14:00:00Z,90,3,0,0,0,0,9,2,1476141,1,1,1,0.0,2,74562,89899,15337,50,True,0
0,0,0,0,0.0,47,0.00,0.00,0.00,2.44,99,4,0,1.6,16.0,2024-11-03T14:00:00Z,90,18,0,0,0,0,10,2,1462663,1,1,4,0.0,0,-16544,42410,58954,50,False,0
0,0,6,0,0.0,47,0.00,0.00,0.00,2.02,105,2,0,2.0,19.6,2024-11-09T20:00:00Z,90,12,0,0,0,0,11,3,1405721,1,0,2,0.0,2,-62212,19819,82031,50,False,0
0,0,15,0,0.0,47,0.00,0.00,0.00,1.26,112,2,0,3.7,37.0,2024-11-23T15:00:00Z,90,7,0,0,0,0,12,4,1421379,1,2,2,0.0,2,-2584,36279,38863,50,True,0
0,0,3,0,0.0,47,0.00,0.00,0.00,0.82,123,2,0,2.7,27.4,2024-12-01T13:30:00Z,45,6,0,0,0,0,13,3,1377990,1,0,3,0.0,1,-43333,12648,55981,50,False,0
