assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,0,0.0,653,0.00,0.00,0.00,0.09,36,0,0,0.3,3.0,2024-09-14T14:00:00Z,9,False,12,0,0,0,0,4,0,447,0,1,0,0.0,1,76,107,31,45,False,0
0,0,7,0,0.0,653,0.00,0.00,0.00,0.07,42,0,0,1.1,11.2,2024-09-22T13:00:00Z,18,False,5,0,0,0,0,5,0,849,0,2,2,0.0,1,111,177,66,45,False,0
0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,59,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,9,0,0,0,0,6,0,1163,0,1,0,0.0,0,12,125,113,45,True,0
0,0,5,0,0.0,653,0.00,0.00,0.00,1.03,65,0,0,0.8,8.2,2024-10-06T13:00:00Z,8,False,6,0,0,0,0,7,0,1395,0,1,1,0.0,1,-27,94,121,45,False,0
0,0,3,0,1.3,653,0.00,0.00,0.00,0.22,77,0,0,0.2,0.8,2024-10-21T19:00:00Z,12,False,7,0,0,0,0,8,0,1762,0,0,1,0.0,1,11,140,129,45,True,0
0,0,6,0,0.3,653,0.00,0.00,0.00,0.06,88,0,0,0.9,8.2,2024-10-25T19:00:00Z,18,False,11,0,0,0,0,9,0,1968,0,3,1,0.0,1,36,125,89,45,False,0
0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,False,19,0,0,0,0,10,0,2294,0,0,3,0.0,0,102,249,147,45,True,0
0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,107,0,0,0.0,0.0,2024-11-10T14:00:00Z,0,False,15,0,0,0,0,11,0,2631,0,3,1,0.0,0,146,319,173,45,True,0
0,0,0,0,0.0,653,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,False,1,0,0,0,0,12,0,3077,0,0,3,0.0,0,168,351,183,45,False,0
0,0,3,0,0.0,653,0.00,0.00,0.00,0.15,127,0,0,0.5,5.0,2024-11-30T15:00:00Z,12,False,10,0,0,0,0,13,0,3265,0,0,1,0.0,1,24,217,193,45,True,0
0,0,0,0,1.6,653,0.01,0.01,0.00,0.45,138,1,0,1.1,9.6,2024-12-04T19:30:00Z,45,False,13,0,0,0,0,14,0,3384,0,0,3,0.0,1,-29,161,190,45,False,0
0,0,4,0,0.0,653,0.00,0.00,0.00,0.23,148,0,0,0.8,7.8,2024-12-07T17:30:00Z,22,False,14,0,0,0,0,15,0,3503,0,3,2,0.0,1,-35,151,186,45,False,0
0,0,9,0,0.0,653,0.00,0.00,0.00,0.05,158,0,0,0.8,7.8,2024-12-14T17:30:00Z,22,False,2,0,0,0,0,16,0,3839,0,1,2,0.0,1,91,274,183,45,True,0
0,0,19,1,0.1,653,0.00,0.00,0.00,0.72,162,0,0,1.1,10.4,2024-12-21T15:00:00Z,90,False,4,0,0,0,0,17,0,4226,1,2,0,0.0,6,114,328,214,45,False,0
0,0,4,0,0.0,653,0.00,0.00,0.00,0.07,178,0,0,0.2,2.0,2024-12-26T15:00:00Z,16,False,18,0,0,0,0,18,0,4904,0,0,1,0.0,1,437,683,246,45,True,0
