assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,1,0,2923,0,0,2,0.0,0,0,0,0,55,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,2,0,2321,0,2,0,0.0,0,-790,84,874,55,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2024-08-31T11:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,3,0,2397,0,1,1,0.0,0,-279,355,634,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,4,0,1650,0,1,0,0.0,0,-747,0,747,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2024-09-22T15:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,5,0,1494,0,2,2,0.0,0,-174,0,174,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,6,0,1387,0,2,4,0.0,0,-110,0,110,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,7,0,1312,0,1,3,0.0,0,-75,0,75,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,71,0,0,0.0,0.0,2024-10-19T16:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,8,0,1260,0,0,2,0.0,0,-53,0,53,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2024-10-27T16:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,9,0,1241,0,2,2,0.0,0,-19,0,19,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2024-11-02T12:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,10,0,1232,0,0,1,0.0,0,-9,0,9,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,103,0,0,0.0,0.0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,11,0,1215,0,1,1,0.0,0,-18,0,18,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,12,0,1202,0,0,3,0.0,0,-13,0,13,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2024-11-30T17:30:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,13,0,1195,0,5,2,0.0,0,-7,0,7,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,131,0,0,0.0,0.0,2024-12-04T20:15:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,14,0,1186,0,0,2,0.0,0,-9,0,9,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,145,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,15,0,1178,0,1,1,0.0,0,-7,0,7,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,151,0,0,0.0,0.0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,16,0,1167,0,0,0,0.0,0,-11,0,11,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,163,0,0,0.0,0.0,2024-12-21T17:30:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,17,0,1162,0,5,1,0.0,0,-6,0,6,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,171,0,0,0.0,0.0,2024-12-27T20:15:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,18,0,1152,0,0,1,0.0,0,-9,0,9,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,182,0,0,0.0,0.0,2025-01-01T17:30:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,19,0,1149,0,3,1,0.0,0,-4,0,4,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,193,0,0,0.0,0.0,2025-01-04T17:30:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,20,0,1143,0,1,1,0.0,0,-5,0,5,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,201,0,0,0.0,0.0,2025-01-15T20:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,21,0,1138,0,1,2,0.0,0,-5,0,5,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,211,0,0,0.0,0.0,2025-01-18T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,22,0,1136,0,2,2,0.0,0,-3,0,3,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,230,0,0,0.0,0.0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,23,0,1129,0,1,0,0.0,0,-7,0,7,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2025-02-02T16:30:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,24,0,1120,0,1,5,0.0,0,-8,0,8,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,245,0,0,0.0,0.0,2025-02-15T12:30:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,25,0,1119,0,2,0,0.0,0,-2,0,2,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,251,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,26,0,1114,0,1,0,0.0,0,-5,0,5,54,True,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,264,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,27,0,1112,0,0,0,0.0,0,-2,0,2,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,276,0,0,0.0,0.0,2025-03-09T16:30:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,28,0,1112,0,1,1,0.0,0,0,0,0,54,False,0
0,0,0,0,0.0,1,0.00,0.00,0.00,0.00,281,0,0,0.0,0.0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,29,0,1110,0,0,1,0.0,0,-2,0,2,54,True,0
