assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,1,0,0,0,0,1,0,27869,0,0,2,0.0,0,0,0,0,50,False,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2024-08-25T13:00:00Z,0,6,0,0,0,0,2,0,31835,0,6,2,0.0,0,-1975,3044,5019,50,True,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,16,0,0,0,0,3,0,31428,0,1,1,0.0,0,-2530,4550,7080,50,False,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,15,0,0,0,0,4,0,20175,0,2,1,0.0,0,-11064,0,11064,50,True,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,2,0,0,0,0,5,0,17476,0,1,3,0.0,0,-3077,0,3077,50,False,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,60,0,0,0.0,0.0,2024-09-28T16:30:00Z,0,12,0,0,0,0,6,0,15430,0,2,1,0.0,0,-2082,0,2082,50,True,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,4,0,0,0,0,7,0,14101,0,3,5,0.0,0,-1352,0,1352,50,False,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,80,0,0,0.0,0.0,2024-10-20T13:00:00Z,0,13,0,0,0,0,8,0,13191,0,2,1,0.0,0,-918,0,918,50,True,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,5,0,0,0,0,9,0,12746,0,2,2,0.0,0,-451,0,451,50,False,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,7,0,0,0,0,10,0,12189,0,2,2,0.0,0,-558,0,558,50,True,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,110,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,17,0,0,0,0,11,0,11839,0,0,2,0.0,0,-359,0,359,50,True,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,115,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,9,0,0,0,0,12,0,11509,0,4,1,0.0,0,-333,0,333,50,False,0
0,0,0,0,0.0,545,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,3,0,0,0,0,13,0,11308,0,4,2,0.0,0,-205,0,205,50,True,0
