assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2024-08-17T11:30:00Z,0,12,0,0,0,0,1,0,2030,0,2,0,0.0,0,0,0,0,55,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,13,0,0,0,0,2,0,1717,0,1,4,0.0,0,-413,224,637,55,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,9,0,0,0,0,3,0,1346,0,1,1,0.0,0,-421,79,500,54,True,0
0,0,3,0,10.3,272,0.00,0.00,0.00,0.44,33,0,0,1.4,1.2,2024-09-14T14:00:00Z,31,5,0,0,0,0,4,0,1469,0,0,0,2.0,1,60,390,330,54,False,0
0,0,2,0,1.3,272,0.01,0.51,0.50,0.37,48,0,0,4.2,1.2,2024-09-21T14:00:00Z,17,17,0,0,0,0,5,0,1669,0,1,1,39.0,1,97,345,248,54,False,0
0,0,3,0,0.0,272,0.00,0.00,0.00,0.00,56,0,0,0.2,2.0,2024-09-29T13:00:00Z,1,2,0,0,0,0,6,0,1820,0,2,2,0.0,1,79,332,253,54,True,0
0,0,2,0,0.0,272,0.00,0.00,0.00,0.08,70,0,0,0.0,0.0,2024-10-05T14:00:00Z,7,19,0,0,0,0,7,0,2197,0,1,4,0.0,1,252,538,286,54,False,0
0,0,3,0,0.5,272,0.00,0.00,0.00,0.56,73,0,0,0.3,0.4,2024-10-19T14:15:00Z,11,8,0,0,0,0,8,0,2531,0,2,0,2.0,1,204,502,298,54,True,0
1,2,44,0,23.6,272,0.07,0.34,0.27,3.35,83,3,1,9.7,52.0,2024-10-26T14:00:00Z,72,4,0,0,0,0,9,0,2503,1,3,4,21.0,11,-72,226,298,54,False,0
0,0,-2,0,0.3,272,0.00,0.00,0.00,1.16,93,1,0,0.4,3.2,2024-11-02T15:00:00Z,15,11,0,0,0,0,10,0,8296,0,1,1,0.0,0,5003,5957,954,54,True,1
0,0,1,0,1.0,272,0.02,0.02,0.00,0.54,108,0,0,0.5,0.2,2024-11-10T14:00:00Z,20,18,0,0,0,0,11,0,5534,0,2,1,4.0,1,-2467,621,3088,54,False,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,116,0,0,0.0,0.0,2024-11-24T16:30:00Z,0,14,0,0,0,0,12,0,4924,0,1,1,0.0,0,-763,593,1356,54,True,0
0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,16,0,0,0,0,13,0,3987,0,0,1,0.0,0,-937,49,986,54,False,0
