assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,13,0,0.2,245,0.00,0.00,0.00,2.43,1,1,0,2.6,25.4,2024-08-16T19:00:00Z,90,False,14,0,0,0,0,1,0,12977,1,0,1,0.0,2,0,0,0,45,False,0
0,0,5,0,0.8,245,0.01,0.01,0.00,0.61,15,1,0,1.0,7.4,2024-08-24T14:00:00Z,90,False,11,0,0,0,0,2,0,28544,1,1,2,2.0,2,3643,5499,1856,45,True,0
0,0,5,0,11.3,245,0.01,0.18,0.17,0.45,25,1,0,3.6,13.8,2024-08-31T14:00:00Z,90,False,10,0,0,0,0,3,0,32003,1,1,1,11.0,2,1061,5451,4390,45,False,0
0,0,0,0,0.0,245,0.00,0.00,0.00,0.00,35,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,False,19,0,0,0,0,4,0,30746,0,1,1,0.0,0,-2131,1985,4116,45,True,0
0,0,3,0,0.0,245,0.00,0.00,0.00,0.30,44,0,0,0.4,4.2,2024-09-21T14:00:00Z,6,False,15,0,0,0,0,5,0,28805,0,1,3,0.0,1,-2438,475,2913,45,True,0
0,0,4,0,0.0,245,0.00,0.00,0.00,0.02,59,0,0,0.6,6.0,2024-09-28T14:00:00Z,2,False,16,0,0,0,0,6,0,27493,0,1,0,0.0,1,-1720,539,2259,45,False,0
0,0,0,0,0.0,245,0.00,0.00,0.00,0.00,69,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,False,13,0,0,0,0,7,0,26251,0,2,3,0.0,0,-1649,342,1991,45,False,0
0,0,-9,0,0.4,245,0.00,0.03,0.03,0.17,72,1,0,1.7,0.0,2024-10-19T14:00:00Z,22,False,2,1,0,0,0,8,0,25825,0,3,1,19.0,-2,-875,345,1220,45,True,1
0,0,15,0,10.5,245,0.00,0.06,0.06,0.79,87,1,0,3.8,23.8,2024-10-26T16:30:00Z,90,False,8,0,0,0,0,9,0,25453,1,1,1,4.0,2,-634,318,952,44,False,0
0,0,0,0,0.0,245,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,False,4,0,0,0,0,10,0,25389,0,1,2,0.0,0,-194,581,775,44,True,0
0,0,0,0,0.0,245,0.00,0.00,0.00,0.00,104,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,False,7,0,0,0,0,11,0,24942,0,2,0,0.0,0,-518,328,846,44,False,0
0,0,0,0,0.0,245,0.00,0.00,0.00,0.00,115,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,False,20,0,0,0,0,12,0,24766,0,4,1,0.0,0,-327,520,847,44,True,0
0,0,11,0,0.5,245,0.00,0.25,0.25,0.65,128,1,0,6.4,28.4,2024-12-01T13:30:00Z,90,False,18,0,0,0,0,13,0,24208,1,1,1,35.0,2,-633,168,801,44,False,0
0,0,8,0,0.3,245,0.00,0.00,0.00,1.34,135,1,0,1.4,11.4,2024-12-05T19:30:00Z,90,False,5,0,0,0,0,14,0,24087,1,1,3,2.0,2,-208,278,486,44,True,0
0,0,8,0,0.6,245,0.00,0.00,0.00,2.03,145,1,0,2.1,18.4,2024-12-08T14:00:00Z,90,False,1,0,0,0,0,15,0,23745,1,1,1,2.0,2,-386,192,578,44,True,0
