assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,7,0,1.8,80,0.02,0.17,0.15,1.02,6,1,0,3.2,7.0,2024-08-17T14:00:00Z,63,0,0,0,0,0,0,0,False,16,0,0,0,0,1,0,17130,1,1,1,23.0,2,0,0,0,50,False,0
0,0,7,0,10.8,80,0.05,0.09,0.04,1.03,12,1,0,4.0,10.0,2024-08-25T13:00:00Z,18,0,0,0,0,0,0,0,False,15,0,0,0,0,2,0,18377,0,1,1,19.0,1,-575,1319,1894,50,True,0
1,2,38,0,17.8,80,0.24,0.61,0.37,0.26,24,0,1,10.5,51.0,2024-08-31T14:00:00Z,25,0,0,0,0,0,0,0,False,8,0,0,0,0,3,0,15915,0,3,2,36.0,11,-2892,1030,3922,50,False,0
0,0,3,0,10.3,80,0.00,0.09,0.09,0.32,32,1,0,1.8,2.2,2024-09-14T19:00:00Z,22,0,0,0,0,0,0,0,False,6,0,0,0,0,4,0,51718,0,1,0,5.0,1,29679,41868,12189,50,True,0
0,0,3,0,22.9,80,0.01,0.36,0.35,0.40,46,0,0,9.9,11.4,2024-09-21T14:00:00Z,20,0,0,0,0,0,0,0,False,12,0,0,0,0,5,0,50533,0,0,3,65.0,1,-224,6649,6873,50,False,0
0,0,4,0,0.0,80,0.00,0.06,0.06,0.00,52,0,0,2.1,4.0,2024-09-30T19:00:00Z,1,0,0,0,0,0,0,0,False,17,0,0,0,0,6,0,55206,0,1,3,17.0,1,3714,13022,9308,50,True,0
0,0,12,0,32.4,80,0.59,0.62,0.03,0.03,68,0,0,5.2,9.8,2024-10-05T14:00:00Z,27,0,0,0,0,0,0,0,False,11,0,0,0,0,7,0,48077,0,0,1,10.0,1,-6974,3022,9996,50,False,0
0,0,1,0,0.3,80,0.00,0.00,0.00,0.42,71,0,0,0.5,3.0,2024-10-19T16:30:00Z,27,0,0,0,0,0,0,0,False,1,0,0,0,0,8,0,40947,0,0,2,2.0,1,-7380,733,8113,50,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2024-10-26T14:00:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,9,0,35340,0,1,1,0.0,0,-5762,338,6100,50,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,10,0,27573,0,1,2,0.0,0,-7800,48,7848,50,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,101,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,11,0,22527,0,2,3,0.0,0,-5153,28,5181,50,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,113,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,12,0,19466,0,2,1,0.0,0,-3125,21,3146,49,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,13,0,18030,0,4,2,0.0,0,-1521,33,1554,49,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,133,0,0,0.0,0.0,2024-12-05T20:15:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,14,0,16816,0,0,1,0.0,0,-1233,7,1240,49,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2024-12-08T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,15,0,15957,0,2,1,0.0,0,-854,11,865,49,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2024-12-16T20:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,16,0,15149,0,1,1,0.0,0,-837,21,858,49,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,168,0,0,0.0,0.0,2024-12-22T14:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,17,0,14664,0,3,0,0.0,0,-494,10,504,49,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2024-12-26T15:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,18,0,14126,0,0,0,0.0,0,-529,25,554,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,185,0,0,0.0,0.0,2024-12-29T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,19,0,13817,0,2,2,0.0,0,-321,16,337,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,192,0,0,0.0,0.0,2025-01-04T15:00:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,20,0,13432,0,0,1,0.0,0,-386,16,402,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,208,0,0,0.0,0.0,2025-01-14T19:30:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,21,0,13108,0,2,2,0.0,0,-329,25,354,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,218,0,0,0.0,0.0,2025-01-18T12:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,22,0,12958,0,4,1,0.0,0,-166,19,185,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,222,0,0,0.0,0.0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,23,0,12742,0,0,5,0.0,0,-220,22,242,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,232,0,0,0.0,0.0,2025-02-01T15:00:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,24,0,12603,0,2,0,0.0,0,-138,28,166,48,True,0
0,0,2,0,1.7,80,0.00,0.00,0.00,0.33,248,0,0,0.7,3.2,2025-02-15T15:00:00Z,2,0,0,0,0,0,0,0,False,17,0,0,0,0,25,0,12481,0,3,1,2.0,1,-130,50,180,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,253,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,26,0,12611,0,1,0,0.0,0,107,179,72,48,True,0
0,0,4,0,1.4,80,0.00,0.09,0.09,0.00,262,0,0,1.5,1.4,2025-02-25T19:30:00Z,5,0,0,0,0,0,0,0,False,5,0,0,0,0,27,0,12715,0,1,2,12.0,1,83,172,89,48,False,0
0,0,2,0,0.3,80,0.01,0.01,0.00,0.04,278,0,0,0.7,2.4,2025-03-09T14:00:00Z,1,0,0,0,0,0,0,0,False,18,0,0,0,0,28,0,12816,0,2,2,4.0,1,62,193,131,48,False,0
0,0,7,0,15.6,80,0.37,0.37,0.00,0.23,283,1,0,2.2,6.6,2025-03-15T17:30:00Z,18,0,0,0,0,0,0,0,False,4,0,0,0,0,29,0,12976,0,2,1,0.0,1,52,154,102,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,292,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,30,0,12670,0,2,1,0.0,0,-204,22,226,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,310,0,0,0.0,0.0,2025-04-05T14:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,31,0,12542,0,2,2,0.0,0,-130,7,137,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,312,0,0,0.0,0.0,2025-04-14T19:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,32,0,12440,0,0,1,0.0,0,-105,5,110,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,323,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,33,0,12376,0,0,0,0.0,0,-65,3,68,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,332,0,0,0.0,0.0,2025-04-27T13:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,34,0,12337,0,1,1,0.0,0,-44,9,53,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,341,0,0,0.0,0.0,2025-05-03T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,35,0,12324,0,2,1,0.0,0,-13,22,35,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,351,0,0,0.0,0.0,2025-05-10T16:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,36,0,12295,0,1,0,0.0,0,-28,19,47,48,True,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,369,0,0,0.0,0.0,2025-05-20T19:00:00Z,0,0,0,0,0,0,0,0,False,13,0,0,0,0,37,0,12279,0,1,3,0.0,0,-19,8,27,48,False,0
0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,371,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,38,0,12297,0,0,2,0.0,0,16,46,30,48,True,0
