assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,13,0,0.0,443,0.00,0.00,0.00,1.22,6,1,0,2.4,23.8,2024-08-17T14:00:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,1,3,100200,1,1,1,0.0,3,0,0,0,45,True,0
0,0,21,1,0.0,443,0.00,0.00,0.00,0.14,18,0,0,0.5,5.0,2024-08-24T14:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,2,1,118001,1,1,0,0.0,6,6904,14750,7846,45,False,0
0,0,5,0,0.0,443,0.00,0.00,0.00,0.74,29,1,0,0.9,9.4,2024-08-31T14:00:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,3,1,167878,1,1,1,0.0,2,37065,63562,26497,45,True,0
0,3,29,1,0.0,443,0.00,0.00,0.00,0.94,36,0,0,3.8,37.8,2024-09-14T14:00:00Z,90,0,0,0,0,0,0,0,False,12,0,0,0,0,4,5,184251,1,1,0,0.0,9,11762,52663,40901,45,False,1
0,0,1,0,0.0,443,0.00,0.00,0.00,0.94,42,2,0,1.0,10.2,2024-09-22T13:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,5,1,249547,1,2,2,0.0,1,59341,71900,12559,45,False,0
0,0,5,0,0.1,443,0.04,0.04,0.00,1.33,59,1,0,1.1,10.4,2024-09-28T14:00:00Z,90,0,0,0,0,0,0,0,False,9,0,0,0,0,6,1,292845,1,1,0,0.0,2,41435,81962,40527,45,True,0
0,0,17,0,0.0,443,0.00,0.00,0.00,2.27,65,1,0,5.4,54.2,2024-10-06T13:00:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,7,7,309623,1,1,1,0.0,3,15023,36291,21268,45,False,1
0,3,34,1,0.0,443,0.00,0.00,0.00,1.12,77,0,0,5.2,51.6,2024-10-21T19:00:00Z,90,0,0,0,0,0,0,0,False,7,0,0,0,0,8,7,345489,1,0,1,0.0,11,32124,56584,24460,45,True,0
1,0,13,0,0.0,443,0.00,0.00,0.00,0.76,88,1,0,0.3,2.6,2024-10-25T19:00:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,9,0,435421,1,3,1,0.0,5,83225,91256,8031,45,False,0
0,0,21,1,0.0,443,0.00,0.00,0.00,0.13,97,0,0,0.6,5.8,2024-11-02T15:00:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,10,1,610408,1,0,3,0.0,6,159472,168665,9193,46,True,0
0,0,3,0,0.0,443,0.00,0.00,0.00,1.70,107,3,0,2.5,24.6,2024-11-10T14:00:00Z,90,0,0,0,0,0,0,0,False,15,0,0,0,0,11,3,788524,1,3,1,0.0,2,166978,180287,13309,47,True,0
0,0,0,0,0.0,443,0.00,0.00,0.00,1.19,111,3,0,2.8,27.8,2024-11-23T15:00:00Z,90,0,0,0,0,0,0,0,False,1,0,0,0,0,12,3,789812,1,0,3,0.0,2,8368,58834,50466,47,False,0
0,0,24,1,0.0,443,0.00,0.00,0.00,0.59,127,0,0,1.7,16.6,2024-11-30T15:00:00Z,90,0,0,0,0,0,0,0,False,10,0,0,0,0,13,2,823807,1,0,1,0.0,6,24646,45052,20406,47,True,0
0,0,2,0,0.0,443,0.00,0.00,0.00,2.41,138,3,0,2.7,26.8,2024-12-04T19:30:00Z,90,0,0,0,0,0,0,0,False,13,0,0,0,0,14,3,819566,1,0,3,0.0,2,-1882,34331,36213,47,False,0
0,0,12,0,0.0,443,0.00,0.00,0.00,1.60,148,2,0,4.0,39.6,2024-12-07T17:30:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,15,5,813873,1,3,2,0.0,2,-5755,26008,31763,47,False,0
0,0,8,0,0.0,443,0.00,0.00,0.00,0.42,158,1,0,1.1,11.0,2024-12-14T17:30:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,16,1,872870,1,1,2,0.0,2,49620,72134,22514,47,True,0
0,0,27,1,0.0,443,0.00,0.00,0.00,0.72,162,0,0,2.7,26.8,2024-12-21T15:00:00Z,90,0,0,0,0,0,0,0,False,4,0,0,0,0,17,3,891922,1,2,0,0.0,7,18609,45497,26888,47,False,0
0,1,28,1,0.0,443,0.00,0.00,0.00,0.90,178,0,0,3.4,33.6,2024-12-26T15:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,18,4,946274,1,0,1,0.0,8,50234,75101,24867,47,True,0
0,0,25,1,0.0,443,0.00,0.00,0.00,0.89,184,0,0,1.9,19.0,2024-12-29T15:00:00Z,90,0,0,0,0,0,0,0,False,8,0,0,0,0,19,2,1105339,1,2,0,0.0,6,150470,164432,13962,48,False,0
0,2,31,1,0.0,443,0.00,0.00,0.00,1.57,200,0,0,4.2,42.4,2025-01-06T20:00:00Z,90,0,0,0,0,0,0,0,False,20,0,0,0,0,20,5,1426540,1,3,0,0.0,9,303402,345887,42485,49,False,0
0,0,13,0,0.0,443,0.02,0.02,0.00,1.99,206,1,0,3.4,34.0,2025-01-14T20:00:00Z,90,0,0,0,0,0,0,0,False,12,0,0,0,0,21,5,1560987,1,1,1,0.0,3,132916,187187,54271,49,True,0
0,0,2,0,0.0,443,0.00,0.00,0.00,0.89,219,2,0,1.2,12.0,2025-01-19T14:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,22,1,1917396,1,2,3,0.0,1,336427,356139,19712,50,True,0
0,0,-5,0,0.0,443,0.00,0.00,0.00,1.69,222,5,0,3.0,29.6,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,23,5,2004979,1,0,5,0.0,1,81852,145152,63300,50,False,0
0,0,32,1,0.0,443,0.00,0.00,0.00,0.88,239,0,0,3.9,38.6,2025-02-01T12:30:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,24,6,1964581,1,0,7,0.0,8,-36948,74425,111373,50,True,0
