assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,11,0,27.5,525,0.47,0.55,0.08,2.03,7,2,0,5.7,7.6,2024-08-17T16:30:00Z,90,2,0,0,0,0,1,0,763274,1,2,1,22.0,2,0,0,0,65,True,0
0,0,9,1,8.8,525,0.16,0.24,0.08,1.32,14,0,0,2.5,7.4,2024-08-24T14:00:00Z,87,7,0,0,0,0,2,0,779757,1,2,0,9.0,3,-49384,37199,86583,65,False,0
0,0,3,0,7.9,525,0.03,0.14,0.11,3.00,30,3,0,3.0,10.0,2024-08-31T16:30:00Z,90,13,0,0,0,0,3,0,619152,1,3,1,12.0,2,-170947,19412,190359,64,True,0
0,0,16,0,33.3,525,0.07,0.10,0.03,1.54,35,1,0,5.2,12.4,2024-09-14T14:00:00Z,90,9,0,0,0,0,4,0,575587,1,1,1,6.0,2,-62820,50923,113743,64,False,0
0,0,10,0,3.8,525,0.01,0.20,0.19,2.19,50,3,0,6.7,13.6,2024-09-21T11:30:00Z,90,6,0,0,0,0,5,0,534684,1,3,0,50.0,2,-46443,20701,67144,64,True,0
0,0,0,0,3.7,525,0.02,0.13,0.11,0.26,53,1,0,4.2,2.2,2024-09-28T14:00:00Z,45,4,0,0,0,0,6,0,486015,1,1,1,36.0,1,-52989,29441,82430,63,False,0
0,0,31,0,13.2,525,0.06,1.59,1.53,0.52,70,1,1,14.7,44.0,2024-10-05T14:00:00Z,85,10,0,0,0,0,7,0,450418,1,1,4,90.0,7,-39516,19808,59324,63,True,0
0,0,21,0,7.1,525,0.04,0.74,0.70,1.89,79,4,1,10.8,43.6,2024-10-19T11:30:00Z,85,18,0,0,0,1,8,0,436878,1,1,4,57.0,4,-17307,16658,33965,63,False,0
0,0,0,0,0.0,525,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,14,0,0,0,0,9,0,346612,0,1,2,0.0,0,-89313,2133,91446,63,True,0
0,0,0,0,0.0,525,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,16,0,0,0,0,10,0,294173,0,0,3,0.0,0,-54008,467,54475,62,False,0
0,0,0,0,0.0,525,0.00,0.00,0.00,0.00,109,0,0,0.0,0.0,2024-11-09T15:00:00Z,0,8,0,0,0,0,11,0,269407,0,0,0,0.0,0,-25594,256,25850,62,True,0
0,0,0,0,0.0,525,0.00,0.00,0.00,0.00,119,0,0,0.0,0.0,2024-11-25T20:00:00Z,0,15,0,0,0,0,12,0,252737,0,2,0,0.0,0,-16983,218,17201,62,False,0
0,0,0,0,0.0,525,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2024-11-30T17:30:00Z,0,1,0,0,0,0,13,0,245089,0,5,2,0.0,0,-7959,240,8199,62,True,0
0,0,22,0,54.9,525,0.33,0.49,0.16,1.53,137,2,0,11.3,24.0,2024-12-03T20:15:00Z,78,11,0,0,0,0,14,0,258507,1,1,3,34.0,2,11992,16496,4504,62,False,0
