assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,12,0,15.6,499,0.04,0.05,0.01,0.90,10,1,0,2.9,7.0,2024-08-19T19:00:00Z,77,0,0,0,0,0,0,0,False,11,0,0,0,0,1,0,23419,1,1,1,6.0,2,0,0,0,50,False,0
0,0,1,0,0.5,499,0.00,0.00,0.00,0.00,19,0,0,0.6,3.8,2024-08-24T14:00:00Z,23,0,0,0,0,0,0,0,False,8,0,0,0,0,2,0,25577,0,0,4,2.0,1,-675,2361,3036,50,True,0
0,0,16,0,8.3,499,0.08,0.15,0.07,0.49,28,1,0,3.9,16.8,2024-09-01T12:30:00Z,45,0,0,0,0,0,0,0,False,15,0,0,0,0,3,0,21449,1,1,2,14.0,0,-4561,1190,5751,49,False,1
0,0,7,0,12.1,499,0.01,0.06,0.05,0.00,39,0,0,2.8,8.2,2024-09-15T13:00:00Z,22,0,0,0,0,0,0,0,False,1,0,0,0,0,4,0,22239,0,1,0,8.0,1,-494,4244,4738,49,True,0
0,0,1,0,1.4,499,0.02,0.02,0.00,0.00,49,0,0,0.3,0.0,2024-09-21T14:00:00Z,20,0,0,0,0,0,0,0,False,4,0,0,0,0,5,0,21457,0,1,3,2.0,1,-1093,1281,2374,49,True,0
1,0,12,0,10.6,499,0.00,0.47,0.47,0.19,57,0,0,3.8,15.2,2024-09-29T15:30:00Z,13,0,0,0,0,0,0,0,False,14,0,0,0,0,6,0,19681,0,3,0,12.0,4,-1949,862,2811,49,False,0
0,0,4,0,0.1,499,0.00,0.00,0.00,0.02,64,0,0,0.1,0.4,2024-10-06T15:30:00Z,11,0,0,0,0,0,0,0,False,5,0,0,0,0,7,0,20842,0,2,3,0.0,1,651,2672,2021,49,False,0
1,0,19,0,13.8,499,0.01,0.01,0.00,0.54,79,0,0,4.2,28.6,2024-10-19T11:30:00Z,45,0,0,0,0,0,0,0,False,19,0,0,0,0,8,0,20111,0,1,4,0.0,4,-892,1153,2045,49,True,0
0,0,6,0,4.1,499,0.02,0.02,0.00,0.08,86,0,0,0.8,3.4,2024-10-27T14:00:00Z,28,0,0,0,0,0,0,0,False,7,0,0,0,0,9,0,20647,0,0,1,0.0,1,294,1383,1089,49,False,0
0,0,17,0,8.5,499,0.09,0.19,0.10,1.86,99,1,0,3.3,13.6,2024-11-03T14:00:00Z,90,0,0,0,0,0,0,0,False,2,0,0,0,0,10,0,21294,1,1,4,11.0,2,436,1989,1553,48,True,0
0,0,16,0,19.6,499,0.05,0.05,0.00,1.72,108,2,0,3.0,10.8,2024-11-10T14:00:00Z,65,0,0,0,0,0,0,0,False,10,0,0,0,0,11,0,23111,1,2,1,0.0,2,1597,3297,1700,48,True,0
0,0,15,1,2.8,499,0.02,0.02,0.00,2.14,118,0,0,1.1,8.4,2024-11-23T17:30:00Z,89,0,0,0,0,0,0,0,False,13,0,0,0,0,12,0,21639,1,4,0,0.0,2,-1488,1186,2674,48,False,1
0,0,16,0,4.6,499,0.01,0.01,0.00,1.38,128,1,0,1.7,10.0,2024-12-01T13:30:00Z,84,0,0,0,0,0,0,0,False,9,0,0,0,0,13,0,22044,1,1,1,2.0,2,181,1620,1439,48,True,0
0,0,3,0,13.3,499,0.03,0.03,0.00,1.10,133,1,0,2.2,8.6,2024-12-05T20:15:00Z,56,0,0,0,0,0,0,0,False,3,0,0,0,0,14,0,21989,1,0,1,0.0,1,-210,1404,1614,48,False,0
0,0,-2,0,0.8,499,0.01,0.52,0.51,2.83,149,4,0,0.4,0.0,2024-12-08T16:30:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,15,0,21753,1,4,3,7.0,1,-331,1272,1603,48,True,1
0,1,48,1,29.5,499,0.03,0.30,0.27,0.84,159,0,1,11.4,58.8,2024-12-15T19:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,16,0,22205,1,5,0,26.0,9,225,1923,1698,48,False,0
0,0,6,0,1.8,499,0.01,0.10,0.09,3.26,169,4,0,2.1,10.8,2024-12-22T16:30:00Z,57,0,0,0,0,0,0,0,False,12,0,0,0,0,17,0,25440,1,6,3,8.0,1,2855,4462,1607,48,True,0
0,0,15,0,6.8,499,0.03,0.09,0.06,0.80,178,1,0,2.0,8.4,2024-12-26T15:00:00Z,63,0,0,0,0,0,0,0,False,16,0,0,0,0,18,0,27976,1,0,1,5.0,2,2327,4801,2474,48,False,0
0,0,2,0,1.8,499,0.00,0.41,0.41,0.43,189,1,0,1.6,7.8,2024-12-29T15:00:00Z,26,0,0,0,0,0,0,0,False,20,0,0,0,0,19,0,30081,0,2,2,6.0,1,1912,4265,2353,48,True,0
0,0,12,0,12.4,499,0.01,0.09,0.08,2.29,199,2,0,3.4,7.2,2025-01-04T12:30:00Z,61,0,0,0,0,0,0,0,False,15,0,0,0,0,20,0,29860,1,2,1,14.0,2,-388,3363,3751,48,True,0
0,0,-1,0,0.3,499,0.00,0.00,0.00,0.30,201,2,0,0.3,0.4,2025-01-15T20:00:00Z,45,0,0,0,0,0,0,0,False,1,0,0,0,0,21,0,29894,1,1,2,2.0,0,-314,3317,3631,48,False,1
0,0,15,0,2.9,499,0.03,0.03,0.00,1.95,214,3,0,1.3,8.4,2025-01-19T14:00:00Z,72,0,0,0,0,0,0,0,False,8,0,0,0,0,22,0,28115,1,2,3,2.0,2,-1788,915,2703,48,False,0
0,0,7,0,1.4,499,0.00,0.04,0.04,1.56,229,2,0,2.0,11.8,2025-01-26T14:00:00Z,53,0,0,0,0,0,0,0,False,11,0,0,0,0,23,0,25597,1,2,1,7.0,1,-2649,846,3495,48,True,0
0,0,24,0,0.3,499,0.00,0.26,0.26,0.55,233,0,1,5.7,39.8,2025-02-02T14:00:00Z,22,0,0,0,0,0,0,0,False,4,0,0,0,0,24,0,23926,0,2,0,17.0,6,-1722,559,2281,48,False,0
0,0,6,0,21.3,499,0.04,0.04,0.00,0.65,249,0,0,2.8,7.0,2025-02-16T16:30:00Z,26,0,0,0,0,0,0,0,False,14,0,0,0,0,25,0,23859,0,0,1,0.0,1,-316,1152,1468,48,True,0
0,0,0,0,0.0,499,0.00,0.00,0.00,0.00,256,0,0,0.0,0.0,2025-02-22T15:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,26,0,23706,0,4,1,0.0,0,-235,785,1020,48,False,0
0,0,-5,0,0.9,499,0.01,0.57,0.56,0.05,265,0,0,1.1,0.6,2025-02-26T19:30:00Z,23,0,0,0,0,0,0,0,False,13,0,0,0,0,27,0,22797,0,1,0,9.0,0,-949,336,1285,48,True,1
0,3,40,0,34.8,499,0.06,0.20,0.14,2.20,278,2,1,10.0,52.2,2025-03-09T14:00:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,28,0,22276,1,2,2,13.0,10,-597,498,1095,47,True,0
0,0,0,0,0.0,499,0.00,0.00,0.00,0.00,285,0,0,0.0,0.0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,29,0,26261,0,0,2,0.0,0,2383,2957,574,47,False,0
0,0,-1,0,0.8,499,0.01,0.03,0.02,0.03,296,0,0,0.9,0.0,2025-04-03T19:00:00Z,26,0,0,0,0,0,0,0,False,6,0,0,0,0,30,0,24215,0,0,1,10.0,0,-587,1149,1736,47,False,1
