assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,6,0,3.7,348,0.01,0.01,0.00,0.72,9,0,0,1.3,9.0,2024-08-18T15:30:00Z,45,0,0,0,0,0,0,0,False,6,0,0,0,0,1,0,1585478,0,2,0,0.0,1,0,0,0,95,False,0
0,0,0,0,0.0,348,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,2,0,1628706,0,1,4,0.0,0,-77502,92072,169574,95,True,0
0,0,0,0,0.0,348,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2024-08-31T16:30:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,3,0,884250,0,3,1,0.0,0,-749101,13321,762422,94,False,0
0,0,0,0,0.0,348,0.00,0.00,0.00,0.00,37,0,0,0.0,0.0,2024-09-14T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,4,0,609339,0,1,2,0.0,0,-295502,13874,309376,93,True,0
0,0,3,0,14.9,348,0.24,0.31,0.07,0.06,47,0,0,3.0,1.4,2024-09-22T15:30:00Z,20,0,0,0,0,0,0,0,False,1,0,0,0,0,5,0,570824,0,2,2,14.0,1,-52658,22446,75104,93,True,0
0,0,9,0,17.3,348,0.12,0.18,0.06,0.21,58,0,0,4.7,8.2,2024-09-28T11:30:00Z,24,0,0,0,0,0,0,0,False,15,0,0,0,0,6,0,538581,0,1,1,21.0,1,-39113,30379,69492,93,False,0
0,0,15,0,57.3,348,0.44,0.54,0.10,2.38,69,1,0,7.2,7.6,2024-10-05T14:00:00Z,77,0,0,0,0,0,0,0,False,9,0,0,0,0,7,0,568775,1,2,3,7.0,2,19584,75411,55827,92,True,0
1,0,12,0,21.2,348,0.27,0.30,0.03,0.00,80,0,0,4.7,17.6,2024-10-20T13:00:00Z,24,0,0,0,0,0,0,0,False,20,0,0,0,0,8,0,689204,0,2,1,8.0,4,107119,143073,35954,92,False,0
0,0,20,1,76.6,348,0.72,0.90,0.18,0.21,89,0,0,10.5,12.2,2024-10-26T14:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,9,0,899276,1,0,1,16.0,3,201247,230044,28797,92,True,0
0,0,16,0,23.0,348,0.69,1.04,0.35,2.04,91,2,0,4.4,2.6,2024-11-02T15:00:00Z,90,0,0,0,0,0,0,0,False,3,0,0,0,0,10,0,837152,1,1,2,18.0,2,-60185,44413,104598,93,False,0
0,0,19,0,59.2,348,0.28,0.36,0.08,2.29,102,2,0,8.4,14.2,2024-11-09T17:30:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,11,0,735577,1,1,2,11.0,2,-104543,15162,119705,93,False,0
0,0,5,0,7.7,348,0.04,0.55,0.51,2.51,118,4,0,2.9,0.0,2024-11-23T17:30:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,12,0,574125,1,4,0,21.0,2,-161904,3866,165770,92,True,0
0,0,3,0,15.0,348,0.02,0.02,0.00,3.24,125,2,0,2.7,0.2,2024-12-01T16:00:00Z,78,0,0,0,0,0,0,0,False,12,0,0,0,0,13,0,515544,1,0,2,12.0,1,-63223,2586,65809,91,False,1
0,0,0,0,0.0,348,0.00,0.00,0.00,0.00,138,0,0,0.0,0.0,2024-12-04T19:30:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,14,0,496604,0,0,3,0.0,0,-21773,8652,30425,91,True,0
0,0,0,0,0.0,348,0.00,0.00,0.00,0.00,143,0,0,0.0,0.0,2024-12-07T15:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,15,0,445238,0,2,2,0.0,0,-51164,663,51827,91,False,0
0,0,15,0,35.8,348,0.25,0.44,0.19,2.08,156,2,0,6.3,8.8,2024-12-15T16:30:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,16,0,425020,1,2,1,18.0,2,-21818,1065,22883,91,True,0
