assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2024-08-17T14:00:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,1,0,7482,0,0,2,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2024-08-25T13:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,2,0,8254,0,6,2,0.0,0,-921,114,1035,45,True,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,3,0,8143,0,1,1,0.0,0,-750,147,897,45,False,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2024-09-15T15:30:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,4,0,8101,0,2,1,0.0,0,-531,311,842,44,True,0
0,0,-7,0,0.0,564,0.00,0.00,0.00,1.15,41,2,0,0.0,0.0,2024-09-21T14:00:00Z,8,0,0,0,0,0,0,0,False,2,0,0,0,0,5,0,8152,0,1,3,0.0,0,-195,235,430,44,False,0
0,0,7,0,0.7,564,0.00,0.00,0.00,2.39,60,2,0,1.7,16.2,2024-09-28T16:30:00Z,76,0,0,0,0,0,0,0,False,12,0,0,0,0,6,0,8014,1,2,1,0.0,1,-353,258,611,44,True,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2024-10-05T14:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,7,0,7551,0,3,5,0.0,0,-508,106,614,44,False,0
0,0,4,0,1.3,564,0.00,0.00,0.00,1.62,80,2,0,2.4,23.0,2024-10-20T13:00:00Z,90,0,0,0,0,0,0,0,False,13,0,0,0,0,8,0,7442,1,2,1,0.0,1,-236,80,316,43,True,0
0,0,9,0,0.9,564,0.01,0.22,0.21,1.31,84,2,0,4.7,29.0,2024-10-26T14:00:00Z,90,0,0,0,0,0,0,0,False,5,0,0,0,0,9,0,7531,1,2,2,17.0,1,29,193,164,43,False,0
0,0,0,0,0.2,564,0.00,0.00,0.00,2.51,100,2,0,2.0,20.0,2024-11-02T17:30:00Z,90,0,0,0,0,0,0,0,False,7,0,0,0,0,10,0,7722,1,2,2,0.0,1,94,343,249,43,True,0
0,0,25,1,0.3,564,0.00,0.00,0.00,0.66,110,0,0,1.3,12.4,2024-11-09T15:00:00Z,90,0,0,0,0,0,0,0,False,17,0,0,0,0,11,0,8006,1,0,2,0.0,6,214,469,255,43,True,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,115,0,0,0.0,0.0,2024-11-23T15:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,12,0,8189,0,4,1,0.0,0,80,539,459,43,False,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2024-11-30T15:00:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,13,0,7855,0,4,2,0.0,0,-312,108,420,43,True,0
0,0,-8,0,0.6,564,0.01,0.01,0.00,0.59,134,4,0,0.7,6.8,2024-12-04T19:30:00Z,76,0,0,0,0,0,0,0,False,8,0,0,0,0,14,0,7992,1,0,4,0.0,0,55,301,246,43,False,0
0,0,0,0,0.0,564,0.00,0.00,0.00,1.01,150,2,0,0.6,6.2,2024-12-09T20:00:00Z,90,0,0,0,0,0,0,0,False,19,0,0,0,0,15,0,7893,1,1,2,0.0,1,-135,186,321,43,False,0
0,0,3,0,1.3,564,0.01,0.01,0.00,1.20,160,2,0,1.1,9.8,2024-12-14T15:00:00Z,90,0,0,0,0,0,0,0,False,10,0,0,0,0,16,0,8078,1,2,1,0.0,1,88,304,216,43,True,0
0,0,24,1,0.0,564,0.00,0.04,0.04,0.81,167,0,0,1.8,13.8,2024-12-22T14:00:00Z,90,0,0,0,0,0,0,0,False,11,0,0,0,0,17,0,7937,1,3,0,4.0,6,-173,143,316,43,False,0
0,0,27,1,0.4,564,0.00,0.00,0.00,0.44,180,0,0,1.3,12.6,2024-12-26T17:30:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,18,0,7954,1,0,2,0.0,6,-39,193,232,43,True,0
0,0,5,0,0.7,564,0.00,0.02,0.02,2.25,189,2,0,1.6,14.6,2024-12-29T15:00:00Z,90,0,0,0,0,0,0,0,False,18,0,0,0,0,19,0,8081,1,2,2,1.0,1,72,299,227,43,False,0
0,0,7,0,1.0,564,0.05,0.23,0.18,2.20,200,3,0,7.4,15.4,2025-01-06T20:00:00Z,90,0,0,0,0,0,0,0,False,16,0,0,0,0,20,0,8277,1,3,0,58.0,1,124,426,302,43,True,0
0,0,-6,0,0.1,564,0.00,0.00,0.00,2.11,210,3,0,3.0,29.4,2025-01-15T19:30:00Z,90,0,0,0,0,0,0,0,False,15,0,0,0,0,21,0,8428,1,0,3,0.0,1,68,381,313,43,False,0
0,0,-4,0,0.5,564,0.00,0.00,0.00,3.15,213,3,0,2.6,25.4,2025-01-20T20:00:00Z,90,0,0,0,0,0,0,0,False,6,0,0,0,0,22,0,8438,1,1,3,0.0,1,-35,208,243,43,False,0
0,0,9,0,1.0,564,0.00,0.00,0.00,1.00,230,1,0,1.5,14.4,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,False,1,0,0,0,0,23,0,8395,1,1,0,0.0,2,-97,187,284,43,True,0
0,0,5,0,0.3,564,0.00,0.00,0.00,0.20,240,0,0,0.5,4.2,2025-02-01T17:30:00Z,2,0,0,0,0,0,0,0,False,2,0,0,0,0,24,0,8378,0,0,2,0.0,1,-76,139,215,43,True,0
0,0,3,0,3.2,564,0.00,0.00,0.00,0.00,246,0,0,0.7,3.6,2025-02-16T14:00:00Z,29,0,0,0,0,0,0,0,False,12,0,0,0,0,25,0,8298,0,1,2,0.0,1,-130,102,232,43,False,0
0,2,28,1,0.2,564,0.00,0.00,0.00,0.57,253,0,0,1.8,17.4,2025-02-22T15:00:00Z,72,0,0,0,0,0,0,0,False,3,0,0,0,0,26,0,8327,1,1,0,0.0,7,-3,138,141,43,False,1
0,0,0,0,0.7,564,0.00,0.00,0.00,1.05,267,2,0,1.0,9.0,2025-02-25T19:30:00Z,76,0,0,0,0,0,0,0,False,9,0,0,0,0,27,0,8947,1,2,1,0.0,0,556,685,129,43,True,1
0,0,3,0,0.0,564,0.00,0.00,0.00,0.00,280,0,0,0.0,0.2,2025-03-08T20:00:00Z,1,0,0,0,0,0,0,0,False,8,0,0,0,0,28,0,8915,0,1,1,0.0,1,-75,282,357,43,True,0
0,0,3,0,0.0,564,0.00,0.00,0.00,0.00,290,0,0,0.2,2.0,2025-03-15T15:00:00Z,10,0,0,0,0,0,0,0,False,17,0,0,0,0,29,0,9379,0,2,1,0.0,1,174,355,181,43,False,0
0,0,4,0,0.0,564,0.00,0.00,0.00,0.41,295,0,0,0.3,3.0,2025-04-01T18:45:00Z,8,0,0,0,0,0,0,0,False,19,0,0,0,0,30,0,8973,0,0,1,0.0,1,-172,103,275,43,True,0
0,0,3,0,0.0,564,0.00,0.00,0.00,0.08,306,0,0,0.0,0.0,2025-04-05T14:00:00Z,2,0,0,0,0,0,0,0,False,10,0,0,0,0,31,0,8857,0,2,1,0.0,1,-118,72,190,43,False,0
0,0,-2,0,0.3,564,0.00,0.00,0.00,1.18,320,2,0,0.8,8.0,2025-04-13T13:00:00Z,45,0,0,0,0,0,0,0,False,18,0,0,0,0,32,0,8730,0,2,4,0.0,0,-137,45,182,43,True,0
0,0,21,1,0.7,564,0.02,0.02,0.00,1.32,328,0,0,3.3,32.0,2025-04-20T13:00:00Z,90,0,0,0,0,0,0,0,False,14,0,0,0,0,33,0,8584,1,1,0,0.0,6,-143,57,200,43,False,0
0,0,5,0,0.3,564,0.00,0.00,0.00,0.05,340,0,0,0.8,7.6,2025-04-26T14:00:00Z,6,0,0,0,0,0,0,0,False,11,0,0,0,0,34,0,9439,0,0,3,0.0,1,420,544,124,43,True,0
0,0,3,0,1.1,564,0.00,0.00,0.00,0.00,349,0,0,0.4,2.4,2025-05-02T19:00:00Z,4,0,0,0,0,0,0,0,False,13,0,0,0,0,35,0,8925,0,0,1,0.0,1,-137,42,179,43,False,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,360,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,36,0,8854,0,2,0,0.0,0,-84,59,143,43,True,0
0,0,0,0,0.0,564,0.00,0.00,0.00,0.00,366,0,0,0.0,0.0,2025-05-20T19:00:00Z,0,0,0,0,0,0,0,0,False,7,0,0,0,0,37,0,8783,0,2,4,0.0,0,-85,35,120,43,False,0
0,0,3,0,0.0,564,0.00,0.00,0.00,0.14,380,0,0,0.7,7.0,2025-05-25T15:00:00Z,3,0,0,0,0,0,0,0,False,4,0,0,0,0,38,0,8723,0,1,1,0.0,1,-75,48,123,43,True,0
