assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,612,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2024-08-19T19:00:00Z,0,11,0,0,0,0,1,0,954,0,1,1,0.0,0,0,0,0,55,False,0
0,0,4,1,15.2,612,0.03,0.08,0.05,1.00,19,0,0,3.7,6.2,2024-08-24T14:00:00Z,65,8,0,0,0,0,2,0,2391,1,0,4,16.0,3,236,558,322,55,True,0
0,0,4,0,13.8,612,0.03,0.38,0.35,0.63,28,1,0,3.5,1.4,2024-09-01T12:30:00Z,73,15,0,0,0,0,3,0,5258,1,1,2,20.0,2,1915,2891,976,55,False,0
0,0,4,0,11.5,612,0.02,0.04,0.02,0.00,39,0,0,2.0,2.4,2024-09-15T13:00:00Z,22,1,0,0,0,0,4,0,6366,0,1,0,6.0,1,473,2016,1543,55,True,0
0,0,0,0,0.0,612,0.00,0.00,0.00,0.00,49,0,0,0.0,0.0,2024-09-21T14:00:00Z,0,4,0,0,0,0,5,0,5384,0,1,3,0.0,0,-1180,480,1660,55,True,0
0,0,0,0,0.0,612,0.00,0.00,0.00,0.00,57,0,0,0.0,0.0,2024-09-29T15:30:00Z,0,14,0,0,0,0,6,0,3815,0,3,0,0.0,0,-1587,30,1617,54,False,0
0,0,0,0,0.0,612,0.00,0.00,0.00,0.00,64,0,0,0.0,0.0,2024-10-06T15:30:00Z,0,5,0,0,0,0,7,0,3168,0,2,3,0.0,0,-676,47,723,54,False,0
0,0,0,0,0.0,612,0.00,0.00,0.00,0.00,79,0,0,0.0,0.0,2024-10-19T11:30:00Z,0,19,0,0,0,0,8,0,2929,0,1,4,0.0,0,-256,29,285,54,True,0
0,0,0,0,0.0,612,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2024-10-27T14:00:00Z,0,7,0,0,0,0,9,0,2843,0,0,1,0.0,0,-96,49,145,53,False,0
0,0,0,0,0.0,612,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2024-11-03T14:00:00Z,0,2,0,0,0,0,10,0,2810,0,1,4,0.0,0,-72,65,137,53,True,0
