assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0.0,26,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2024-08-17T16:30:00Z,0,False,19,0,0,0,0,1,0,60127,0,2,1,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,26,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2024-08-24T14:00:00Z,0,False,17,0,0,0,0,2,0,61450,0,1,0,0.0,0,-7659,4358,12017,45,False,0
0,0,0,0,0.0,26,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2024-08-31T14:00:00Z,0,False,20,0,0,0,0,3,0,55017,0,1,1,0.0,0,-7570,2911,10481,44,True,0
0,1,27,1,4.3,26,0.01,0.01,0.00,0.85,36,0,0,1.9,15.0,2024-09-14T14:00:00Z,79,False,12,0,0,0,0,4,0,48636,1,1,0,0.0,6,-7028,1572,8600,44,False,1
0,0,-1,0,0.3,26,0.00,0.00,0.00,0.39,42,2,0,0.7,7.0,2024-09-22T13:00:00Z,45,False,5,0,0,0,0,5,0,53734,1,2,2,0.0,0,4057,6758,2701,44,False,0
0,0,2,0,1.8,26,0.01,0.06,0.05,1.32,59,1,0,0.8,3.8,2024-09-28T14:00:00Z,83,False,9,0,0,0,0,6,0,56671,1,1,0,2.0,2,2578,14399,11821,44,True,0
0,0,8,0,6.3,26,0.08,0.09,0.01,1.24,65,1,0,2.6,17.4,2024-10-06T13:00:00Z,81,False,6,0,0,0,0,7,0,55515,1,1,1,2.0,2,-1361,2560,3921,44,False,0
0,0,25,1,26.6,26,0.10,0.15,0.05,0.89,77,0,0,5.2,21.4,2024-10-21T19:00:00Z,77,False,7,0,0,0,0,8,0,58173,1,0,1,4.0,6,2141,4772,2631,44,True,0
0,0,2,0,11.8,26,0.02,0.02,0.00,0.70,88,1,0,2.5,9.4,2024-10-25T19:00:00Z,71,False,11,0,0,0,0,9,0,62629,1,3,1,4.0,1,3918,5728,1810,44,False,1
1,0,35,1,16.1,26,0.58,0.61,0.03,0.13,97,0,0,5.2,27.6,2024-11-02T15:00:00Z,90,False,19,0,0,0,0,10,0,65864,1,0,3,8.0,9,2880,5997,3117,44,True,0
0,0,-1,0,1.3,26,0.00,0.00,0.00,1.52,107,3,0,2.4,23.0,2024-11-10T14:00:00Z,87,False,15,0,0,0,0,11,0,82630,1,3,1,0.0,1,15507,17624,2117,44,True,0
0,0,3,0,4.6,26,0.00,0.00,0.00,0.96,111,2,0,1.8,13.6,2024-11-23T15:00:00Z,71,False,1,0,0,0,0,12,0,87094,1,0,3,0.0,1,4638,10011,5373,44,False,0
0,0,3,0,0.3,26,0.00,0.00,0.00,0.15,127,0,0,0.3,2.2,2024-11-30T15:00:00Z,13,False,10,0,0,0,0,13,0,94522,0,0,1,0.0,1,6416,9161,2745,44,True,0
0,0,4,0,5.2,26,0.01,0.04,0.03,2.41,138,3,0,2.6,16.2,2024-12-04T19:30:00Z,90,False,13,0,0,0,0,14,0,85871,1,0,3,5.0,1,-8030,1496,9526,44,False,0
0,0,0,0,0.0,26,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2024-12-07T17:30:00Z,0,False,14,0,0,0,0,15,0,81206,0,3,2,0.0,0,-4844,1231,6075,44,False,0
