goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,64,DC,West Ham,Brentford,4,2,2024-02-26,22153,2023,644247,0,0,0,0,0,0.04018855839967728,0.04018855839967728
0,0,0,90,DC,Manchester City,Brentford,1,0,2024-02-20,22074,2023,642821,0,0,0,0,0,0,0
0,1,0.4955456554889679,90,DC,Brentford,Liverpool,1,4,2024-02-17,22135,2023,641484,0,0,0,0,0.4955456554889679,0.13523738086223602,0.13523738086223602
0,0,0,90,DC,Wolverhampton Wanderers,Brentford,0,2,2024-02-10,22134,2023,640260,0,0,0,0,0,0,0
0,0,0,90,DC,Brentford,Manchester City,1,3,2024-02-05,22117,2023,639626,0,0,0,0,0,0,0
0,1,0.07735724747180939,90,DC,Tottenham,Brentford,3,2,2024-01-31,22109,2023,637974,0,0,0,0,0.07735724747180939,0.1054268330335617,0.02806958369910717
1,2,0.43175649642944336,90,DC,Brentford,Nottingham Forest,3,2,2024-01-20,22104,2023,635942,0.02505671977996826,0,1,1,0.43175649642944336,0.44712013006210327,0.4065437614917755
0,0,0,74,DC,Brentford,Aston Villa,1,2,2023-12-17,22057,2023,630823,0,0,0,0,0,0,0
0,1,0.10596398264169693,90,DC,Sheffield United,Brentford,1,0,2023-12-09,22052,2023,628769,0,0,0,0,0.10596398264169693,0.10182900726795197,0.10182900726795197
0,1,0.05542067438364029,90,DC,Brighton,Brentford,2,1,2023-12-06,22036,2023,628011,0,0,0,0,0.05542067438364029,0.05542067438364029,0
1,3,0.22392040491104126,90,DC,Brentford,Luton,3,1,2023-12-02,22027,2023,626501,0.04772317409515381,0,2,1,0.22392040491104126,0.1490517258644104,0.019260231405496597
0,0,0,90,DC,Brentford,Arsenal,0,1,2023-11-25,22015,2023,625119,0.0867915228009224,0,1,0,0,0.10744595527648926,0.020654432475566864
0,1,0.06564271450042725,90,DC,Liverpool,Brentford,3,0,2023-11-12,22011,2023,623856,0.024167874827980995,0,1,0,0.06564271450042725,0.11444516479969025,0.024634571745991707
0,0,0,1,Sub,Brentford,West Ham,3,2,2023-11-04,21995,2023,621535,0,0,0,0,0,0,0
0,0,0,77,DC,Newcastle United,Brentford,1,0,2023-09-16,21943,2023,610663,0,0,0,0,0,0,0
0,0,0,84,DC,Brentford,Bournemouth,2,2,2023-09-02,21928,2023,608647,0.06615801155567169,0,1,0,0,0.5880627632141113,0.5880627632141113
0,2,0.17732007801532745,90,DC,Brentford,Manchester City,1,0,2023-05-28,18574,2022,600883,0.08222946524620056,0,1,0,0.17732007801532745,0.18990977108478546,0
0,0,0,90,DC,Tottenham,Brentford,1,3,2023-05-20,18569,2022,597826,0,0,0,0,0,0.023194488137960434,0.023194488137960434
0,3,0.8791526556015015,90,DC,Brentford,West Ham,2,0,2023-05-14,18554,2022,596895,1.3436192274093628,1,2,0,0.8791526556015015,1.6803017854690552,0.33318671584129333
0,1,0.021000627428293228,90,DC,Liverpool,Brentford,1,0,2023-05-06,18545,2022,594964,0,0,0,0,0.021000627428293228,0.05000213906168938,0.02900151163339615
0,2,0.13618087768554688,90,DC,Brentford,Nottingham Forest,2,1,2023-04-29,18534,2022,592389,0,0,0,0,0.13618087768554688,0.031213844195008278,0.031213844195008278
0,1,0.11782100051641464,90,DC,Chelsea,Brentford,0,2,2023-04-26,18529,2022,591665,0,0,0,0,0.11782100051641464,0.1543673276901245,0.03654633089900017
0,0,0,90,DC,Brentford,Aston Villa,1,1,2023-04-22,18514,2022,590173,0,0,0,0,0,0.012894868850708008,0.012894868850708008
0,0,0,90,DC,Wolverhampton Wanderers,Brentford,2,0,2023-04-15,18511,2022,588408,0,0,0,0,0,0,0
0,1,0.059911299496889114,85,DC,Brentford,Newcastle United,1,2,2023-04-08,18493,2022,586659,0,0,0,0,0.059911299496889114,0.059911299496889114,0
0,0,0,90,DC,Manchester United,Brentford,1,0,2023-04-05,18448,2022,586142,0,0,0,0,0,0,0
0,0,0,90,DC,Brighton,Brentford,3,3,2023-04-01,18484,2022,584750,0.08059719949960709,0,1,0,0,0.08059719949960709,0
0,0,0,90,DC,Brentford,Leicester,1,1,2023-03-18,18474,2022,583016,0.058577198535203934,0,1,0,0,0.22558000683784485,0.16700300574302673
0,1,0.03349050134420395,90,DC,Southampton,Brentford,0,2,2023-03-15,18265,2022,582503,0,0,0,0,0.03349050134420395,0.12399200350046158,0.12399200350046158
0,1,0.05463949963450432,90,DC,Everton,Brentford,1,0,2023-03-11,18464,2022,581214,0,0,0,0,0.05463949963450432,0.3243829905986786,0.26974400877952576
0,1,0.04153180122375488,90,DC,Brentford,Fulham,3,2,2023-03-06,18454,2022,580703,0,0,0,0,0.04153180122375488,0.2920350134372711,0.2920350134372711
0,0,0,90,DC,Brentford,Crystal Palace,1,1,2023-02-18,18433,2022,576447,0,0,0,0,0,0.08027669787406921,0.08027669787406921
0,1,0.08341120183467865,90,DC,Arsenal,Brentford,1,1,2023-02-11,18422,2022,574799,0,0,0,0,0.08341120183467865,0.032158900052309036,0.032158900052309036
1,3,0.17139199376106262,90,DC,Brentford,Southampton,3,0,2023-02-04,18413,2022,573216,0,0,0,1,0.17139199376106262,0.23848499357700348,0.13392099738121033
0,0,0,90,DC,Leeds,Brentford,0,0,2023-01-22,18406,2022,570615,0,0,0,0,0,0,0
0,1,0.11400900036096573,90,DC,Brentford,Bournemouth,2,0,2023-01-14,18393,2022,569021,0,0,0,0,0.11400900036096573,0.039289701730012894,0.039289701730012894
0,0,0,90,DC,Brentford,Liverpool,3,1,2023-01-02,18384,2022,566901,0,0,0,0,0,0,0
0,0,0,90,DC,West Ham,Brentford,0,2,2022-12-30,18380,2022,566245,0,0,0,0,0,0,0
0,0,0,90,DC,Brentford,Tottenham,2,2,2022-12-26,18364,2022,565449,0.04005200043320656,0,1,0,0,0.6833419799804688,0.6833419799804688
0,0,0,90,DC,Manchester City,Brentford,1,2,2022-11-12,18356,2022,564214,0,0,0,0,0,0,0
0,0,0,90,DC,Nottingham Forest,Brentford,2,2,2022-11-05,18347,2022,561928,0,0,0,0,0,0.3705179989337921,0.3705179989337921
1,2,0.16802899539470673,90,DC,Brentford,Wolverhampton Wanderers,1,1,2022-10-29,18334,2022,560106,0.07518620043992996,0,1,1,0.16802899539470673,0.08765260130167007,0.024379199370741844
0,0,0,90,DC,Brentford,Chelsea,0,0,2022-10-19,18314,2022,557581,0,0,0,0,0,0.4475319981575012,0.4475319981575012
0,1,0.06467849761247635,90,DC,Brentford,Brighton,2,0,2022-10-14,18303,2022,555537,0,0,0,0,0.06467849761247635,0,0
0,0,0,73,DC,Newcastle United,Brentford,5,1,2022-10-08,18299,2022,554105,0,0,0,0,0,0,0
0,1,0.013124899938702583,90,DC,Bournemouth,Brentford,0,0,2022-10-01,18283,2022,552406,0,0,0,0,0.013124899938702583,0.5524839758872986,0.5524839758872986
0,0,0,90,DC,Brentford,Arsenal,0,3,2022-09-18,18280,2022,551040,0,0,0,0,0,0.08968579769134521,0.08968579769134521
0,0,0,90,DC,Brentford,Leeds,5,2,2022-09-03,18257,2022,547216,0,0,0,0,0,0.0802856981754303,0.0802856981754303
0,2,0.4683000147342682,90,DC,Crystal Palace,Brentford,1,1,2022-08-30,18243,2022,545870,0,0,0,0,0.4683000147342682,0.32707300782203674,0.32707300782203674
0,0,0,90,DC,Brentford,Everton,1,1,2022-08-27,18233,2022,544522,0,0,0,0,0,0.1404229998588562,0.1404229998588562
0,2,0.0588654987514019,90,DC,Fulham,Brentford,3,2,2022-08-20,18225,2022,542413,0,0,0,0,0.0588654987514019,0.3670639991760254,0.3273400068283081
1,1,0.5613030195236206,90,DC,Brentford,Manchester United,4,0,2022-08-13,18218,2022,540797,0,0,0,1,0.5613030195236206,0,0
0,0,0,60,DC,Leicester,Brentford,2,2,2022-08-07,18210,2022,539838,0,0,0,0,0,0.04925839975476265,0.04925839975476265
0,0,0,39,DC,Burnley,Leicester,0,2,2022-03-01,16588,2021,517069,0,0,0,0,0,0,0
0,1,0.017219100147485733,90,DC,Crystal Palace,Burnley,1,1,2022-02-26,16640,2021,516036,0,0,0,0,0.017219100147485733,0,0
1,4,0.30918601155281067,90,DC,Burnley,Tottenham,1,0,2022-02-23,16499,2021,515317,0.6964399814605713,0,1,1,0.30918601155281067,0.3659130036830902,0.3659130036830902
0,0,0,90,DC,Brighton,Burnley,0,3,2022-02-19,16628,2021,514193,0,0,0,0,0,0.33803799748420715,0.33803799748420715
0,1,0.08664970099925995,90,DC,Burnley,Liverpool,0,1,2022-02-13,16617,2021,513128,0.47717100381851196,0,1,0,0.08664970099925995,0.42645201086997986,0.42645201086997986
0,0,0,90,DC,Burnley,Manchester United,1,1,2022-02-08,16608,2021,512119,0,0,0,0,0,0,0
0,0,0,90,DC,Burnley,Watford,0,0,2022-02-05,16539,2021,511304,0,0,0,0,0,0,0
0,2,0.10598800331354141,90,DC,Arsenal,Burnley,0,0,2022-01-23,16596,2021,510332,0.07594309747219086,0,1,0,0.10598800331354141,0.07594309747219086,0
0,0,0,90,DC,Leeds,Burnley,3,1,2022-01-02,16581,2021,505636,0,0,0,0,0,0,0
0,1,0.07696449756622314,90,DC,Manchester United,Burnley,3,1,2021-12-30,16574,2021,505410,0,0,0,0,0.07696449756622314,0,0
0,0,0,90,DC,Burnley,West Ham,0,0,2021-12-12,16529,2021,502220,0,0,0,0,0,0.0789284035563469,0.0789284035563469
0,0,0,90,DC,Wolverhampton Wanderers,Burnley,0,0,2021-12-01,16511,2021,498987,0,0,0,0,0,0,0
1,2,0.20813800394535065,90,DC,Burnley,Crystal Palace,3,3,2021-11-20,16487,2021,495705,0,0,0,1,0.20813800394535065,0.0783466026186943,0.0783466026186943
0,0,0,90,DC,Chelsea,Burnley,1,1,2021-11-06,16479,2021,493981,0,0,0,0,0,0.5020049810409546,0.5020049810409546
0,1,0.057715799659490585,90,DC,Burnley,Brentford,3,1,2021-10-30,16467,2021,492297,0,0,0,0,0.057715799659490585,0.5618169903755188,0.5618169903755188
0,0,0,90,DC,Leicester,Burnley,2,2,2021-09-25,16430,2021,484687,0,0,0,0,0,0,0
0,2,0.09443610161542892,90,DC,Burnley,Arsenal,0,1,2021-09-18,16419,2021,482061,0.012653600424528122,0,1,0,0.09443610161542892,0,0
1,2,1.10247004032135,90,DC,Everton,Burnley,3,1,2021-09-13,16415,2021,481588,0,0,0,1,1.10247004032135,0.0944633036851883,0.0944633036851883
0,1,0.04741569980978966,90,DC,Burnley,Leeds,1,1,2021-08-29,16403,2021,479536,0.012765400111675262,0,1,0,0.04741569980978966,0.026123499497771263,0.013358100317418575
0,1,0.07356459647417068,90,DC,Liverpool,Burnley,2,0,2021-08-21,16386,2021,476679,0,0,0,0,0.07356459647417068,0,0
0,1,0.38134700059890747,90,DC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475445,0,0,0,0,0.38134700059890747,0.020670199766755104,0.020670199766755104
0,2,0.285196989774704,90,DC,Burnley,Liverpool,0,3,2021-05-19,14796,2020,472544,0,0,0,0,0.285196989774704,0.39603298902511597,0.39603298902511597
0,1,0.03239560127258301,90,DC,Burnley,Leeds,0,4,2021-05-15,14786,2020,470669,0.39569398760795593,0,2,0,0.03239560127258301,0.04727790132164955,0.04727790132164955
0,1,0.03772599995136261,90,DC,Fulham,Burnley,0,2,2021-05-10,14777,2020,469822,0.060221001505851746,0,1,0,0.03772599995136261,0.21652500331401825,0.1563040018081665
0,0,0,90,DC,Burnley,West Ham,1,2,2021-05-03,14766,2020,468087,0,0,0,0,0,0.04065069928765297,0.04065069928765297
0,0,0,90,DC,Wolverhampton Wanderers,Burnley,0,4,2021-04-25,14764,2020,465784,0,0,0,0,0,0.031322699040174484,0.031322699040174484
0,0,0,90,DC,Manchester United,Burnley,3,1,2021-04-18,14751,2020,463689,0,0,0,0,0,0.019696099683642387,0.019696099683642387
0,3,0.15528100728988647,90,DC,Burnley,Newcastle United,1,2,2021-04-11,14736,2020,461573,0,0,0,0,0.15528100728988647,0.05148490145802498,0.05148490145802498
0,1,0.01585170067846775,90,DC,Southampton,Burnley,3,2,2021-04-04,14733,2020,460045,0,0,0,0,0.01585170067846775,0.07100930064916611,0.055157601833343506
0,2,0.06921719759702682,90,DC,Everton,Burnley,1,2,2021-03-13,14707,2020,456559,0,0,0,0,0.06921719759702682,0,0
0,0,0,90,DC,Burnley,Arsenal,1,1,2021-03-06,14697,2020,454371,0,0,0,0,0,0.3621920049190521,0.3621920049190521
0,1,0.026369299739599228,90,DC,Burnley,Leicester,1,1,2021-03-03,14716,2020,453758,0,0,0,0,0.026369299739599228,0.059433601796627045,0.059433601796627045
0,0,0,90,DC,Tottenham,Burnley,4,0,2021-02-28,14693,2020,452980,0,0,0,0,0,0,0
0,0,0,90,DC,Burnley,West Bromwich Albion,0,0,2021-02-20,14678,2020,450704,0,0,0,0,0,0.1425970047712326,0.1425970047712326
0,0,0,85,DC,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449041,0.10404399782419205,0,2,0,0,0,0
0,1,0.02242789976298809,90,DC,Burnley,Brighton,1,1,2021-02-06,14656,2020,447639,0,0,0,0,0.02242789976298809,0.17087699472904205,0.17087699472904205
0,0,0,90,DC,Burnley,Manchester City,0,2,2021-02-03,14646,2020,446980,0,0,0,0,0,0,0
0,0,0,90,DC,Chelsea,Burnley,2,0,2021-01-31,14637,2020,446014,0,0,0,0,0,0,0
1,1,0.39490899443626404,90,DC,Burnley,Aston Villa,3,2,2021-01-27,14626,2020,445092,0,0,0,1,0.39490899443626404,0.044101398438215256,0.044101398438215256
0,0,0,90,DC,Liverpool,Burnley,0,1,2021-01-21,14613,2020,443731,0,0,0,0,0,0,0
0,1,0.11027900129556656,90,DC,West Ham,Burnley,1,0,2021-01-16,14623,2020,442287,0,0,0,0,0.11027900129556656,0,0
0,1,0.014010200276970863,90,DC,Burnley,Manchester United,0,1,2021-01-12,14088,2020,441818,0.23739899694919586,0,1,0,0.014010200276970863,0.014010200276970863,0
1,2,0.1303579956293106,90,DC,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438405,0,0,0,1,0.1303579956293106,0,0
0,1,0.07764729857444763,90,DC,Leeds,Burnley,1,0,2020-12-27,14578,2020,438228,0.007846520282328129,0,1,0,0.07764729857444763,0.14239999651908875,0.14239999651908875
0,0,0,90,DC,Burnley,Wolverhampton Wanderers,2,1,2020-12-21,14566,2020,437079,0,0,0,0,0,0.09206169843673706,0.09206169843673706
0,1,0.05762559920549393,90,DC,Aston Villa,Burnley,0,0,2020-12-17,14556,2020,435575,0,0,0,0,0.05762559920549393,0.09542089700698853,0.09542089700698853
0,2,0.11568000167608261,90,DC,Arsenal,Burnley,0,1,2020-12-13,14554,2020,434070,0,0,0,0,0.11568000167608261,0.028489699587225914,0.01619729958474636
0,0,0,90,DC,Burnley,Everton,1,1,2020-12-05,14537,2020,431045,0,0,0,0,0,0.06604749709367752,0.06604749709367752
0,0,0,90,DC,Manchester City,Burnley,5,0,2020-11-28,14533,2020,429624,0,0,0,0,0,0.026650799438357353,0.026650799438357353
0,0,0,90,DC,Burnley,Crystal Palace,1,0,2020-11-23,14516,2020,429083,0,0,0,0,0,0,0
0,1,0.07444129884243011,90,DC,Brighton,Burnley,0,0,2020-11-06,14506,2020,425851,0,0,0,0,0.07444129884243011,0,0
1,1,0.013000600039958954,90,DC,Crystal Palace,Burnley,0,1,2020-06-29,11957,2019,403936,0,0,0,1,0.013000600039958954,0,0
0,0,0,90,DC,Burnley,Watford,1,0,2020-06-25,11943,2019,402673,0.25402599573135376,0,1,0,0,0.25402599573135376,0.25402599573135376
0,0,0,90,DC,Manchester City,Burnley,5,0,2020-06-22,11939,2019,401954,0,0,0,0,0,0,0
0,2,0.17836600542068481,90,DC,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387782,0,0,0,0,0.17836600542068481,0.025050900876522064,0.025050900876522064
0,1,0.050566598773002625,90,DC,Newcastle United,Burnley,0,0,2020-02-29,11918,2019,387469,0,0,0,0,0.050566598773002625,0.0876597985625267,0.0876597985625267
0,0,0,90,DC,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387208,0,0,0,0,0,0.04673140123486519,0.04673140123486519
0,0,0,90,DC,Southampton,Burnley,1,2,2020-02-15,11901,2019,386976,0,0,0,0,0,0,0
0,3,0.4750550091266632,90,DC,Burnley,Arsenal,0,0,2020-02-02,11884,2019,386799,0.05636490136384964,0,1,0,0.4750550091266632,0.22272300720214844,0.11033999919891357
0,0,0,90,DC,Manchester United,Burnley,0,2,2020-01-22,11879,2019,386516,0.5230299830436707,1,2,0,0,0,0
0,1,0.047958701848983765,90,DC,Burnley,Leicester,2,1,2020-01-19,11866,2019,386228,0,0,0,0,0.047958701848983765,0.0692932978272438,0.0692932978272438
0,1,0.3146679997444153,90,DC,Chelsea,Burnley,3,0,2020-01-11,11858,2019,385917,0,0,0,0,0.3146679997444153,0,0
0,0,0,90,DC,Burnley,Aston Villa,1,2,2020-01-01,11846,2019,385495,0,0,0,0,0,0.12227000296115875,0.12227000296115875
0,0,0,90,DC,Burnley,Manchester United,0,2,2019-12-28,11835,2019,372838,0,0,0,0,0,0,0
0,0,0,90,DC,Everton,Burnley,1,0,2019-12-26,11827,2019,372521,0,0,0,0,0,0.033013999462127686,0.033013999462127686
0,0,0,90,DC,Bournemouth,Burnley,0,1,2019-12-21,11814,2019,371440,0,0,0,0,0,0,0
0,0,0,90,DC,Burnley,Newcastle United,1,0,2019-12-14,11804,2019,369852,0,0,0,0,0,0.07251530140638351,0.07251530140638351
0,0,0,90,DC,Tottenham,Burnley,5,0,2019-12-07,11800,2019,368372,0,0,0,0,0,0.01044050045311451,0.01044050045311451
0,0,0,90,DC,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367471,0,0,0,0,0,0,0
0,1,0.09868019819259644,90,DC,Burnley,Crystal Palace,0,2,2019-11-30,11773,2019,366152,0,0,0,0,0.09868019819259644,0.019807899370789528,0.019807899370789528
0,0,0,90,DC,Watford,Burnley,0,3,2019-11-23,11771,2019,364726,0,0,0,0,0,0.13836699724197388,0.13836699724197388
0,2,0.03341729938983917,90,DC,Burnley,West Ham,3,0,2019-11-09,11753,2019,363081,0.03080650046467781,0,1,0,0.03341729938983917,0.03080650046467781,0.03080650046467781
0,0,0,90,DC,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361652,0,0,0,0,0,0.0493537001311779,0.0493537001311779
0,0,0,90,DC,Burnley,Chelsea,2,4,2019-10-26,11735,2019,359588,0.748956024646759,0,1,0,0,0,0
0,1,0.016469400376081467,90,DC,Leicester,Burnley,2,1,2019-10-19,11728,2019,357852,0,0,0,0,0.016469400376081467,0.0732463002204895,0.0732463002204895
0,0,0,90,DC,Burnley,Everton,1,0,2019-10-05,11714,2019,356165,0.024004999548196793,0,1,0,0,0.024004999548196793,0
0,1,0.013069399632513523,90,DC,Aston Villa,Burnley,2,2,2019-09-28,11706,2019,354570,0,0,0,0,0.013069399632513523,0.5115770101547241,0.5115770101547241
0,0,0,90,DC,Burnley,Norwich,2,0,2019-09-21,11696,2019,352243,0,0,0,0,0,0,0
0,0,0,90,DC,Brighton,Burnley,1,1,2019-09-14,11685,2019,348997,0,0,0,0,0,0,0
0,0,0,90,DC,Burnley,Liverpool,0,3,2019-08-31,11680,2019,347680,0,0,0,0,0,0,0
0,1,0.04094630107283592,90,DC,Wolverhampton Wanderers,Burnley,1,1,2019-08-25,11668,2019,344690,0,0,0,0,0.04094630107283592,0.05151670053601265,0.05151670053601265
0,2,0.022621899843215942,90,DC,Arsenal,Burnley,2,1,2019-08-17,11653,2019,341774,0.142425999045372,0,2,0,0.022621899843215942,0.03807369992136955,0.03807369992136955
0,0,0,90,DC,Burnley,Southampton,3,0,2019-08-10,11646,2019,341236,0,0,0,0,0,0,0
0,0,0,90,DC,Burnley,Arsenal,1,3,2019-05-12,9575,2018,332233,0,0,0,0,0,0,0
0,0,0,90,DC,Everton,Burnley,2,0,2019-05-03,9562,2018,329943,0,0,0,0,0,0,0
0,1,0.049498699605464935,90,DC,Burnley,Manchester City,0,1,2019-04-28,9555,2018,329023,0,0,0,0,0.049498699605464935,0,0
0,0,0,90,DC,Chelsea,Burnley,2,2,2019-04-22,9543,2018,327241,0.0473329983651638,0,1,0,0,0,0
0,2,0.13542799651622772,90,DC,Burnley,Cardiff,2,0,2019-04-13,9535,2018,324261,0,0,0,0,0.13542799651622772,0,0
0,2,0.08564490079879761,90,DC,Bournemouth,Burnley,1,3,2019-04-06,9526,2018,322615,0,0,0,0,0.08564490079879761,0,0
0,0,0,90,DC,Burnley,Wolverhampton Wanderers,2,0,2019-03-30,9515,2018,317890,0,0,0,0,0,0,0
0,0,0,90,DC,Burnley,Leicester,1,2,2019-03-16,9504,2018,316422,0,0,0,0,0,0.5891519784927368,0.5891519784927368
0,0,0,90,DC,Liverpool,Burnley,4,2,2019-03-10,9490,2018,315000,0,0,0,0,0,0,0
0,2,0.10881499946117401,90,DC,Burnley,Crystal Palace,1,3,2019-03-02,9484,2018,305294,0,0,0,0,0.10881499946117401,0.07217969745397568,0.07217969745397568
0,1,0.030979599803686142,90,DC,Newcastle United,Burnley,2,0,2019-02-26,9473,2018,305033,0,0,0,0,0.030979599803686142,0.06193159893155098,0.06193159893155098
0,0,0,90,DC,Burnley,Tottenham,2,1,2019-02-23,9464,2018,304769,0,0,0,0,0,0,0
0,1,0.07661420106887817,90,DC,Brighton,Burnley,1,3,2019-02-09,9449,2018,304619,0,0,0,0,0.07661420106887817,0.3670549988746643,0.3670549988746643
0,0,0,90,DC,Burnley,Southampton,1,1,2019-02-02,9445,2018,304188,0.12576499581336975,0,1,0,0,0.02960819937288761,0.02960819937288761
0,0,0,90,DC,Manchester United,Burnley,2,2,2019-01-29,9432,2018,303987,0,0,0,0,0,0,0
0,1,0.03392840176820755,90,DC,Watford,Burnley,0,0,2019-01-19,9418,2018,303744,0.4577080011367798,0,1,0,0.03392840176820755,0,0
0,1,0.020858099684119225,90,DC,Burnley,Fulham,2,1,2019-01-12,9415,2018,303403,0,0,0,0,0.020858099684119225,0.04298660159111023,0.04298660159111023
0,1,0.17212699353694916,90,DC,Huddersfield,Burnley,1,2,2019-01-02,9401,2018,303223,0,0,0,0,0.17212699353694916,1.258679986000061,1.258679986000061
0,1,0.04544740170240402,90,DC,Burnley,West Ham,2,0,2018-12-30,9395,2018,291619,0,0,0,0,0.04544740170240402,0.28247499465942383,0.28247499465942383
