goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,88,DC,Bournemouth,Ipswich,1,2,2025-04-02,26896,2024,716083,0,0,0,0,0,0.06369084864854813,0.06369084864854813
0,0,0,86,DC,Bournemouth,Brentford,1,2,2025-03-15,26882,2024,713289,0,0,0,0,0,0,0
0,0,0,30,DC,Bournemouth,Wolverhampton Wanderers,0,1,2025-02-22,26852,2024,707887,0,0,0,0,0,0,0
0,0,0,90,DC,Southampton,Bournemouth,1,3,2025-02-15,26849,2024,706263,0,0,0,0,0,0.036930106580257416,0.036930106580257416
0,0,0,90,DC,Bournemouth,Liverpool,0,2,2025-02-01,26832,2024,703298,0.03406945616006851,0,1,0,0,0.33275270462036133,0.33275270462036133
0,0,0,90,DC,Bournemouth,Nottingham Forest,5,0,2025-01-25,26822,2024,701530,0,0,0,0,0,0.14644761383533478,0.14644761383533478
0,1,0.06896251440048218,90,DC,Newcastle United,Bournemouth,1,4,2025-01-18,26819,2024,699768,0,0,0,0,0.06896251440048218,0.030697323381900787,0.030697323381900787
0,1,0.04438576474785805,90,DC,Chelsea,Bournemouth,2,2,2025-01-14,26809,2024,699128,0,0,0,0,0.04438576474785805,0,0
0,1,0.033975787460803986,90,DC,Bournemouth,Everton,1,0,2025-01-04,26792,2024,697134,0.019080517813563347,0,1,0,0.033975787460803986,0.019080517813563347,0.019080517813563347
0,1,0.142866849899292,90,DC,Fulham,Bournemouth,2,2,2024-12-29,26786,2024,696720,0,0,0,0,0.142866849899292,0.053277719765901566,0.053277719765901566
0,0,0,90,DC,Bournemouth,Crystal Palace,0,0,2024-12-26,26772,2024,696152,0.18421703577041626,0,3,0,0,0.09933578222990036,0.08328554034233093
0,0,0,90,DC,Manchester United,Bournemouth,0,3,2024-12-22,26769,2024,695741,0.060367610305547714,0,1,0,0,0.21046119928359985,0.15009358525276184
0,1,0.12102314084768295,90,DC,Bournemouth,West Ham,1,1,2024-12-16,26754,2024,694802,0,0,0,0,0.12102314084768295,0.12989382445812225,0.12989382445812225
0,0,0,90,DC,Ipswich,Bournemouth,1,2,2024-12-08,26750,2024,692759,0.052365176379680634,0,1,0,0,0.6774653196334839,0.6251001358032227
0,0,0,90,DC,Bournemouth,Tottenham,1,0,2024-12-05,26732,2024,691634,0,0,0,0,0,0.18494561314582825,0.18494561314582825
0,0,0,90,DC,Wolverhampton Wanderers,Bournemouth,2,4,2024-11-30,26731,2024,689977,0,0,0,0,0,0.09753163158893585,0.09753163158893585
0,0,0,90,DC,Bournemouth,Brighton,1,2,2024-11-23,26712,2024,688362,0.03700494393706322,0,2,0,0,0.5910027027130127,0.5721919536590576
