goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,18,Sub,Arsenal,Ipswich,1,0,2024-12-27,26773,2024,696421,0,0,0,0,0,0.0628165751695633,0.0628165751695633
0,1,0.06540583074092865,12,Sub,Wolverhampton Wanderers,Ipswich,1,2,2024-12-14,26758,2024,693626,0.059094805270433426,1,1,0,0.06540583074092865,0.06540583074092865,0
0,1,0.03972383216023445,7,Sub,Ipswich,Bournemouth,1,2,2024-12-08,26750,2024,692753,0,0,0,0,0.03972383216023445,0.03972383216023445,0
0,0,0,69,AML,Ipswich,Crystal Palace,0,1,2024-12-03,26737,2024,691332,0.009649857878684998,0,1,0,0,0.009649857878684998,0.009649857878684998
0,1,0.10045862197875977,24,Sub,Nottingham Forest,Ipswich,1,0,2024-11-30,26728,2024,690016,0.015013577416539192,0,1,0,0.10045862197875977,0.13058792054653168,0.03012929856777191
0,0,0,22,Sub,Ipswich,Manchester United,1,1,2024-11-24,26718,2024,689255,0.4690444767475128,0,1,0,0,0.4690444767475128,0
0,1,0.022297048941254616,15,Sub,Tottenham,Ipswich,1,2,2024-11-10,26709,2024,687309,0,0,0,0,0.022297048941254616,0.022297048941254616,0
0,0,0,14,Sub,Ipswich,Leicester,1,1,2024-11-02,26695,2024,685002,0,0,0,0,0,0,0
0,0,0,9,Sub,Brentford,Ipswich,4,3,2024-10-26,26685,2024,683016,0,0,0,0,0,0,0
0,1,0.37345680594444275,77,AML,Ipswich,Everton,0,2,2024-10-19,26674,2024,681421,0,0,0,0,0.37345680594444275,0.37345680594444275,0
0,0,0,76,AML,West Ham,Ipswich,4,1,2024-10-05,26665,2024,679507,0.021862246096134186,0,1,0,0,0.07963418960571289,0.057771943509578705
0,2,0.30848851799964905,90,AML,Ipswich,Aston Villa,2,2,2024-09-29,26659,2024,678368,0.2757858633995056,1,3,0,0.30848851799964905,0.6314694285392761,0.2061673104763031
0,0,0,26,Sub,Southampton,Ipswich,1,1,2024-09-21,26643,2024,675655,0.48290765285491943,0,1,0,0,0.48290765285491943,0
0,1,0.023148050531744957,28,Sub,Brighton,Ipswich,0,0,2024-09-14,26633,2024,673671,0,0,0,0,0.023148050531744957,0.023148050531744957,0
0,2,0.08561579883098602,7,Sub,Ipswich,Fulham,1,1,2024-08-31,26625,2024,671792,0,0,0,0,0.08561579883098602,0.08561579883098602,0
