goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
2,2,1.3734145164489746,74,FWR,Leicester,Newcastle United,0,3,2025-04-07,26908,2024,718088,0,0,0,2,1.3734145164489746,1.3734145164489746,0
0,3,0.18364547193050385,69,FWR,Newcastle United,Brentford,2,1,2025-04-02,26899,2024,716150,0.7523863315582275,1,3,0,0.18364547193050385,0.9741597771644592,0.06768961250782013
0,1,0.06973972916603088,90,FWR,West Ham,Newcastle United,0,1,2025-03-10,26880,2024,712480,0,0,0,0,0.06973972916603088,0.2241554707288742,0.15441574156284332
0,0,0,90,AMR,Liverpool,Newcastle United,2,0,2025-02-26,26870,2024,709259,0,0,0,0,0,0,0
1,2,1.439279556274414,77,FWR,Newcastle United,Nottingham Forest,4,3,2025-02-23,26860,2024,708329,0,0,0,1,1.439279556274414,1.954121470451355,0.5148418545722961
0,0,0,90,FWR,Manchester City,Newcastle United,4,0,2025-02-15,26848,2024,706236,0,0,0,0,0,0.09435655176639557,0.09435655176639557
1,2,0.4013481140136719,90,FWR,Newcastle United,Fulham,1,2,2025-02-01,26839,2024,703392,0,0,0,1,0.4013481140136719,0.5129023790359497,0.11155425012111664
0,2,0.07304667681455612,90,FWR,Southampton,Newcastle United,1,3,2025-01-25,26829,2024,701488,0.5396003127098083,1,4,0,0.07304667681455612,0.6687037348747253,0.1022116020321846
0,1,0.013028888031840324,72,FWR,Newcastle United,Bournemouth,1,4,2025-01-18,26819,2024,699758,0,0,0,0,0.013028888031840324,0.042577728629112244,0.042577728629112244
0,2,0.08430678397417068,81,FWR,Newcastle United,Wolverhampton Wanderers,3,0,2025-01-15,26810,2024,699450,0.13385066390037537,0,1,0,0.08430678397417068,0.7263360619544983,0.5081785917282104
0,0,0,90,FWR,Tottenham,Newcastle United,1,2,2025-01-04,26800,2024,697124,0.56446772813797,0,2,0,0,0.6716490983963013,0.6716490983963013
0,0,0,88,FWR,Manchester United,Newcastle United,0,2,2024-12-30,26789,2024,696973,0.3198452293872833,0,1,0,0,0.3198452293872833,0
0,3,0.5915896892547607,83,FWR,Newcastle United,Aston Villa,3,0,2024-12-26,26778,2024,696213,0.7723354697227478,1,2,0,0.5915896892547607,1.524476170539856,0.8586762547492981
1,3,0.20580217242240906,69,FWR,Ipswich,Newcastle United,0,4,2024-12-21,26771,2024,695346,1.596671462059021,1,3,1,0.20580217242240906,1.8024736642837524,0
2,4,0.7104255557060242,67,FWR,Newcastle United,Leicester,4,0,2024-12-14,26760,2024,693637,0.16139832139015198,0,2,2,0.7104255557060242,0.895443320274353,0.09469818323850632
0,2,0.5838642716407776,63,FWR,Brentford,Newcastle United,4,2,2024-12-07,26743,2024,692240,0.4357512593269348,2,3,0,0.5838642716407776,1.037973165512085,0.018357671797275543
0,3,0.19572243094444275,77,FWR,Newcastle United,Liverpool,3,3,2024-12-04,26740,2024,691425,0.04323665797710419,0,1,0,0.19572243094444275,0.32849326729774475,0.08953417092561722
0,0,0,18,Sub,Newcastle United,West Ham,0,2,2024-11-25,26713,2024,689564,0,0,0,0,0,0,0
0,0,0,15,Sub,Chelsea,Newcastle United,2,1,2024-10-27,26688,2024,683534,0,0,0,0,0,0,0
0,2,0.07045208662748337,66,FWR,Newcastle United,Brighton,0,1,2024-10-19,26676,2024,681357,0.043333884328603745,0,1,0,0.07045208662748337,0.137099951505661,0.040246255695819855
0,1,0.0681840255856514,75,FWR,Everton,Newcastle United,0,0,2024-10-05,26669,2024,679749,0,0,0,0,0.0681840255856514,0.18705487251281738,0.11887083947658539
0,0,0,90,FWR,Newcastle United,Manchester City,1,1,2024-09-28,26652,2024,677440,0.13458342850208282,0,2,0,0,0.23269005119800568,0.19515419006347656
0,1,0.03884236142039299,43,Sub,Fulham,Newcastle United,3,1,2024-09-21,26646,2024,675742,0.08758680522441864,1,1,0,0.03884236142039299,0.26916682720184326,0.14273765683174133
0,1,0.11310920119285583,90,FWR,Wolverhampton Wanderers,Newcastle United,1,2,2024-09-15,26641,2024,674634,0.03306389972567558,0,1,0,0.11310920119285583,0.3789944350719452,0.26588523387908936
0,2,0.13197283446788788,24,Sub,Newcastle United,Tottenham,2,1,2024-09-01,26629,2024,672468,0.7756212949752808,1,1,0,0.13197283446788788,0.8897727131843567,0
0,0,0,61,FWR,Bournemouth,Newcastle United,1,1,2024-08-25,26620,2024,668724,0.035899799317121506,0,1,0,0,0.035899799317121506,0
0,0,0,29,FWR,Newcastle United,Southampton,1,0,2024-08-17,26606,2024,666363,0,0,0,0,0,0,0
