goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.01626494526863098,90,DC,Brighton,Aston Villa,0,3,2025-04-02,26893,2024,716173,0,0,0,0,0.01626494526863098,0.05769699439406395,0.05769699439406395
0,1,0.011166704818606377,90,DC,Manchester City,Brighton,2,2,2025-03-15,26889,2024,713025,0,0,0,0,0.011166704818606377,0.4910258650779724,0.4910258650779724
1,2,0.11077836900949478,90,DC,Brighton,Fulham,2,1,2025-03-08,26873,2024,711320,0,0,0,1,0.11077836900949478,0.5782155394554138,0.5620099306106567
0,1,0.07931125909090042,90,DC,Brighton,Bournemouth,2,1,2025-02-25,26863,2024,709058,0,0,0,0,0.07931125909090042,0.16586792469024658,0.16586792469024658
0,1,0.14671294391155243,90,DC,Southampton,Brighton,0,4,2025-02-22,26861,2024,707870,0.4575207233428955,0,1,0,0.14671294391155243,1.0217750072479248,0.41754138469696045
0,0,0,90,DC,Brighton,Chelsea,3,0,2025-02-14,26843,2024,705875,0,0,0,0,0,0.734778106212616,0.734778106212616
0,0,0,90,DC,Nottingham Forest,Brighton,7,0,2025-02-01,26840,2024,702745,0,0,0,0,0,0.07807271182537079,0.07807271182537079
0,0,0,90,DC,Brighton,Everton,0,1,2025-01-25,26824,2024,701406,0.07892929017543793,0,2,0,0,0.2632153332233429,0.2632153332233429
0,0,0,90,DC,Manchester United,Brighton,1,3,2025-01-19,26818,2024,700484,0,0,0,0,0,1.2450944185256958,1.2450944185256958
0,1,0.061535339802503586,90,DC,Ipswich,Brighton,0,2,2025-01-16,26805,2024,699551,0.04250575229525566,0,1,0,0.061535339802503586,0.04250575229525566,0.04250575229525566
0,0,0,90,DC,Brighton,Arsenal,1,1,2025-01-04,26794,2024,697370,0.018522577360272408,0,1,0,0,0.018522577360272408,0.018522577360272408
0,1,0.019028285518288612,90,DC,Aston Villa,Brighton,2,2,2024-12-30,26782,2024,696997,0,0,0,0,0.019028285518288612,0.4731854796409607,0.4731854796409607
0,0,0,90,DC,Brighton,Brentford,0,0,2024-12-27,26774,2024,696368,0.020244793966412544,0,1,0,0,0.5747347474098206,0.5747347474098206
0,0,0,90,DC,West Ham,Brighton,1,1,2024-12-21,26767,2024,695308,0.02484603226184845,0,1,0,0,0.13007624447345734,0.13007624447345734
0,0,0,90,DC,Brighton,Crystal Palace,1,3,2024-12-15,26756,2024,694189,0.06547403335571289,0,1,0,0,0.48483747243881226,0.41936343908309937
0,1,0.11869760602712631,90,DC,Leicester,Brighton,2,2,2024-12-08,26751,2024,692790,0,0,0,0,0.11869760602712631,0.27078157663345337,0.27078157663345337
0,1,0.1279224008321762,74,DC,Fulham,Brighton,3,1,2024-12-05,26736,2024,691616,0.09309185296297073,0,1,0,0.1279224008321762,0.4925447106361389,0.4925447106361389
0,2,0.06176994368433952,90,DC,Brighton,Southampton,1,1,2024-11-29,26723,2024,689615,0.08071316033601761,0,1,0,0.06176994368433952,0.7671201825141907,0.7489528059959412
0,1,0.016648901626467705,90,DC,Bournemouth,Brighton,1,2,2024-11-23,26712,2024,688377,0,0,0,0,0.016648901626467705,0.38496145606040955,0.38496145606040955
0,0,0,90,DC,Brighton,Manchester City,2,1,2024-11-09,26703,2024,686850,0.25952187180519104,0,1,0,0,1.4883930683135986,1.2288711071014404
0,1,0.0396023653447628,90,DC,Liverpool,Brighton,2,1,2024-11-02,26696,2024,685039,0,0,0,0,0.0396023653447628,0.6032639741897583,0.5636615753173828
0,0,0,90,DC,Brighton,Wolverhampton Wanderers,2,2,2024-10-26,26686,2024,683023,0.03985941782593727,0,1,0,0,0.06952524930238724,0.06952524930238724
0,0,0,8,Sub,Newcastle United,Brighton,0,1,2024-10-19,26676,2024,681379,0,0,0,0,0,0.07834797352552414,0.07834797352552414
0,0,0,90,DC,Brighton,Nottingham Forest,2,2,2024-09-22,26650,2024,676300,0.29667752981185913,1,1,0,0,0.12977664172649384,0.12977664172649384
0,0,0,90,DC,Brighton,Ipswich,0,0,2024-09-14,26633,2024,673643,0,0,0,0,0,0.28305375576019287,0.28305375576019287
0,2,0.06280334293842316,90,DC,Arsenal,Brighton,1,1,2024-08-31,26622,2024,671524,0,0,0,0,0.06280334293842316,0.19732782244682312,0.18009822070598602
