name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Reinildo Mandava,DEF,Sunderland,0.0,1,0,8,0,3,1.7,5,541,0.01,0.04,0.03,1.70,128,2,0,2.1,12.8,2025-11-29T15:00:00Z,90,False,4,0,0,0,8,0,13,0,531008,1,2,2,3,6.0,4,-9115,3578,12693,40,True,0
Lewis Dobbin,MID,Aston Villa,0.0,0,0,0,0,0,0.0,0,57,0.00,0.00,0.00,0.00,121,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,20,0,0,0,0,0,13,0,3311,0,0,0,1,0.0,0,-33,0,33,50,True,0
Ryan Christie,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,87,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,17,0,0,0,0,0,13,0,8888,0,0,2,3,0.0,0,-727,132,859,50,False,0
Zeki Amdouni,FWD,Burnley,0.0,0,0,0,0,0,0.0,0,216,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,2807,0,0,1,3,0.0,0,-37,47,84,48,False,0
Lucas Tolentino Coelho de Lima,MID,West Ham,0.0,0,0,1,0,1,6.9,8,612,0.02,0.03,0.01,0.90,130,2,0,0.6,0.0,2025-11-30T14:05:00Z,83,False,12,0,0,0,7,1,13,0,229893,1,0,2,0,1.0,-1,-13384,8152,21536,59,True,0
Jorrel Hato,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,672,0.00,0.00,0.00,0.00,123,0,0,0.0,0.0,2025-11-30T16:30:00Z,0,False,1,0,0,0,0,0,13,0,21565,0,0,1,1,0.0,0,-441,165,606,47,True,0
Myles Peart-Harris,MID,Brentford,0.0,0,0,0,0,0,0.0,0,133,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,3,0,0,0,0,0,13,0,4842,0,0,1,3,0.0,0,-111,56,167,44,True,0
Bashir Humphreys,DEF,Burnley,0.0,0,0,0,0,0,0.0,0,193,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,8548,0,0,1,3,0.0,0,-167,108,275,40,False,0
Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,17,0,0,0,0,0,13,0,8910,0,0,2,3,0.0,0,-187,0,187,45,False,0
Enock Agyei,MID,Burnley,0.0,0,0,0,0,0,0.0,0,203,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,5191,0,0,1,3,0.0,0,-47,68,115,48,False,0
Callum Bates,MID,Everton,0.0,0,0,0,0,0,0.0,0,306,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,0,False,15,0,0,0,0,0,13,0,8792,0,0,4,1,0.0,0,-182,129,311,44,True,0
Harry Tyrer,GK,Everton,0.0,0,0,0,0,0,0.0,0,289,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,0,False,15,0,0,0,0,0,13,0,15062,0,0,4,1,0.0,0,-1,180,181,39,True,0
Etienne Green,GK,Burnley,0.0,0,0,0,0,0,0.0,0,184,0.00,0.00,0.00,0.00,122,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,5,0,0,0,0,0,13,0,26704,0,0,1,3,0.0,0,-536,0,536,40,False,0
