assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,12,0,0,12.3,4,452,0.04,0.07,0.03,0.27,9,0,0,4.5,13.4,2025-08-17T15:30:00Z,35,False,1,0,0,0,1,0,1,0,290466,0,3,1,0,19.0,1,0,0,0,65,True,0
0,0,7,0,2,3.4,6,452,0.02,0.16,0.14,0.90,17,0,0,3.7,11.4,2025-08-24T15:30:00Z,51,False,10,0,0,0,2,0,2,0,281607,1,2,1,1,22.0,1,-38660,12972,51632,65,False,0
1,0,24,0,2,27.3,10,452,0.06,0.69,0.63,1.20,26,2,0,7.6,15.4,2025-08-30T14:00:00Z,90,False,3,0,0,0,7,0,3,0,239366,1,1,2,3,33.0,5,-48939,9027,57966,64,True,0
0,0,17,0,1,27.0,6,452,0.57,0.64,0.07,2.52,38,3,0,4.6,10.4,2025-09-14T15:30:00Z,90,False,13,0,0,0,3,0,4,0,219661,1,2,0,3,9.0,2,-28001,10651,38652,64,False,0
0,0,8,0,3,7.9,11,452,0.05,0.43,0.38,0.43,47,1,0,2.9,9.2,2025-09-20T16:30:00Z,90,False,7,0,0,0,6,0,5,0,199618,1,2,1,2,12.0,2,-23384,6505,29889,63,True,0
0,0,0,0,0,0.0,0,452,0.00,0.00,0.00,0.00,52,0,0,0.0,0.0,2025-09-27T11:30:00Z,0,False,5,0,0,0,0,0,6,0,168421,0,0,1,3,0.0,0,-32922,7018,39940,63,False,0
0,0,21,1,2,34.5,10,452,0.10,0.74,0.64,0.71,68,0,0,8.3,18.4,2025-10-04T14:00:00Z,90,False,17,0,0,0,6,0,7,0,145013,1,2,0,2,30.0,3,-24550,919,25469,63,True,0
1,0,15,0,2,25.2,7,452,0.19,0.19,0.00,0.96,75,0,0,5.0,22.8,2025-10-19T15:30:00Z,58,False,12,0,0,0,4,0,8,0,141325,1,1,2,1,2.0,3,-6346,6313,12659,63,False,1
0,0,11,1,1,5.6,5,452,0.01,0.01,0.00,0.56,88,0,0,1.6,2.2,2025-10-25T16:30:00Z,69,False,6,0,0,0,4,0,9,0,153652,1,0,2,4,8.0,3,10336,16157,5821,63,True,0
0,2,37,0,3,21.8,10,452,0.13,0.31,0.18,1.93,97,2,1,9.7,56.0,2025-11-01T15:00:00Z,90,False,16,0,0,0,6,0,10,0,159234,1,1,2,2,19.0,9,4458,15521,11063,63,False,0
1,3,28,0,1,39.3,9,452,0.28,0.28,0.00,0.92,109,2,0,7.2,30.4,2025-11-08T12:30:00Z,90,False,18,0,0,0,6,0,11,0,179258,1,2,2,2,2.0,8,17915,23844,5929,63,False,0
0,0,17,0,3,52.3,8,452,0.13,0.27,0.14,0.23,118,1,0,10.9,18.2,2025-11-24T20:00:00Z,90,False,9,0,0,0,4,0,12,0,247582,1,1,1,0,38.0,2,61349,69016,7667,63,True,0
