assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,2,37,1,0,11.3,0,561,0.00,0.09,0.09,0.33,5,0,1,7.1,34.0,2025-08-16T14:00:00Z,75,False,19,0,0,0,0,0,1,0,27150,1,0,0,3,26.0,8,0,0,0,55,True,0
0,0,3,0,2,0.3,5,561,0.00,0.30,0.30,0.34,14,1,0,3.1,11.2,2025-08-23T14:00:00Z,62,False,3,0,0,0,2,0,2,0,231418,1,1,0,2,19.0,2,139236,166506,27270,55,False,0
0,0,3,1,0,1.5,0,561,0.00,0.00,0.00,0.96,28,0,0,0.0,0.0,2025-08-30T14:00:00Z,64,False,5,0,0,0,0,0,3,0,221221,1,0,1,2,0.0,2,-8067,56361,64428,55,True,0
0,0,0,0,0,0.0,0,561,0.00,0.00,0.00,0.00,35,0,0,0.0,0.0,2025-09-13T14:00:00Z,0,False,8,0,0,0,0,0,4,0,186651,0,0,0,0,0.0,0,-39959,14058,54017,55,False,0
0,0,3,0,0,0.0,1,561,0.00,0.00,0.00,0.25,48,0,0,0.1,1.2,2025-09-21T13:00:00Z,10,False,2,0,0,0,1,0,5,0,160146,0,0,1,1,0.0,1,-29652,4596,34248,55,True,0
0,0,0,0,0,0.0,0,561,0.00,0.00,0.00,0.00,59,0,0,0.0,0.0,2025-09-27T16:30:00Z,0,False,16,0,0,0,0,0,6,0,132618,0,0,1,0,0.0,0,-28154,1671,29825,55,False,0
0,0,5,0,0,11.5,0,561,0.06,0.14,0.08,0.45,68,0,0,1.8,1.6,2025-10-04T14:00:00Z,32,False,14,0,0,0,0,0,7,0,116365,0,0,0,2,5.0,1,-17635,2165,19800,55,False,0
0,0,2,0,0,0.0,1,561,0.00,0.00,0.00,0.48,78,0,0,0.2,0.2,2025-10-18T14:00:00Z,14,False,20,0,0,0,1,0,8,0,104035,0,0,0,2,2.0,1,-13156,2477,15633,55,True,0
0,0,0,0,0,0.0,0,561,0.00,0.00,0.00,0.00,85,0,0,0.0,0.0,2025-10-25T14:00:00Z,0,False,7,0,0,0,0,0,9,0,94602,0,0,2,1,0.0,0,-9772,1217,10989,55,False,0
0,0,0,0,0,0.0,0,561,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2025-11-03T20:00:00Z,0,False,9,0,0,0,0,0,10,0,87365,0,0,1,1,0.0,0,-7570,1679,9249,54,True,0
0,0,3,0,0,0.0,0,561,0.00,0.00,0.00,0.53,108,0,0,0.0,0.0,2025-11-08T17:30:00Z,3,False,1,0,0,0,0,0,11,0,82711,0,0,2,2,0.0,1,-4989,1169,6158,54,True,0
