assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,14,0,0,0,0,0,1,0,26438,0,0,1,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2025-08-23T16:30:00Z,0,False,11,0,0,0,0,0,2,0,31592,0,0,0,5,0.0,0,-1635,3710,5345,45,True,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2025-08-31T15:30:00Z,0,False,12,0,0,0,0,0,3,0,30300,0,0,0,1,0.0,0,-3703,2247,5950,45,False,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2025-09-13T11:30:00Z,0,False,16,0,0,0,0,0,4,0,24940,0,0,0,3,0.0,0,-5337,774,6111,45,True,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2025-09-21T15:30:00Z,0,False,13,0,0,0,0,0,5,0,21723,0,0,1,1,0.0,0,-3382,0,3382,45,True,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,58,0,0,0.0,0.0,2025-09-28T15:30:00Z,0,False,15,0,0,0,0,0,6,0,19494,0,0,2,1,0.0,0,-2263,0,2263,45,False,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,False,19,0,0,0,0,0,7,0,18099,0,0,0,2,0.0,0,-1481,0,1481,45,True,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,74,0,0,0.0,0.0,2025-10-18T16:30:00Z,0,False,10,0,0,0,0,0,8,0,16760,0,0,1,0,0.0,0,-1376,0,1376,45,False,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,8,0,0,0,0,0,9,0,16004,0,0,0,1,0.0,0,-778,0,778,45,True,0
0,0,0,0,0,0.0,0,28,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2025-11-01T15:00:00Z,0,False,3,0,0,0,0,0,10,0,15279,0,0,2,0,0.0,0,-722,0,722,45,False,0
