assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,4,0,1,0.8,2,419,0.00,0.02,0.02,1.14,10,1,0,1.2,5.8,2025-08-18T19:00:00Z,19,False,11,0,0,0,1,0,1,0,348900,0,0,0,1,5.0,1,0,0,0,65,False,0
2,2,37,1,1,35.3,11,419,0.70,0.71,0.01,2.43,16,0,0,9.6,48.2,2025-08-24T13:00:00Z,90,False,6,0,0,0,7,0,2,0,340736,1,3,0,2,12.0,11,-42564,15189,57753,65,True,0
2,2,45,0,2,36.0,11,419,0.59,0.87,0.28,0.99,30,2,0,11.7,47.2,2025-08-30T14:00:00Z,87,False,20,0,0,0,8,0,3,0,846647,1,1,3,2,34.0,10,395770,443493,47723,66,False,0
0,0,20,1,1,64.3,6,419,0.30,0.39,0.09,0.54,36,0,0,14.8,28.0,2025-09-13T14:00:00Z,90,False,2,0,0,0,2,0,4,0,2570567,1,3,0,0,56.0,2,1565977,1663894,97917,68,True,1
0,0,16,0,3,41.6,8,419,0.10,0.11,0.01,0.90,46,2,0,7.5,19.4,2025-09-20T11:30:00Z,90,False,12,0,0,0,3,0,5,0,2593244,1,2,1,2,14.0,1,83479,303089,219610,68,False,1
0,0,17,0,2,46.3,6,419,0.15,0.15,0.00,1.17,55,1,0,8.0,13.8,2025-09-29T19:00:00Z,90,False,19,0,0,0,4,0,6,0,2822009,1,0,1,1,20.0,2,167834,376912,209078,69,True,0
0,3,39,0,1,4.3,8,419,0.05,0.49,0.44,1.65,66,1,1,11.7,45.2,2025-10-05T13:00:00Z,90,False,8,0,0,0,6,0,7,0,2669788,1,1,1,2,67.0,10,-140194,105886,246080,69,True,0
0,0,0,0,0,0.0,0,419,0.00,0.00,0.00,0.00,76,0,0,0.0,0.0,2025-10-18T14:00:00Z,0,False,13,0,0,0,0,0,8,0,2206587,0,0,0,2,0.0,0,-467074,68412,535486,69,False,0
0,0,13,0,3,34.9,10,419,0.09,0.24,0.15,2.08,86,3,0,7.0,14.6,2025-10-26T16:30:00Z,90,False,18,0,0,0,6,0,9,0,2287146,1,1,3,0,20.0,1,45759,139242,93483,69,True,1
0,0,15,0,2,18.4,10,419,0.24,0.27,0.03,1.09,98,1,0,3.2,8.8,2025-11-03T20:00:00Z,90,False,17,0,0,0,8,0,10,0,2187162,1,0,1,1,5.0,2,-100281,75816,176097,69,False,0
0,0,12,1,2,35.6,4,419,0.08,0.12,0.04,0.40,105,0,0,6.0,13.6,2025-11-08T15:00:00Z,90,False,10,0,0,0,2,0,11,0,2105495,1,0,0,2,11.0,3,-98171,70430,168601,68,True,0
0,0,9,1,1,2.3,7,419,0.02,0.02,0.00,1.25,118,0,0,0.7,2.4,2025-11-24T20:00:00Z,87,False,14,0,0,0,4,0,12,0,1860540,1,2,1,0,2.0,3,-224075,28638,252713,67,False,0
0,0,11,0,0,25.5,6,419,0.41,0.41,0.00,1.91,125,4,0,4.3,9.0,2025-11-29T17:30:00Z,79,False,15,0,0,0,4,0,13,0,1706780,1,2,4,1,8.0,2,-157174,19741,176915,67,True,0
0,3,35,1,1,14.4,7,419,0.08,0.17,0.09,0.50,132,0,1,6.8,38.4,2025-12-02T19:30:00Z,90,False,4,0,0,0,6,0,14,0,1587377,1,0,1,0,15.0,11,-143614,7326,150940,66,False,0
0,0,8,1,2,32.6,7,419,0.25,0.25,0.00,0.50,144,0,0,5.5,10.8,2025-12-06T15:00:00Z,85,False,16,0,0,0,4,0,15,0,1643464,1,1,0,3,12.0,3,34727,71588,36861,66,True,0
0,0,2,0,0,5.9,3,419,0.02,0.72,0.70,2.14,154,2,0,5.9,0.0,2025-12-13T15:00:00Z,83,False,7,0,0,0,3,0,16,0,1449031,1,0,0,2,55.0,2,-175019,40686,215705,66,False,0
