assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,28980,0,0,2,4,0.0,0,0,0,0,40,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,20,0,0,0,0,0,2,0,34614,0,0,0,1,0.0,0,-945,2110,3055,40,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2025-08-30T14:00:00Z,0,False,18,0,0,0,0,0,3,0,34570,0,0,1,0,0.0,0,-2089,1919,4008,40,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,32,0,0,0.0,0.0,2025-09-13T14:00:00Z,0,False,6,0,0,0,0,0,4,0,34351,0,0,1,2,0.0,0,-1411,1704,3115,40,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2025-09-21T13:00:00Z,0,False,15,0,0,0,0,0,5,0,33870,0,0,0,0,0.0,0,-1025,1066,2091,40,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2025-09-27T14:00:00Z,0,False,11,0,0,0,0,0,6,0,33491,0,0,2,2,0.0,0,-938,1118,2056,40,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,63,0,0,0.0,0.0,2025-10-03T19:00:00Z,0,False,10,0,0,0,0,0,7,0,32757,0,0,1,3,0.0,0,-1119,630,1749,40,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,73,0,0,0.0,0.0,2025-10-18T14:00:00Z,0,False,8,0,0,0,0,0,8,0,32391,0,0,3,3,0.0,0,-1101,622,1723,40,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,16,0,0,0,0,0,9,0,32876,0,0,0,2,0.0,0,-264,856,1120,39,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,96,0,0,0.0,0.0,2025-11-02T16:30:00Z,0,False,13,0,0,0,0,0,10,0,34272,0,0,1,3,0.0,0,-17,1072,1089,39,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,101,0,0,0.0,0.0,2025-11-09T14:00:00Z,0,False,2,0,0,0,0,0,11,0,32241,0,0,0,4,0.0,0,-948,287,1235,39,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2025-11-22T15:00:00Z,0,False,19,0,0,0,0,0,12,0,30257,0,0,2,2,0.0,0,-1932,50,1982,39,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,17,0,0,0,0,0,13,0,29138,0,0,2,3,0.0,0,-1142,34,1176,39,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,132,0,0,0.0,0.0,2025-12-02T19:30:00Z,0,False,9,0,0,0,0,0,14,0,28592,0,0,1,0,0.0,0,-612,18,630,39,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,7,0,0,0,0,0,15,0,27907,0,0,0,0,0.0,0,-693,47,740,39,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2025-12-15T20:00:00Z,0,False,14,0,0,0,0,0,16,0,27935,0,0,4,4,0.0,0,-1193,248,1441,38,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,162,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,3,0,0,0,0,0,17,0,26913,0,0,1,1,0.0,0,-391,405,796,38,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,5,0,0,0,0,0,18,0,29207,0,0,1,4,0.0,0,-205,530,735,38,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,184,0,0,0.0,0.0,2025-12-30T19:30:00Z,0,False,7,0,0,0,0,0,19,0,27459,0,0,2,2,0.0,0,-371,180,551,38,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,192,0,0,0.0,0.0,2026-01-03T17:30:00Z,0,False,1,0,0,0,0,0,20,0,25963,0,0,3,2,0.0,0,-76,293,369,38,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,202,0,0,0.0,0.0,2026-01-07T19:30:00Z,0,False,18,0,0,0,0,0,21,0,25567,0,0,2,3,0.0,0,-297,154,451,38,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,212,0,0,0.0,0.0,2026-01-19T20:00:00Z,0,False,6,0,0,0,0,0,22,0,25553,0,0,1,1,0.0,0,-243,274,517,38,False,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,222,0,0,0.0,0.0,2026-01-24T17:30:00Z,0,False,12,0,0,0,0,0,23,0,25117,0,0,2,3,0.0,0,-207,96,303,38,True,0
0,0,0,0,0,0.0,0,75,0.00,0.00,0.00,0.00,240,0,0,0.0,0.0,2026-01-31T15:00:00Z,0,False,20,0,0,0,0,0,24,0,24842,0,0,2,0,0.0,0,-288,95,383,38,False,0
