assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0,0,0.1,0,584,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,5,False,3,0,0,0,0,0,1,0,13227,0,0,0,3,0.0,1,0,0,0,65,True,0
0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2025-08-23T11:30:00Z,0,False,13,0,0,0,0,0,2,0,12622,0,0,2,0,0.0,0,-3110,605,3715,64,False,0
0,0,1,0,0,0.3,5,584,0.00,0.05,0.05,0.00,29,0,0,0.6,4.6,2025-08-30T14:00:00Z,14,False,4,0,0,0,2,0,3,0,11643,0,3,1,0,1.0,1,-2424,924,3348,63,True,0
0,0,7,1,0,3.0,1,584,0.00,0.02,0.02,0.60,40,0,0,1.2,0.8,2025-09-13T16:30:00Z,78,False,19,0,0,0,1,0,4,0,11850,1,0,3,0,8.0,3,-909,1172,2081,63,False,0
0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2025-09-20T14:00:00Z,0,False,6,0,0,0,0,0,5,0,12719,0,0,2,2,0.0,0,246,1626,1380,63,False,0
0,0,6,0,0,4.3,1,584,0.03,0.03,0.00,0.00,60,0,0,1.0,5.2,2025-09-27T19:00:00Z,6,False,20,0,0,0,0,0,6,0,12232,0,1,1,1,0.0,1,-777,836,1613,63,True,0
0,2,28,0,2,1.3,5,584,0.01,0.13,0.12,1.41,67,1,1,5.6,33.2,2025-10-04T11:30:00Z,72,False,11,0,0,0,3,0,7,0,12362,1,0,2,1,21.0,9,-263,802,1065,63,False,0
0,0,-2,0,0,0.8,5,584,0.01,0.01,0.00,0.12,79,1,0,0.8,0.0,2025-10-19T13:00:00Z,59,False,2,0,0,0,4,0,8,0,17410,1,1,2,1,8.0,1,3963,5401,1438,63,True,0
0,0,3,0,0,0.0,0,584,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2025-10-26T16:30:00Z,1,False,9,0,0,0,0,0,9,0,17218,0,0,3,0,0.0,1,-141,1699,1840,63,False,0
0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,99,0,0,0.0,0.0,2025-11-01T17:30:00Z,0,False,7,0,0,0,0,0,10,0,15633,0,0,1,0,0.0,0,-1632,629,2261,63,True,0
0,0,22,0,0,0.3,1,584,0.00,0.28,0.28,0.10,109,1,1,5.3,31.4,2025-11-08T12:30:00Z,11,False,14,0,0,0,1,0,11,0,14414,0,0,2,2,21.0,6,-1393,364,1757,63,True,0
0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2025-11-23T16:30:00Z,0,False,1,0,0,0,0,0,12,0,15155,0,0,1,4,0.0,0,382,1236,854,63,False,0
0,0,3,0,0,0.2,0,584,0.00,0.00,0.00,0.00,129,0,0,0.0,0.2,2025-11-29T20:00:00Z,5,False,10,0,0,0,0,0,13,0,14956,0,0,2,1,0.0,1,-351,531,882,63,True,0
1,0,12,0,0,0.8,0,584,0.25,0.25,0.00,0.82,139,1,0,0.3,0.0,2025-12-02T20:15:00Z,13,False,15,0,0,0,0,0,14,0,14499,0,0,2,2,2.0,4,-470,198,668,63,False,0
0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,149,0,0,0.0,0.0,2025-12-06T15:00:00Z,0,False,5,0,0,0,0,0,15,0,14280,0,0,0,2,0.0,0,-300,281,581,63,True,0
0,0,4,0,0,14.6,2,584,0.03,0.03,0.00,0.20,158,0,0,1.8,3.0,2025-12-14T14:00:00Z,10,False,16,0,0,0,2,0,16,0,13791,0,0,0,3,0.0,1,-584,421,1005,62,False,0
0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,169,0,0,0.0,0.0,2025-12-20T17:30:00Z,0,False,12,0,0,0,0,0,17,0,13655,0,0,2,1,0.0,0,-232,391,623,62,True,0
0,0,0,0,0,0.0,0,584,0.00,0.00,0.00,0.00,175,0,0,0.0,0.0,2025-12-28T16:30:00Z,0,False,8,0,0,0,0,0,18,0,13679,0,0,1,0,0.0,0,-89,442,531,62,False,0
0,0,3,0,1,0.5,1,584,0.00,0.00,0.00,0.00,182,0,0,0.3,2.0,2026-01-01T20:00:00Z,10,False,5,0,0,0,0,0,19,0,13681,0,0,0,0,0.0,1,-81,318,399,62,False,0
0,0,7,0,2,7.3,10,584,0.03,0.10,0.07,0.48,199,1,0,2.8,5.6,2026-01-04T15:00:00Z,87,False,17,0,0,0,7,0,20,0,13708,1,1,1,1,15.0,2,-17,294,311,62,True,0
0,3,42,0,0,48.2,8,584,0.14,0.20,0.06,1.27,202,3,1,12.5,49.6,2026-01-07T19:30:00Z,90,False,4,0,0,0,6,0,21,0,14805,1,2,2,3,27.0,10,1000,1440,440,62,False,0
0,0,8,0,0,22.3,4,584,0.02,0.20,0.19,1.55,219,1,0,5.0,3.6,2026-01-17T15:00:00Z,61,False,19,0,0,0,2,0,22,0,25861,1,2,2,1,24.0,2,10105,12260,2155,62,True,0
0,0,0,0,0,0.9,2,584,0.01,0.32,0.31,0.03,224,0,0,3.7,2.6,2026-01-24T15:00:00Z,12,False,3,0,0,0,2,0,23,0,28825,0,0,2,2,33.0,1,3326,5934,2608,62,False,0
0,0,3,0,0,10.9,3,584,0.01,0.01,0.00,1.02,239,0,0,1.5,2.2,2026-02-01T16:30:00Z,22,False,13,0,0,0,3,0,24,0,20655,0,0,2,2,2.0,1,-7740,419,8159,62,True,0
