assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,-1,0,2,5.9,5,632,0.01,0.01,0.00,2.47,7,4,0,1.6,9.8,2025-08-16T16:30:00Z,90,False,13,0,0,0,6,0,1,0,18592,1,3,4,0,0.0,-1,0,0,0,45,True,1
0,0,5,0,6,1.8,9,632,0.02,0.02,0.00,1.29,12,1,0,2.1,19.2,2025-08-23T14:00:00Z,90,False,4,0,0,0,2,0,2,0,20599,1,3,0,1,0.0,1,-952,1050,2002,45,False,1
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2025-08-30T14:00:00Z,0,False,9,0,0,0,0,0,3,0,19760,0,0,3,2,0.0,0,-1571,657,2228,45,True,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2025-09-13T14:00:00Z,0,False,15,0,0,0,0,0,4,0,18214,0,0,0,1,0.0,0,-2047,247,2294,45,False,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,50,0,0,0.0,0.0,2025-09-20T14:00:00Z,0,False,11,0,0,0,0,0,5,0,17597,0,0,3,1,0.0,0,-1092,504,1596,44,True,0
0,0,-2,0,2,1.4,3,632,0.01,0.08,0.07,0.68,60,0,0,0.7,1.2,2025-09-27T19:00:00Z,45,False,18,0,0,0,1,0,6,0,16584,1,1,1,1,4.0,0,-1272,340,1612,44,False,1
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,70,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,False,6,0,0,0,0,0,7,0,15851,0,0,1,1,0.0,0,-904,314,1218,44,True,0
0,0,13,0,8,12.7,9,632,0.01,0.01,0.00,0.65,78,1,0,3.2,19.2,2025-10-18T14:00:00Z,66,False,17,0,0,0,2,0,8,0,13969,1,1,0,2,0.0,2,-1911,88,1999,44,False,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2025-10-26T14:00:00Z,0,False,3,0,0,0,0,0,9,0,13901,0,0,3,2,0.0,0,-229,223,452,44,True,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2025-11-01T15:00:00Z,0,False,10,0,0,0,0,0,10,0,13118,0,0,0,3,0.0,0,-861,126,987,44,False,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,103,0,0,0.0,0.0,2025-11-08T20:00:00Z,0,False,7,0,0,0,0,0,11,0,11967,0,0,0,3,0.0,0,-1153,8,1161,44,False,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,120,0,0,0.0,0.0,2025-11-22T15:00:00Z,0,False,8,0,0,0,0,0,12,0,11195,0,0,2,0,0.0,0,-778,7,785,44,True,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,121,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,2,0,0,0,0,0,13,0,10757,0,0,0,1,0.0,0,-453,10,463,44,False,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,140,0,0,0.0,0.0,2025-12-03T19:30:00Z,0,False,16,0,0,0,0,0,14,0,10588,0,0,1,0,0.0,0,-192,36,228,44,True,0
0,0,0,0,0,0.0,0,632,0.00,0.00,0.00,0.00,150,0,0,0.0,0.0,2025-12-08T20:00:00Z,0,False,14,0,0,0,0,0,15,0,10481,0,0,4,1,0.0,0,-168,39,207,44,True,0
0,0,16,1,4,0.5,5,632,0.01,0.01,0.00,0.81,151,0,0,0.7,6.6,2025-12-13T20:00:00Z,68,False,1,0,0,0,0,0,16,0,10472,1,1,1,2,0.0,5,-138,178,316,44,False,1
