assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,8,0.5,8,191,0.00,0.05,0.05,2.32,6,3,0,3.7,19.4,2025-08-16T14:00:00Z,90,False,18,0,0,0,2,0,1,0,1993509,1,0,0,3,17.0,1,0,0,0,40,False,0
0,0,29,1,6,1.1,7,191,0.01,0.01,0.00,0.66,14,0,0,2.2,21.0,2025-08-23T14:00:00Z,82,False,17,0,0,0,1,0,2,0,2110007,1,1,0,2,0.0,6,3481,89031,85550,40,True,0
0,0,-2,0,7,0.2,8,191,0.00,0.00,0.00,3.63,26,3,0,1.9,16.4,2025-08-30T14:00:00Z,90,False,14,0,0,0,1,0,3,0,2100701,1,1,2,3,2.0,1,-7707,105478,113185,40,False,0
0,0,10,0,15,0.1,15,191,0.00,0.00,0.00,2.45,34,1,0,3.7,36.8,2025-09-14T13:00:00Z,90,False,12,0,0,0,0,0,4,0,1938722,1,0,1,0,0.0,4,-175232,67549,242781,40,True,0
0,0,14,0,10,10.4,11,191,0.00,0.12,0.12,1.10,44,1,0,3.8,19.6,2025-09-20T14:00:00Z,90,False,16,0,0,0,5,0,5,0,1940005,1,1,1,1,8.0,4,-28684,46599,75283,40,True,0
0,0,-23,0,8,0.7,12,191,0.00,0.02,0.02,2.03,57,5,0,1.1,9.2,2025-09-27T14:00:00Z,90,False,13,2,0,0,3,0,6,0,1786135,1,4,1,5,1.0,-2,-152133,66376,218509,40,False,0
0,0,7,0,6,1.4,6,191,0.01,0.01,0.00,1.37,62,2,0,1.7,13.2,2025-10-05T13:00:00Z,90,False,2,0,0,0,3,0,7,0,1684361,1,0,1,2,2.0,1,-106386,19518,125904,40,False,0
0,0,26,1,12,0.3,14,191,0.00,0.00,0.00,2.63,72,0,0,2.6,25.4,2025-10-18T14:00:00Z,90,False,11,0,0,0,3,0,8,0,1605130,1,2,0,2,0.0,8,-88820,24744,113564,40,True,0
0,0,7,0,7,0.8,8,191,0.00,0.00,0.00,2.52,90,2,0,2.1,17.8,2025-10-26T14:00:00Z,90,False,20,0,0,0,2,0,9,0,1593111,1,1,3,2,2.0,1,-16108,25608,41716,40,False,0
0,0,12,0,4,11.5,4,191,0.29,0.29,0.00,2.42,92,2,0,2.1,7.6,2025-11-01T15:00:00Z,90,False,1,0,0,0,6,0,10,0,1519095,1,0,2,0,2.0,1,-65543,13151,78694,40,True,0
