assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
1,0,23,0,1,51.8,4,515,0.28,0.66,0.38,1.50,4,1,0,9.6,28.8,2025-08-17T13:00:00Z,83,False,5,0,0,0,2,0,1,0,500210,1,1,1,3,15.0,5,0,0,0,75,True,0
0,0,7,0,0,20.5,1,515,0.10,0.21,0.11,1.10,15,1,0,2.2,0.0,2025-08-24T13:00:00Z,81,False,8,0,0,0,1,0,2,0,550967,1,0,1,1,4.0,2,-16569,34109,50678,75,False,0
0,0,13,0,0,11.2,6,515,0.08,0.23,0.15,2.42,27,3,0,5.0,7.6,2025-08-31T13:00:00Z,90,False,19,0,0,0,5,0,3,0,754402,1,1,3,0,31.0,2,117293,177897,60604,75,True,0
0,0,4,0,1,6.8,4,515,0.01,0.05,0.04,1.75,31,2,0,1.2,0.0,2025-09-13T11:30:00Z,72,False,1,0,0,0,3,0,4,0,605945,1,0,0,3,6.0,2,-98792,36853,135645,75,False,0
0,0,16,0,3,28.7,6,515,0.05,0.13,0.08,0.85,44,1,0,6.9,15.0,2025-09-20T14:00:00Z,90,False,3,0,0,0,3,0,5,0,628944,1,0,1,1,25.0,2,-3629,67237,70866,75,False,0
0,0,8,0,1,17.1,2,515,0.05,0.16,0.11,0.75,59,0,0,3.7,5.0,2025-09-27T16:30:00Z,45,False,17,0,0,0,1,0,6,0,552813,0,0,1,0,15.0,1,-73491,16675,90166,75,True,0
0,0,19,0,5,7.9,13,515,0.08,0.20,0.12,3.28,69,2,0,4.3,14.2,2025-10-05T13:00:00Z,90,False,15,0,0,0,8,0,7,0,457073,1,0,0,2,21.0,4,-96321,4634,100955,74,False,0
0,0,7,0,2,13.7,6,515,0.20,0.70,0.50,1.67,77,3,0,3.0,0.0,2025-10-18T11:30:00Z,90,False,7,0,0,0,4,0,8,0,399940,1,0,3,0,17.0,2,-63682,7401,71083,74,True,0
0,0,9,0,2,18.0,4,515,0.05,0.15,0.10,0.59,83,2,0,3.4,4.2,2025-10-26T14:00:00Z,88,False,4,0,0,0,2,0,9,0,373839,1,0,0,2,12.0,2,-29169,6418,35587,73,False,0
0,1,30,0,1,23.3,4,515,0.04,0.31,0.27,1.12,97,2,1,8.7,40.0,2025-11-01T15:00:00Z,90,False,14,0,0,0,3,0,10,0,346531,1,0,2,2,24.0,8,-29182,5104,34286,73,True,0
0,3,34,0,0,3.3,1,515,0.04,0.67,0.63,0.53,107,1,1,9.8,39.6,2025-11-09T14:00:00Z,87,False,11,0,0,0,1,0,11,0,408809,1,0,1,3,55.0,10,42513,52873,10360,73,True,0
0,0,30,1,2,8.6,5,515,0.03,0.28,0.25,1.93,117,0,1,7.0,40.2,2025-11-22T15:00:00Z,90,False,12,0,0,0,3,0,12,0,391686,1,0,3,0,21.0,8,-3641,23218,26859,73,False,0
0,0,6,0,1,25.8,2,515,0.05,0.33,0.28,1.44,127,1,0,4.7,2.2,2025-11-30T14:05:00Z,84,False,6,0,0,0,1,0,13,0,511416,1,0,2,0,19.0,2,81958,108983,27025,73,True,0
0,0,16,1,0,47.1,4,515,0.13,0.13,0.00,0.91,140,0,0,7.0,19.2,2025-12-03T19:30:00Z,90,False,20,0,0,0,0,0,14,0,465096,1,4,1,0,4.0,3,-11580,21431,33011,73,False,0
0,0,7,0,2,3.0,6,515,0.01,0.01,0.00,1.12,144,3,0,1.1,5.6,2025-12-06T15:00:00Z,90,False,9,0,0,0,3,0,15,0,439139,1,1,0,3,2.0,2,-23516,12772,36288,73,False,0
0,0,5,1,0,8.6,2,515,0.03,0.76,0.73,0.33,158,0,0,3.0,3.6,2025-12-14T14:00:00Z,90,False,18,0,0,0,1,0,16,0,383001,1,1,0,3,18.0,3,-57948,12817,70765,73,True,0
0,0,10,0,1,25.7,4,515,0.06,0.19,0.13,1.19,165,1,0,4.1,6.0,2025-12-22T20:00:00Z,72,False,10,0,0,0,3,0,17,0,375468,1,0,0,1,9.0,2,-11375,14898,26273,73,False,0
0,0,10,0,2,15.2,7,515,0.04,0.04,0.00,1.45,178,2,0,2.7,9.8,2025-12-27T12:30:00Z,90,False,13,0,0,0,4,0,18,0,354579,1,1,2,1,2.0,2,-18805,5613,24418,73,True,0
0,0,5,0,1,21.7,6,515,0.29,0.83,0.54,1.26,188,2,0,7.8,3.2,2025-12-30T19:30:00Z,90,False,9,0,0,0,5,0,19,0,369125,1,0,2,0,53.0,2,4614,16614,12000,73,True,0
0,1,32,0,2,20.9,8,515,0.01,0.50,0.49,1.59,191,3,1,9.8,44.6,2026-01-03T12:30:00Z,90,False,2,0,0,0,4,0,20,0,353678,1,2,1,3,32.0,8,-10427,5475,15902,73,False,0
0,2,32,0,2,5.6,7,515,0.04,0.83,0.79,0.95,210,1,1,6.9,40.0,2026-01-06T20:00:00Z,90,False,19,0,0,0,5,0,21,0,384336,1,0,2,1,23.0,9,22126,31621,9495,73,False,0
0,0,6,1,3,5.2,4,515,0.02,0.13,0.11,2.10,217,0,0,1.4,7.0,2026-01-17T17:30:00Z,90,False,1,0,0,0,0,0,22,0,373585,1,1,0,0,2.0,3,-4300,16742,21042,73,True,0
1,0,25,1,3,22.6,6,515,0.08,0.08,0.00,1.81,223,0,0,5.6,27.2,2026-01-25T14:00:00Z,90,False,5,0,0,0,3,0,23,0,382238,1,0,2,0,6.0,6,6522,17067,10545,73,False,0
0,1,28,0,0,35.3,3,515,0.09,0.29,0.20,1.90,237,1,1,10.7,40.6,2026-02-01T14:00:00Z,90,False,8,0,0,0,2,0,24,0,422597,1,1,1,1,31.0,8,35987,49994,14007,73,True,0
