assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,9,0,2,13.3,3,332,0.01,0.01,0.00,1.48,3,1,0,1.7,1.8,2025-08-16T14:00:00Z,90,False,6,0,0,0,0,0,1,0,5926,1,1,1,1,2.0,2,0,0,0,50,False,0
0,0,19,0,3,65.9,12,332,0.44,0.44,0.00,1.63,17,1,0,8.0,11.8,2025-08-24T15:30:00Z,90,False,14,0,0,0,8,0,2,0,6795,1,1,1,1,2.0,3,-589,204,793,50,True,1
0,0,8,0,2,47.8,10,332,0.11,0.11,0.00,2.35,23,2,0,7.3,23.6,2025-08-30T11:30:00Z,90,False,7,0,0,0,3,0,3,0,7590,1,5,0,2,2.0,1,-94,843,937,50,False,1
1,0,25,1,3,4.0,9,332,0.01,0.51,0.50,0.79,37,0,0,2.2,11.4,2025-09-13T14:00:00Z,90,False,11,0,0,0,2,0,4,0,8542,1,4,0,1,7.0,6,158,1149,991,50,True,0
0,0,6,0,2,29.3,5,332,0.25,0.34,0.09,0.55,45,1,0,4.0,1.4,2025-09-20T19:00:00Z,85,False,5,0,0,0,2,0,5,0,10324,1,1,1,3,9.0,1,1217,2011,794,50,True,1
1,0,20,0,2,31.5,8,332,0.12,0.35,0.23,1.11,51,3,0,6.8,22.4,2025-09-28T13:00:00Z,90,False,2,0,0,0,5,0,6,0,9881,1,1,1,3,14.0,4,-513,714,1227,50,False,1
0,0,4,0,3,0.0,4,332,0.00,0.00,0.00,0.05,63,0,0,0.6,6.0,2025-10-03T19:00:00Z,13,False,4,0,0,0,0,0,7,0,10318,1,1,1,3,0.0,1,75,779,704,50,False,0
0,0,0,0,0,0.0,0,332,0.00,0.00,0.00,0.00,74,0,0,0.0,0.0,2025-10-18T16:30:00Z,0,False,1,0,0,0,0,0,8,0,8399,0,0,1,0,0.0,0,-1885,91,1976,50,True,0
0,2,34,0,2,27.5,8,332,0.07,0.60,0.53,1.63,89,1,1,10.4,41.8,2025-10-25T14:00:00Z,84,False,15,0,0,0,3,0,9,0,7554,1,3,1,2,35.0,9,-902,40,942,50,False,0
0,0,0,0,0,0.0,0,332,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2025-11-01T15:00:00Z,0,False,20,0,0,0,0,0,10,0,13396,0,0,0,3,0.0,0,4803,5437,634,50,True,0
